active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,8270492.2,ADA,Cardano,,0.00261,8,0.00264,-1,0.00251,BNB,BNB,STANDARD,1e-08,0.1,0.00256,BNB,BNB,0.00256,,BNB,Binance Coin,,TRADING,ADABNB,0.00001,21188.801747,8270492.20000,0,0.00259000,32880.90000000,0.00260000,5671.00000000,2019-07-01T03:31:45.853045
True,0.0,8270492.2,ADA,Cardano,,0.00261,8,0.00264,-1,0.00251,BNB,BNB,STANDARD,1e-08,0.1,0.00256,BNB,BNB,0.00256,,BNB,Binance Coin,,TRADING,ADABNB,0.00001,21188.801747,8270492.20000,0,0.00260000,4554.50000000,0.00261000,82598.90000000,2019-07-01T03:37:09.420003
True,0.0,8248645.1,ADA,Cardano,,0.00261,8,0.00264,-1,0.00251,BNB,BNB,STANDARD,1e-08,0.1,0.00256,BNB,BNB,0.00256,,BNB,Binance Coin,,TRADING,ADABNB,0.00001,21133.327014,8248645.10000,0,0.00260000,58727.00000000,0.00261000,81598.80000000,2019-07-01T03:42:34.912820
True,0.0,8261497.6,ADA,Cardano,,0.00260,8,0.00264,-1,0.00251,BNB,BNB,STANDARD,1e-08,0.1,0.00256,BNB,BNB,0.00256,,BNB,Binance Coin,,TRADING,ADABNB,0.00001,21166.71409,8261497.60000,0,0.00259000,172449.60000000,0.00261000,87285.70000000,2019-07-01T03:47:59.837101
True,0.0,8254002.2,ADA,Cardano,,0.00260,8,0.00264,-1,0.00251,BNB,BNB,STANDARD,1e-08,0.1,0.00255,BNB,BNB,0.00255,,BNB,Binance Coin,,TRADING,ADABNB,0.00001,21147.93413,8254002.20000,0,0.00259000,66751.90000000,0.00261000,134129.90000000,2019-07-01T03:53:23.687655
True,0.0,8230040.1,ADA,Cardano,,0.00260,8,0.00264,-1,0.00251,BNB,BNB,STANDARD,1e-08,0.1,0.00255,BNB,BNB,0.00255,,BNB,Binance Coin,,TRADING,ADABNB,0.00001,21087.206936,8230040.10000,0,0.00260000,37077.30000000,0.00261000,104874.90000000,2019-07-01T03:58:48.626384
True,0.0,8230040.1,ADA,Cardano,,0.00260,8,0.00264,-1,0.00251,BNB,BNB,STANDARD,1e-08,0.1,0.00255,BNB,BNB,0.00255,,BNB,Binance Coin,,TRADING,ADABNB,0.00001,21087.206936,8230040.10000,0,0.00259000,84657.80000000,0.00261000,131830.30000000,2019-07-01T04:04:13.119400
True,0.0,8228355.6,ADA,Cardano,,0.00259,8,0.00264,-1,0.00251,BNB,BNB,STANDARD,1e-08,0.1,0.00255,BNB,BNB,0.00255,,BNB,Binance Coin,,TRADING,ADABNB,0.00001,21082.926573,8228355.60000,0,0.00258000,221183.30000000,0.00260000,58633.00000000,2019-07-01T04:09:38.967925
True,0.0,8228355.6,ADA,Cardano,,0.00259,8,0.00264,-1,0.00251,BNB,BNB,STANDARD,1e-08,0.1,0.00255,BNB,BNB,0.00255,,BNB,Binance Coin,,TRADING,ADABNB,0.00001,21082.926573,8228355.60000,0,0.00259000,41838.20000000,0.00260000,5882.50000000,2019-07-01T04:15:02.241015
True,0.0,8225606.3,ADA,Cardano,,0.00259,8,0.00264,-1,0.00251,BNB,BNB,STANDARD,1e-08,0.1,0.00254,BNB,BNB,0.00254,,BNB,Binance Coin,,TRADING,ADABNB,0.00001,21075.93733,8225606.30000,0,0.00258000,130849.40000000,0.00259000,42355.10000000,2019-07-01T04:20:25.700467
