active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,3914985.52,ALGO,Algorand,,1.400,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.505,USDⓈ,USDⓈ,1.505,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5652525.27497,3914985.520,0,1.39800000,213.50200000,1.40000000,183.93100000,2019-07-01T03:31:45.853045
True,0.0,3902667.189,ALGO,Algorand,,1.404,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.495,USDⓈ,USDⓈ,1.495,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5633394.273267,3902667.189,0,1.40000000,11.24600000,1.40100000,421.69900000,2019-07-01T03:37:09.420003
True,0.0,3891601.615,ALGO,Algorand,,1.400,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.495,USDⓈ,USDⓈ,1.495,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5616703.111147,3891601.615,0,1.40000000,0.04700000,1.40100000,892.76000000,2019-07-01T03:42:34.912820
True,0.0,3912398.39,ALGO,Algorand,,1.390,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.494,USDⓈ,USDⓈ,1.494,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5644658.321426,3912398.390,0,1.39000000,257.53300000,1.39200000,2888.97100000,2019-07-01T03:47:59.837101
True,0.0,3913638.094,ALGO,Algorand,,1.394,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.496,USDⓈ,USDⓈ,1.496,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5645731.68646,3913638.094,0,1.39300000,2002.00000000,1.39500000,132.82100000,2019-07-01T03:53:23.687655
True,0.0,3898406.612,ALGO,Algorand,,1.390,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.495,USDⓈ,USDⓈ,1.495,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5622784.615147,3898406.612,0,1.39100000,697.86900000,1.39400000,400.02300000,2019-07-01T03:58:48.626384
True,0.0,3892332.831,ALGO,Algorand,,1.400,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.495,USDⓈ,USDⓈ,1.495,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5613360.213884,3892332.831,0,1.39800000,132.44100000,1.40000000,1033.64900000,2019-07-01T04:04:13.119400
True,0.0,3896985.446,ALGO,Algorand,,1.400,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.497,USDⓈ,USDⓈ,1.497,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5619284.656304,3896985.446,0,1.39900000,383.80400000,1.40200000,45.47400000,2019-07-01T04:09:38.967925
True,0.0,3861030.474,ALGO,Algorand,,1.402,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.486,USDⓈ,USDⓈ,1.486,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5564954.655459,3861030.474,0,1.39900000,1051.98000000,1.40200000,334.39500000,2019-07-01T04:15:02.241015
True,0.0,3823967.694,ALGO,Algorand,,1.397,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.485,USDⓈ,USDⓈ,1.485,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5509858.408434,3823967.694,0,1.39400000,132.72600000,1.39600000,850.00000000,2019-07-01T04:20:25.700467
True,0.0,3822810.136,ALGO,Algorand,,1.390,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.497,USDⓈ,USDⓈ,1.497,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5507438.617747,3822810.136,0,1.39200000,19.54700000,1.39500000,26.31900000,2019-07-01T04:25:49.281416
True,0.0,3815735.516,ALGO,Algorand,,1.398,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.484,USDⓈ,USDⓈ,1.484,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5496755.522325,3815735.516,0,1.39500000,61.14500000,1.39800000,71.48600000,2019-07-01T04:31:13.431888
True,0.0,3811132.348,ALGO,Algorand,,1.406,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.485,USDⓈ,USDⓈ,1.485,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5489684.945119,3811132.348,0,1.40200000,787.77700000,1.40500000,45.36800000,2019-07-01T04:36:38.444339
True,0.0,3812431.75,ALGO,Algorand,,1.401,8,1.515,-1,1.388,USDT,USDT,STANDARD,1e-08,0.001,1.487,USDⓈ,USDⓈ,1.487,,USDT,TetherUS,,TRADING,ALGOUSDT,0.001,5491280.045527,3812431.750,0,1.40200000,167.19500000,1.40500000,1107.58100000,2019-07-01T04:42:02.003745
