active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,114182866.7,ANKR,Ankr,,0.003136,8,0.003400,-1,0.003002,USDT,USDT,STANDARD,1e-08,1.0,0.003400,USDⓈ,USDⓈ,0.0034,,USDT,TetherUS,,TRADING,ANKRUSDT,0.000001,360725.8268026,114182866.700000,0,0.00310000,73608.00000000,0.00313600,42577.00000000,2019-09-06T04:46:58.837146
True,0.0,114182866.7,ANKR,Ankr,,0.003136,8,0.003400,-1,0.003002,USDT,USDT,STANDARD,1e-08,1.0,0.003400,USDⓈ,USDⓈ,0.0034,,USDT,TetherUS,,TRADING,ANKRUSDT,0.000001,360725.8268026,114182866.700000,0,0.00310100,9679.00000000,0.00313600,42577.00000000,2019-09-06T04:52:20.564248
True,0.0,113456718.3,ANKR,Ankr,,0.003127,8,0.003386,-1,0.003002,USDT,USDT,STANDARD,1e-08,1.0,0.003370,USDⓈ,USDⓈ,0.00337,,USDT,TetherUS,,TRADING,ANKRUSDT,0.000001,358291.2768476,113456718.300000,0,0.00309800,65627.00000000,0.00312400,3212.00000000,2019-09-06T04:57:42.818653
True,0.0,113249050.6,ANKR,Ankr,,0.003104,8,0.003386,-1,0.003002,USDT,USDT,STANDARD,1e-08,1.0,0.003360,USDⓈ,USDⓈ,0.00336,,USDT,TetherUS,,TRADING,ANKRUSDT,0.000001,357588.1352866,113249050.600000,0,0.00310000,1706796.00000000,0.00312800,15985.00000000,2019-09-06T05:03:03.119896
True,0.0,113442461.6,ANKR,Ankr,,0.003136,8,0.003386,-1,0.003002,USDT,USDT,STANDARD,1e-08,1.0,0.003360,USDⓈ,USDⓈ,0.00336,,USDT,TetherUS,,TRADING,ANKRUSDT,0.000001,358192.5262866,113442461.600000,0,0.00310300,16098.00000000,0.00313100,124655.00000000,2019-09-06T05:08:23.879909
True,0.0,113739056.4,ANKR,Ankr,,0.003165,8,0.003386,-1,0.003002,USDT,USDT,STANDARD,1e-08,1.0,0.003340,USDⓈ,USDⓈ,0.00334,,USDT,TetherUS,,TRADING,ANKRUSDT,0.000001,359075.6369696,113739056.400000,0,0.00311800,39939.00000000,0.00315900,11412.00000000,2019-09-06T05:13:44.134079
True,0.0,113065556.5,ANKR,Ankr,,0.003098,8,0.003386,-1,0.003002,USDT,USDT,STANDARD,1e-08,1.0,0.003290,USDⓈ,USDⓈ,0.00329,,USDT,TetherUS,,TRADING,ANKRUSDT,0.000001,356813.7851756,113065556.500000,0,0.00310100,1291896.00000000,0.00312300,4828.00000000,2019-09-06T05:19:04.411549
True,0.0,112780705.5,ANKR,Ankr,,0.003224,8,0.003386,-1,0.003002,USDT,USDT,STANDARD,1e-08,1.0,0.003280,USDⓈ,USDⓈ,0.00328,,USDT,TetherUS,,TRADING,ANKRUSDT,0.000001,355785.7858936,112780705.500000,0,0.00320600,169381.00000000,0.00322400,10838.00000000,2019-09-06T05:24:24.639724
True,0.0,112784166.5,ANKR,Ankr,,0.003206,8,0.003386,-1,0.003002,USDT,USDT,STANDARD,1e-08,1.0,0.003270,USDⓈ,USDⓈ,0.00327,,USDT,TetherUS,,TRADING,ANKRUSDT,0.000001,355788.6293936,112784166.500000,0,0.00320200,1606089.00000000,0.00321200,30707.00000000,2019-09-06T05:29:44.430120
True,0.0,111841526.5,ANKR,Ankr,,0.003212,8,0.003386,-1,0.003002,USDT,USDT,STANDARD,1e-08,1.0,0.003272,USDⓈ,USDⓈ,0.003272,,USDT,TetherUS,,TRADING,ANKRUSDT,0.000001,352705.8728956,111841526.500000,0,0.00320400,45645.00000000,0.00321200,31114.00000000,2019-09-06T05:35:04.069464
