active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,1104740.56,ARK,Ark,,0.0000416,8,0.0000419,-1,0.0000382,BTC,BTC,STANDARD,1e-08,0.01,0.0000383,BTC,BTC,3.83e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,44.22065518,1104740.5600000,0,0.00004140,1376.42000000,0.00004160,3121.42000000,2019-07-01T03:31:45.853045
True,0.0,1104732.3,ARK,Ark,,0.0000416,8,0.0000419,-1,0.0000382,BTC,BTC,STANDARD,1e-08,0.01,0.0000382,BTC,BTC,3.82e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,44.2205315,1104732.3000000,0,0.00004140,1376.42000000,0.00004160,2476.85000000,2019-07-01T03:37:09.420003
True,0.0,1104242.71,ARK,Ark,,0.0000416,8,0.0000419,-1,0.0000383,BTC,BTC,STANDARD,1e-08,0.01,0.0000384,BTC,BTC,3.84e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,44.21003394,1104242.7100000,0,0.00004140,226.75000000,0.00004160,973.17000000,2019-07-01T03:42:34.912820
True,0.0,1089625.93,ARK,Ark,,0.0000414,8,0.0000419,-1,0.0000383,BTC,BTC,STANDARD,1e-08,0.01,0.0000384,BTC,BTC,3.84e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,43.64979406,1089625.9300000,0,0.00004140,1146.46000000,0.00004150,452.75000000,2019-07-01T03:47:59.837101
True,0.0,1090332.77,ARK,Ark,,0.0000416,8,0.0000419,-1,0.0000383,BTC,BTC,STANDARD,1e-08,0.01,0.0000384,BTC,BTC,3.84e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,43.67910284,1090332.7700000,0,0.00004140,808.43000000,0.00004170,4039.83000000,2019-07-01T03:53:23.687655
True,0.0,1083727.09,ARK,Ark,,0.0000416,8,0.0000419,-1,0.0000383,BTC,BTC,STANDARD,1e-08,0.01,0.0000387,BTC,BTC,3.87e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,43.42595249,1083727.0900000,0,0.00004140,687.49000000,0.00004160,1854.35000000,2019-07-01T03:58:48.626384
True,0.0,1085290.78,ARK,Ark,,0.0000415,8,0.0000419,-1,0.0000383,BTC,BTC,STANDARD,1e-08,0.01,0.0000387,BTC,BTC,3.87e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,43.49443975,1085290.7800000,0,0.00004140,687.23000000,0.00004150,110.56000000,2019-07-01T04:04:13.119400
True,0.0,1082595.22,ARK,Ark,,0.0000415,8,0.0000419,-1,0.0000383,BTC,BTC,STANDARD,1e-08,0.01,0.0000386,BTC,BTC,3.86e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,43.39585403,1082595.2200000,0,0.00004140,104.54000000,0.00004160,1200.00000000,2019-07-01T04:09:38.967925
True,0.0,1083244.64,ARK,Ark,,0.0000413,8,0.0000419,-1,0.0000383,BTC,BTC,STANDARD,1e-08,0.01,0.0000384,BTC,BTC,3.84e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,43.43632219,1083244.6400000,0,0.00004130,7899.27000000,0.00004140,1764.35000000,2019-07-01T04:15:02.241015
True,0.0,1083982.37,ARK,Ark,,0.0000414,8,0.0000419,-1,0.0000383,BTC,BTC,STANDARD,1e-08,0.01,0.0000383,BTC,BTC,3.83e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,43.47119374,1083982.3700000,0,0.00004140,0.08000000,0.00004150,438.42000000,2019-07-01T04:20:25.700467
True,0.0,1087484.11,ARK,Ark,,0.0000414,8,0.0000419,-1,0.0000383,BTC,BTC,STANDARD,1e-08,0.01,0.0000383,BTC,BTC,3.83e-05,,BTC,Bitcoin,฿,TRADING,ARKBTC,0.0000001,43.62020151,1087484.1100000,0,0.00004150,105.31000000,0.00004170,959.93000000,2019-07-01T04:25:49.281416
