active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,822955.59,ATOM,Cosmos,,0.0005088,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004956,BTC,BTC,0.0004956,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,407.76927418,822955.5900000,0,0.00050790,60.45000000,0.00050870,70.04000000,2019-07-01T03:31:45.853045
True,0.0,822842.38,ATOM,Cosmos,,0.0005093,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004951,BTC,BTC,0.0004951,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,407.72088758,822842.3800000,0,0.00050830,11.48000000,0.00050890,35.20000000,2019-07-01T03:37:09.420003
True,0.0,823428.81,ATOM,Cosmos,,0.0005088,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004975,BTC,BTC,0.0004975,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,408.0398304,823428.8100000,0,0.00050780,5.37000000,0.00050880,35.58000000,2019-07-01T03:42:34.912820
True,0.0,821537.25,ATOM,Cosmos,,0.0005067,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004972,BTC,BTC,0.0004972,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,407.1035114,821537.2500000,0,0.00050660,33.32000000,0.00050750,11.51000000,2019-07-01T03:47:59.837101
True,0.0,821625.78,ATOM,Cosmos,,0.0005073,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004958,BTC,BTC,0.0004958,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,407.15137869,821625.7800000,0,0.00050650,49.35000000,0.00050710,19.37000000,2019-07-01T03:53:23.687655
True,0.0,821590.91,ATOM,Cosmos,,0.0005071,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004980,BTC,BTC,0.000498,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,407.14132256,821590.9100000,0,0.00050600,11.49000000,0.00050710,8.13000000,2019-07-01T03:58:48.626384
True,0.0,820573.55,ATOM,Cosmos,,0.0005055,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004976,BTC,BTC,0.0004976,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,406.63580426,820573.5500000,0,0.00050530,16.00000000,0.00050660,10.00000000,2019-07-01T04:04:13.119400
True,0.0,821499.52,ATOM,Cosmos,,0.0005060,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004958,BTC,BTC,0.0004958,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,407.1158963,821499.5200000,0,0.00050600,124.75000000,0.00050660,123.56000000,2019-07-01T04:09:38.967925
True,0.0,825593.84,ATOM,Cosmos,,0.0005097,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004951,BTC,BTC,0.0004951,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,409.2007166,825593.8400000,0,0.00050910,69.75000000,0.00050970,861.15000000,2019-07-01T04:15:02.241015
True,0.0,823290.33,ATOM,Cosmos,,0.0005096,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004919,BTC,BTC,0.0004919,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,408.09370777,823290.3300000,0,0.00050780,11.44000000,0.00050910,87.94000000,2019-07-01T04:20:25.700467
True,0.0,812869.2,ATOM,Cosmos,,0.0005097,8,0.0005104,-1,0.0004725,BTC,BTC,STANDARD,1e-08,0.01,0.0004914,BTC,BTC,0.0004914,,BTC,Bitcoin,฿,TRADING,ATOMBTC,0.0000001,402.97894091,812869.2000000,0,0.00050890,15.48000000,0.00050970,6.59000000,2019-07-01T04:25:49.281416
