active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,4218.75,ATOM,Cosmos,,5.532,8,5.895,-1,5.398,TUSD,TUSD,STANDARD,1e-08,0.001,5.734,USDⓈ,USDⓈ,5.734,,TUSD,TrueUSD,,TRADING,ATOMTUSD,0.001,23779.949014,4218.750,0,5.49500000,315.45200000,5.62800000,96.02100000,2019-07-01T03:31:45.853045
True,0.0,4218.75,ATOM,Cosmos,,5.532,8,5.895,-1,5.398,TUSD,TUSD,STANDARD,1e-08,0.001,5.734,USDⓈ,USDⓈ,5.734,,TUSD,TrueUSD,,TRADING,ATOMTUSD,0.001,23779.949014,4218.750,0,5.50400000,22.63700000,5.56500000,4.81000000,2019-07-01T03:37:09.420003
True,0.0,4218.75,ATOM,Cosmos,,5.532,8,5.895,-1,5.398,TUSD,TUSD,STANDARD,1e-08,0.001,5.734,USDⓈ,USDⓈ,5.734,,TUSD,TrueUSD,,TRADING,ATOMTUSD,0.001,23779.949014,4218.750,0,5.50600000,16.85500000,5.56100000,1.80000000,2019-07-01T03:42:34.912820
True,0.0,4225.627,ATOM,Cosmos,,5.495,8,5.895,-1,5.398,TUSD,TUSD,STANDARD,1e-08,0.001,5.800,USDⓈ,USDⓈ,5.8,,TUSD,TrueUSD,,TRADING,ATOMTUSD,0.001,23816.663708,4225.627,0,5.49800000,246.56200000,5.54600000,3.46800000,2019-07-01T03:47:59.837101
True,0.0,4225.627,ATOM,Cosmos,,5.495,8,5.895,-1,5.398,TUSD,TUSD,STANDARD,1e-08,0.001,5.800,USDⓈ,USDⓈ,5.8,,TUSD,TrueUSD,,TRADING,ATOMTUSD,0.001,23816.663708,4225.627,0,5.50200000,144.03800000,5.54500000,96.98200000,2019-07-01T03:53:23.687655
True,0.0,4225.627,ATOM,Cosmos,,5.495,8,5.895,-1,5.398,TUSD,TUSD,STANDARD,1e-08,0.001,5.800,USDⓈ,USDⓈ,5.8,,TUSD,TrueUSD,,TRADING,ATOMTUSD,0.001,23816.663708,4225.627,0,5.49800000,315.46700000,5.54500000,15.98200000,2019-07-01T03:58:48.626384
True,0.0,4225.627,ATOM,Cosmos,,5.495,8,5.895,-1,5.398,TUSD,TUSD,STANDARD,1e-08,0.001,5.800,USDⓈ,USDⓈ,5.8,,TUSD,TrueUSD,,TRADING,ATOMTUSD,0.001,23816.663708,4225.627,0,5.51500000,130.22200000,5.54500000,6.99000000,2019-07-01T04:04:13.119400
True,0.0,4218.615,ATOM,Cosmos,,5.546,8,5.895,-1,5.398,TUSD,TUSD,STANDARD,1e-08,0.001,5.800,USDⓈ,USDⓈ,5.8,,TUSD,TrueUSD,,TRADING,ATOMTUSD,0.001,23775.465788,4218.615,0,5.53000000,147.47600000,5.54600000,1.38800000,2019-07-01T04:09:38.967925
True,0.0,4220.003,ATOM,Cosmos,,5.546,8,5.895,-1,5.398,TUSD,TUSD,STANDARD,1e-08,0.001,5.800,USDⓈ,USDⓈ,5.8,,TUSD,TrueUSD,,TRADING,ATOMTUSD,0.001,23783.163636,4220.003,0,5.56800000,272.13600000,5.59600000,81.00000000,2019-07-01T04:15:02.241015
True,0.0,4220.003,ATOM,Cosmos,,5.546,8,5.895,-1,5.398,TUSD,TUSD,STANDARD,1e-08,0.001,5.800,USDⓈ,USDⓈ,5.8,,TUSD,TrueUSD,,TRADING,ATOMTUSD,0.001,23783.163636,4220.003,0,5.54000000,48.03600000,5.58500000,8.25600000,2019-07-01T04:20:25.700467
