active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,569263.916,ATOM,Cosmos,,5.564,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.840,USDⓈ,USDⓈ,5.84,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3228859.190341,569263.916,0,5.55700000,0.00300000,5.56000000,26.24400000,2019-07-01T03:31:45.853045
True,0.0,568829.623,ATOM,Cosmos,,5.570,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.838,USDⓈ,USDⓈ,5.838,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3226187.913215,568829.623,0,5.55300000,11.49100000,5.56100000,46.29400000,2019-07-01T03:37:09.420003
True,0.0,568964.802,ATOM,Cosmos,,5.561,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.834,USDⓈ,USDⓈ,5.834,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3226866.716474,568964.802,0,5.56100000,0.00300000,5.56200000,111.29100000,2019-07-01T03:42:34.912820
True,0.0,568613.513,ATOM,Cosmos,,5.558,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.838,USDⓈ,USDⓈ,5.838,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3224739.060321,568613.513,0,5.55300000,17.11400000,5.55800000,0.00300000,2019-07-01T03:47:59.837101
True,0.0,568177.256,ATOM,Cosmos,,5.563,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.834,USDⓈ,USDⓈ,5.834,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3222185.691239,568177.256,0,5.55100000,30.82300000,5.56000000,39.46700000,2019-07-01T03:53:23.687655
True,0.0,569677.203,ATOM,Cosmos,,5.562,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.821,USDⓈ,USDⓈ,5.821,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3230381.49304,569677.203,0,5.54900000,11.48700000,5.56200000,10.73400000,2019-07-01T03:58:48.626384
True,0.0,567891.559,ATOM,Cosmos,,5.577,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.815,USDⓈ,USDⓈ,5.815,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3219947.357202,567891.559,0,5.56500000,4.47100000,5.57500000,6.98900000,2019-07-01T04:04:13.119400
True,0.0,565216.72,ATOM,Cosmos,,5.574,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.826,USDⓈ,USDⓈ,5.826,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3204312.869833,565216.720,0,5.57400000,0.00800000,5.58200000,9.55700000,2019-07-01T04:09:38.967925
True,0.0,571209.513,ATOM,Cosmos,,5.610,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.833,USDⓈ,USDⓈ,5.833,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3237615.813479,571209.513,0,5.61100000,81.06000000,5.61700000,97.05200000,2019-07-01T04:15:02.241015
True,0.0,566305.69,ATOM,Cosmos,,5.588,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.811,USDⓈ,USDⓈ,5.811,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3208830.169633,566305.690,0,5.58800000,35.79000000,5.59300000,54.74500000,2019-07-01T04:20:25.700467
True,0.0,557844.981,ATOM,Cosmos,,5.596,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.803,USDⓈ,USDⓈ,5.803,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3159766.520541,557844.981,0,5.58400000,3.50900000,5.59100000,8.67100000,2019-07-01T04:25:49.281416
True,0.0,548957.352,ATOM,Cosmos,,5.580,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.800,USDⓈ,USDⓈ,5.8,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,3108343.871236,548957.352,0,5.58100000,43.78700000,5.59200000,9.43400000,2019-07-01T04:31:13.431888
True,0.0,524779.601,ATOM,Cosmos,,5.629,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.755,USDⓈ,USDⓈ,5.755,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2969032.436367,524779.601,0,5.62200000,16.08900000,5.62900000,5.30300000,2019-07-01T04:36:38.444339
True,0.0,477594.828,ATOM,Cosmos,,5.617,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.688,USDⓈ,USDⓈ,5.688,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2700364.92019,477594.828,0,5.61100000,13.18400000,5.61800000,9.80600000,2019-07-01T04:42:02.003745
True,0.0,421531.941,ATOM,Cosmos,,5.613,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.595,USDⓈ,USDⓈ,5.595,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2385458.685335,421531.941,0,5.60300000,6.78700000,5.61200000,11.38300000,2019-07-01T04:47:26.497829
True,0.0,406260.221,ATOM,Cosmos,,5.608,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.671,USDⓈ,USDⓈ,5.671,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2299488.600599,406260.221,0,5.60700000,13.25800000,5.61500000,21.25000000,2019-07-01T04:52:50.537708
True,0.0,404270.133,ATOM,Cosmos,,5.615,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.671,USDⓈ,USDⓈ,5.671,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2288200.818177,404270.133,0,5.61000000,13.92600000,5.61500000,5.22600000,2019-07-01T04:58:15.990657
True,0.0,399679.208,ATOM,Cosmos,,5.609,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.720,USDⓈ,USDⓈ,5.72,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2261816.501834,399679.208,0,5.60300000,22.99900000,5.61000000,11.34400000,2019-07-01T05:03:40.747780
True,0.0,392210.781,ATOM,Cosmos,,5.615,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.776,USDⓈ,USDⓈ,5.776,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2218651.641584,392210.781,0,5.61600000,11.35600000,5.63000000,167.85300000,2019-07-01T05:09:05.523550
True,0.0,389346.392,ATOM,Cosmos,,5.629,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.765,USDⓈ,USDⓈ,5.765,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2202107.492102,389346.392,0,5.62400000,11.33800000,5.63700000,362.12600000,2019-07-01T05:14:29.634335
True,0.0,390481.178,ATOM,Cosmos,,5.629,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.787,USDⓈ,USDⓈ,5.787,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2208246.73572,390481.178,0,5.62900000,2.37800000,5.64200000,118.79900000,2019-07-01T05:19:53.868096
True,0.0,386175.134,ATOM,Cosmos,,5.654,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.824,USDⓈ,USDⓈ,5.824,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2183179.820416,386175.134,0,5.64400000,145.31900000,5.65200000,81.32000000,2019-07-01T05:25:20.751285
True,0.0,384719.337,ATOM,Cosmos,,5.639,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.840,USDⓈ,USDⓈ,5.84,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2174645.130568,384719.337,0,5.63900000,1.39900000,5.64100000,15.04600000,2019-07-01T05:30:44.842063
True,0.0,379407.479,ATOM,Cosmos,,5.638,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.840,USDⓈ,USDⓈ,5.84,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2143567.751685,379407.479,0,5.64300000,12.41100000,5.65000000,24.22700000,2019-07-01T05:36:09.479568
True,0.0,378300.853,ATOM,Cosmos,,5.633,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.837,USDⓈ,USDⓈ,5.837,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2137050.234174,378300.853,0,5.63300000,279.50600000,5.64700000,15.70200000,2019-07-01T05:41:36.008204
True,0.0,376410.084,ATOM,Cosmos,,5.642,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.855,USDⓈ,USDⓈ,5.855,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2125945.080606,376410.084,0,5.63500000,9.39000000,5.64200000,0.00700000,2019-07-01T05:47:00.146466
True,0.0,376659.646,ATOM,Cosmos,,5.644,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.854,USDⓈ,USDⓈ,5.854,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2126976.370156,376659.646,0,5.63700000,14.68000000,5.64400000,2515.98700000,2019-07-01T05:52:24.260849
True,0.0,375834.588,ATOM,Cosmos,,5.634,8,5.910,-1,5.395,USDT,USDT,STANDARD,1e-08,0.001,5.851,USDⓈ,USDⓈ,5.851,,USDT,TetherUS,,TRADING,ATOMUSDT,0.001,2122099.400238,375834.588,0,5.63400000,386.35800000,5.64300000,104.79900000,2019-07-01T05:57:49.046305
