active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,484873.83,BAT,Basic Attention Token,,0.3381,8,0.3440,-1,0.2880,USDC,USDC,STANDARD,1e-08,0.01,0.3205,USDⓈ,USDⓈ,0.3205,,USDC,USD Coin,,TRADING,BATUSDC,0.0001,152708.95588,484873.8300,0,0.33400000,5419.35000000,0.33760000,1852.31000000,2019-07-01T03:31:45.853045
True,0.0,485750.63,BAT,Basic Attention Token,,0.3360,8,0.3440,-1,0.2880,USDC,USDC,STANDARD,1e-08,0.01,0.3075,USDⓈ,USDⓈ,0.3075,,USDC,USD Coin,,TRADING,BATUSDC,0.0001,153118.115504,485750.6300,0,0.33600000,24553.56000000,0.33960000,200.00000000,2019-07-01T03:37:09.420003
True,0.0,485960.02,BAT,Basic Attention Token,,0.3360,8,0.3440,-1,0.2880,USDC,USDC,STANDARD,1e-08,0.01,0.3075,USDⓈ,USDⓈ,0.3075,,USDC,USD Coin,,TRADING,BATUSDC,0.0001,153188.470544,485960.0200,0,0.33650000,507.78000000,0.33970000,11318.74000000,2019-07-01T03:42:34.912820
True,0.0,485960.02,BAT,Basic Attention Token,,0.3360,8,0.3440,-1,0.2880,USDC,USDC,STANDARD,1e-08,0.01,0.3075,USDⓈ,USDⓈ,0.3075,,USDC,USD Coin,,TRADING,BATUSDC,0.0001,153188.470544,485960.0200,0,0.33600000,24553.56000000,0.33760000,7915.55000000,2019-07-01T03:47:59.837101
True,0.0,519648.34,BAT,Basic Attention Token,,0.3360,8,0.3440,-1,0.2880,USDC,USDC,STANDARD,1e-08,0.01,0.3075,USDⓈ,USDⓈ,0.3075,,USDC,USD Coin,,TRADING,BATUSDC,0.0001,164516.814194,519648.3400,0,0.33480000,2892.00000000,0.33700000,1800.00000000,2019-07-01T03:53:23.687655
True,0.0,510411.49,BAT,Basic Attention Token,,0.3361,8,0.3440,-1,0.2880,USDC,USDC,STANDARD,1e-08,0.01,0.3072,USDⓈ,USDⓈ,0.3072,,USDC,USD Coin,,TRADING,BATUSDC,0.0001,161703.339909,510411.4900,0,0.33470000,1451.00000000,0.33770000,1800.00000000,2019-07-01T03:58:48.626384
True,0.0,513080.18,BAT,Basic Attention Token,,0.3354,8,0.3440,-1,0.2880,USDC,USDC,STANDARD,1e-08,0.01,0.3075,USDⓈ,USDⓈ,0.3075,,USDC,USD Coin,,TRADING,BATUSDC,0.0001,162695.805825,513080.1800,0,0.33340000,2300.00000000,0.33520000,1800.00000000,2019-07-01T04:04:13.119400
True,0.0,544080.17,BAT,Basic Attention Token,,0.3307,8,0.3440,-1,0.2880,USDC,USDC,STANDARD,1e-08,0.01,0.3075,USDⓈ,USDⓈ,0.3075,,USDC,USD Coin,,TRADING,BATUSDC,0.0001,172946.546721,544080.1700,0,0.33060000,2742.58000000,0.33230000,311.20000000,2019-07-01T04:09:38.967925
True,0.0,544291.17,BAT,Basic Attention Token,,0.3320,8,0.3440,-1,0.2880,USDC,USDC,STANDARD,1e-08,0.01,0.3075,USDⓈ,USDⓈ,0.3075,,USDC,USD Coin,,TRADING,BATUSDC,0.0001,173016.598721,544291.1700,0,0.33040000,208.61000000,0.33220000,3819.65000000,2019-07-01T04:15:02.241015
True,0.0,544291.17,BAT,Basic Attention Token,,0.3320,8,0.3440,-1,0.2880,USDC,USDC,STANDARD,1e-08,0.01,0.3075,USDⓈ,USDⓈ,0.3075,,USDC,USD Coin,,TRADING,BATUSDC,0.0001,173016.598721,544291.1700,0,0.32960000,746.28000000,0.33160000,6180.33000000,2019-07-01T04:20:25.700467
