active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,13298574.94,BAT,Basic Attention Token,,0.3383,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3116,USDⓈ,USDⓈ,0.3116,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4250422.668498,13298574.9400,0,0.33850000,459.75000000,0.33880000,0.21000000,2019-07-01T03:31:45.853045
True,0.0,13327069.35,BAT,Basic Attention Token,,0.3389,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3102,USDⓈ,USDⓈ,0.3102,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4260885.928643,13327069.3500,0,0.33840000,188.53000000,0.33910000,4442.60000000,2019-07-01T03:37:09.420003
True,0.0,13274768.56,BAT,Basic Attention Token,,0.3394,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3097,USDⓈ,USDⓈ,0.3097,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4245919.763411,13274768.5600,0,0.33940000,1044.82000000,0.34010000,1429.50000000,2019-07-01T03:42:34.912820
True,0.0,13207067.12,BAT,Basic Attention Token,,0.3390,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3090,USDⓈ,USDⓈ,0.309,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4226019.573356,13207067.1200,0,0.33870000,2074.08000000,0.33940000,101.26000000,2019-07-01T03:47:59.837101
True,0.0,13216722.48,BAT,Basic Attention Token,,0.3394,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3090,USDⓈ,USDⓈ,0.309,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4229628.852113,13216722.4800,0,0.33850000,188.53000000,0.33930000,1564.51000000,2019-07-01T03:53:23.687655
True,0.0,13219042.85,BAT,Basic Attention Token,,0.3389,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3090,USDⓈ,USDⓈ,0.309,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4230569.93833,13219042.8500,0,0.33790000,1639.19000000,0.33890000,882.71000000,2019-07-01T03:58:48.626384
True,0.0,13254193.6,BAT,Basic Attention Token,,0.3375,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3088,USDⓈ,USDⓈ,0.3088,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4242872.30659,13254193.6000,0,0.33610000,841.15000000,0.33750000,7290.77000000,2019-07-01T04:04:13.119400
True,0.0,13519936.92,BAT,Basic Attention Token,,0.3336,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3098,USDⓈ,USDⓈ,0.3098,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4331645.06432,13519936.9200,0,0.33300000,191.65000000,0.33350000,20.76000000,2019-07-01T04:09:38.967925
True,0.0,13540436.96,BAT,Basic Attention Token,,0.3339,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3102,USDⓈ,USDⓈ,0.3102,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4338664.495195,13540436.9600,0,0.33310000,2174.95000000,0.33380000,662.19000000,2019-07-01T04:15:02.241015
True,0.0,13547415.06,BAT,Basic Attention Token,,0.3320,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3104,USDⓈ,USDⓈ,0.3104,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4342011.991737,13547415.0600,0,0.33260000,190.00000000,0.33310000,617.52000000,2019-07-01T04:20:25.700467
True,0.0,13556943.92,BAT,Basic Attention Token,,0.3337,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3111,USDⓈ,USDⓈ,0.3111,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4345281.093144,13556943.9200,0,0.33340000,381.30000000,0.33370000,0.12000000,2019-07-01T04:25:49.281416
True,0.0,13571376.5,BAT,Basic Attention Token,,0.3358,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3105,USDⓈ,USDⓈ,0.3105,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4350305.916916,13571376.5000,0,0.33630000,5577.84000000,0.33700000,248.58000000,2019-07-01T04:31:13.431888
True,0.0,13592948.61,BAT,Basic Attention Token,,0.3365,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3102,USDⓈ,USDⓈ,0.3102,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4357594.596502,13592948.6100,0,0.33650000,4972.04000000,0.33720000,879.65000000,2019-07-01T04:36:38.444339
True,0.0,13593860.29,BAT,Basic Attention Token,,0.3358,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3098,USDⓈ,USDⓈ,0.3098,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4358056.78143,13593860.2900,0,0.33560000,168.54000000,0.33630000,402.09000000,2019-07-01T04:42:02.003745
True,0.0,13598735.16,BAT,Basic Attention Token,,0.3357,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3099,USDⓈ,USDⓈ,0.3099,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4359970.926013,13598735.1600,0,0.33580000,167.63000000,0.33630000,657.67000000,2019-07-01T04:47:26.497829
True,0.0,13538520.8,BAT,Basic Attention Token,,0.3365,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3104,USDⓈ,USDⓈ,0.3104,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4341595.003762,13538520.8000,0,0.33610000,62.00000000,0.33630000,3282.14000000,2019-07-01T04:52:50.537708
True,0.0,13603519.86,BAT,Basic Attention Token,,0.3360,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3104,USDⓈ,USDⓈ,0.3104,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4364027.362241,13603519.8600,0,0.33450000,176.00000000,0.33590000,550.65000000,2019-07-01T04:58:15.990657
True,0.0,13583791.84,BAT,Basic Attention Token,,0.3324,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3106,USDⓈ,USDⓈ,0.3106,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4358641.560807,13583791.8400,0,0.33200000,36.81000000,0.33250000,4708.00000000,2019-07-01T05:03:40.747780
True,0.0,13668919.81,BAT,Basic Attention Token,,0.3318,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3098,USDⓈ,USDⓈ,0.3098,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4387005.379484,13668919.8100,0,0.33080000,262.00000000,0.33190000,996.13000000,2019-07-01T05:09:05.523550
True,0.0,13695675.73,BAT,Basic Attention Token,,0.3316,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3103,USDⓈ,USDⓈ,0.3103,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4395890.254839,13695675.7300,0,0.33130000,353.20000000,0.33220000,317.51000000,2019-07-01T05:14:29.634335
True,0.0,13716001.53,BAT,Basic Attention Token,,0.3300,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3104,USDⓈ,USDⓈ,0.3104,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4402647.087621,13716001.5300,0,0.33060000,752.69000000,0.33160000,1573.97000000,2019-07-01T05:19:53.868096
True,0.0,13752274.04,BAT,Basic Attention Token,,0.3306,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3115,USDⓈ,USDⓈ,0.3115,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4414990.41676,13752274.0400,0,0.33040000,631.63000000,0.33160000,192.92000000,2019-07-01T05:25:20.751285
True,0.0,13749174.47,BAT,Basic Attention Token,,0.3300,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3125,USDⓈ,USDⓈ,0.3125,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4414213.203165,13749174.4700,0,0.32980000,218.32000000,0.33020000,1496.93000000,2019-07-01T05:30:44.842063
True,0.0,13712428.82,BAT,Basic Attention Token,,0.3335,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3141,USDⓈ,USDⓈ,0.3141,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4403364.015344,13712428.8200,0,0.33250000,772.12000000,0.33330000,0.82000000,2019-07-01T05:36:09.479568
True,0.0,13646246.01,BAT,Basic Attention Token,,0.3351,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3164,USDⓈ,USDⓈ,0.3164,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4382835.341333,13646246.0100,0,0.33440000,660.33000000,0.33510000,172.64000000,2019-07-01T05:41:36.008204
True,0.0,13640900.36,BAT,Basic Attention Token,,0.3362,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3175,USDⓈ,USDⓈ,0.3175,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4382003.906993,13640900.3600,0,0.33620000,11696.63000000,0.33670000,2609.79000000,2019-07-01T05:47:00.146466
True,0.0,13672454.32,BAT,Basic Attention Token,,0.3371,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3179,USDⓈ,USDⓈ,0.3179,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4393073.932132,13672454.3200,0,0.33750000,0.01000000,0.33780000,1965.77000000,2019-07-01T05:52:24.260849
True,0.0,13567186.48,BAT,Basic Attention Token,,0.3343,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3173,USDⓈ,USDⓈ,0.3173,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4359596.830042,13567186.4800,0,0.33400000,31.96000000,0.33450000,148.54000000,2019-07-01T05:57:49.046305
True,0.0,13592466.75,BAT,Basic Attention Token,,0.3304,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3171,USDⓈ,USDⓈ,0.3171,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4368374.555292,13592466.7500,0,0.33050000,865.84000000,0.33150000,752.24000000,2019-07-01T06:03:14.140805
True,0.0,13574087.13,BAT,Basic Attention Token,,0.3303,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3152,USDⓈ,USDⓈ,0.3152,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4362791.403347,13574087.1300,0,0.33010000,87.20000000,0.33090000,1686.43000000,2019-07-01T06:08:40.232100
True,0.0,13628507.1,BAT,Basic Attention Token,,0.3279,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3140,USDⓈ,USDⓈ,0.314,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4380716.936225,13628507.1000,0,0.32710000,43.92000000,0.32750000,24088.34000000,2019-07-01T06:14:04.103502
True,0.0,13570638.54,BAT,Basic Attention Token,,0.3273,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3124,USDⓈ,USDⓈ,0.3124,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4363549.704248,13570638.5400,0,0.32560000,336.92000000,0.32690000,764.43000000,2019-07-01T06:19:27.900629
True,0.0,13579508.38,BAT,Basic Attention Token,,0.3260,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3120,USDⓈ,USDⓈ,0.312,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4366687.581551,13579508.3800,0,0.32600000,2454.61000000,0.32650000,6490.14000000,2019-07-01T06:24:52.115421
True,0.0,13646147.8,BAT,Basic Attention Token,,0.3230,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3124,USDⓈ,USDⓈ,0.3124,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4388262.604227,13646147.8000,0,0.32280000,22377.56000000,0.32390000,571.63000000,2019-07-01T06:30:15.962641
True,0.0,13675258.84,BAT,Basic Attention Token,,0.3233,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3120,USDⓈ,USDⓈ,0.312,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4398282.792717,13675258.8400,0,0.32260000,197.83000000,0.32320000,164.97000000,2019-07-01T06:35:44.234114
True,0.0,13698607.01,BAT,Basic Attention Token,,0.3244,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3105,USDⓈ,USDⓈ,0.3105,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4405884.663518,13698607.0100,0,0.32340000,8624.14000000,0.32440000,6950.96000000,2019-07-01T06:41:08.289074
True,0.0,13593549.41,BAT,Basic Attention Token,,0.3243,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3078,USDⓈ,USDⓈ,0.3078,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4374053.289911,13593549.4100,0,0.32250000,340.98000000,0.32370000,190.25000000,2019-07-01T06:46:33.630295
True,0.0,13596023.14,BAT,Basic Attention Token,,0.3234,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3090,USDⓈ,USDⓈ,0.309,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4375556.173435,13596023.1400,0,0.32250000,390.71000000,0.32280000,0.81000000,2019-07-01T06:51:57.739336
True,0.0,13624774.28,BAT,Basic Attention Token,,0.3227,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3104,USDⓈ,USDⓈ,0.3104,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4384892.04044,13624774.2800,0,0.32250000,170.72000000,0.32340000,152.73000000,2019-07-01T06:57:22.139678
True,0.0,13687113.01,BAT,Basic Attention Token,,0.3242,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3101,USDⓈ,USDⓈ,0.3101,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4405173.25289,13687113.0100,0,0.32420000,360.70000000,0.32470000,849.70000000,2019-07-01T07:02:46.404417
True,0.0,13682866.57,BAT,Basic Attention Token,,0.3242,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3105,USDⓈ,USDⓈ,0.3105,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4404034.372269,13682866.5700,0,0.32330000,9586.05000000,0.32390000,197.04000000,2019-07-01T07:08:10.693500
True,0.0,13727618.92,BAT,Basic Attention Token,,0.3226,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3094,USDⓈ,USDⓈ,0.3094,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4418729.567177,13727618.9200,0,0.32210000,26956.33000000,0.32260000,575.73000000,2019-07-01T07:13:38.777883
True,0.0,13760953.45,BAT,Basic Attention Token,,0.3216,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3089,USDⓈ,USDⓈ,0.3089,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4429730.741935,13760953.4500,0,0.32220000,1399.45000000,0.32260000,0.34000000,2019-07-01T07:19:03.288780
True,0.0,13764438.82,BAT,Basic Attention Token,,0.3253,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3079,USDⓈ,USDⓈ,0.3079,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4431091.363131,13764438.8200,0,0.32460000,18135.55000000,0.32530000,172.45000000,2019-07-01T07:24:28.780560
True,0.0,13756987.48,BAT,Basic Attention Token,,0.3252,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3086,USDⓈ,USDⓈ,0.3086,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4429005.71525,13756987.4800,0,0.32450000,916.67000000,0.32500000,1218.21000000,2019-07-01T07:29:53.303509
True,0.0,13765822.3,BAT,Basic Attention Token,,0.3260,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3095,USDⓈ,USDⓈ,0.3095,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4431955.870748,13765822.3000,0,0.32580000,675.30000000,0.32660000,864.51000000,2019-07-01T07:35:17.745414
True,0.0,13789779.47,BAT,Basic Attention Token,,0.3270,8,0.3468,-1,0.2900,USDT,USDT,STANDARD,1e-08,0.01,0.3086,USDⓈ,USDⓈ,0.3086,,USDT,TetherUS,,TRADING,BATUSDT,0.0001,4439875.600066,13789779.4700,0,0.32710000,0.91000000,0.32800000,1558.91000000,2019-07-01T07:40:42.585407
