active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,67443.18,BCHABC,Bitcoin Cash ABC,,0.037288,8,0.037859,-1,0.036253,BTC,BTC,STANDARD,1e-08,0.001,0.036480,BTC,BTC,0.03648,,BTC,Bitcoin,฿,TRADING,BCHABCBTC,0.000001,2493.82516267,67443.180000,0,0.03724300,2.65400000,0.03727100,0.05300000,2019-07-01T03:31:45.853045
True,0.0,67266.488,BCHABC,Bitcoin Cash ABC,,0.037383,8,0.037859,-1,0.036253,BTC,BTC,STANDARD,1e-08,0.001,0.036420,BTC,BTC,0.03642,,BTC,Bitcoin,฿,TRADING,BCHABCBTC,0.000001,2487.46174263,67266.488000,0,0.03741200,0.82500000,0.03743400,0.05300000,2019-07-01T03:37:09.420003
True,0.0,66644.577,BCHABC,Bitcoin Cash ABC,,0.037497,8,0.037859,-1,0.036253,BTC,BTC,STANDARD,1e-08,0.001,0.036462,BTC,BTC,0.036462,,BTC,Bitcoin,฿,TRADING,BCHABCBTC,0.000001,2464.89495282,66644.577000,0,0.03746000,0.05300000,0.03748700,1.30900000,2019-07-01T03:42:34.912820
True,0.0,66469.454,BCHABC,Bitcoin Cash ABC,,0.037267,8,0.037859,-1,0.036253,BTC,BTC,STANDARD,1e-08,0.001,0.036497,BTC,BTC,0.036497,,BTC,Bitcoin,฿,TRADING,BCHABCBTC,0.000001,2458.59788923,66469.454000,0,0.03727500,0.05300000,0.03730400,8.70200000,2019-07-01T03:47:59.837101
True,0.0,66120.313,BCHABC,Bitcoin Cash ABC,,0.037293,8,0.037859,-1,0.036253,BTC,BTC,STANDARD,1e-08,0.001,0.036605,BTC,BTC,0.036605,,BTC,Bitcoin,฿,TRADING,BCHABCBTC,0.000001,2445.87537792,66120.313000,0,0.03727600,0.05300000,0.03730100,0.28400000,2019-07-01T03:53:23.687655
True,0.0,65593.229,BCHABC,Bitcoin Cash ABC,,0.037293,8,0.037859,-1,0.036253,BTC,BTC,STANDARD,1e-08,0.001,0.036588,BTC,BTC,0.036588,,BTC,Bitcoin,฿,TRADING,BCHABCBTC,0.000001,2426.61810166,65593.229000,0,0.03727700,0.05300000,0.03728600,1.31000000,2019-07-01T03:58:48.626384
True,0.0,65388.424,BCHABC,Bitcoin Cash ABC,,0.037352,8,0.037859,-1,0.036253,BTC,BTC,STANDARD,1e-08,0.001,0.036547,BTC,BTC,0.036547,,BTC,Bitcoin,฿,TRADING,BCHABCBTC,0.000001,2419.21615905,65388.424000,0,0.03730200,0.55400000,0.03732900,3.45600000,2019-07-01T04:04:13.119400
True,0.0,65146.497,BCHABC,Bitcoin Cash ABC,,0.037353,8,0.037859,-1,0.036253,BTC,BTC,STANDARD,1e-08,0.001,0.036644,BTC,BTC,0.036644,,BTC,Bitcoin,฿,TRADING,BCHABCBTC,0.000001,2410.52085105,65146.497000,0,0.03734600,0.65500000,0.03736600,0.64800000,2019-07-01T04:09:38.967925
True,0.0,64907.72,BCHABC,Bitcoin Cash ABC,,0.037361,8,0.037859,-1,0.036253,BTC,BTC,STANDARD,1e-08,0.001,0.036725,BTC,BTC,0.036725,,BTC,Bitcoin,฿,TRADING,BCHABCBTC,0.000001,2401.79649311,64907.720000,0,0.03736100,0.64000000,0.03738200,1.99000000,2019-07-01T04:15:02.241015
True,0.0,64929.05,BCHABC,Bitcoin Cash ABC,,0.037461,8,0.037859,-1,0.036253,BTC,BTC,STANDARD,1e-08,0.001,0.036606,BTC,BTC,0.036606,,BTC,Bitcoin,฿,TRADING,BCHABCBTC,0.000001,2402.72372401,64929.050000,0,0.03744400,0.95100000,0.03746600,0.05300000,2019-07-01T04:20:25.700467
