active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,79063.0,BNT,Bancor,,0.00006659,8,0.00006668,-1,0.00006397,BTC,BTC,STANDARD,1e-08,1.0,0.00006471,BTC,BTC,6.471e-05,,BTC,Bitcoin,฿,TRADING,BNTBTC,0.00000001,5.18596174,79063.00000000,0,0.00006621,84.00000000,0.00006661,311.00000000,2019-07-01T03:31:45.853045
True,0.0,80532.0,BNT,Bancor,,0.00006667,8,0.00006668,-1,0.00006397,BTC,BTC,STANDARD,1e-08,1.0,0.00006470,BTC,BTC,6.47e-05,,BTC,Bitcoin,฿,TRADING,BNTBTC,0.00000001,5.28390641,80532.00000000,0,0.00006660,1053.00000000,0.00006668,21112.00000000,2019-07-01T03:37:09.420003
True,0.0,81280.0,BNT,Bancor,,0.00006668,8,0.00006668,-1,0.00006397,BTC,BTC,STANDARD,1e-08,1.0,0.00006477,BTC,BTC,6.477e-05,,BTC,Bitcoin,฿,TRADING,BNTBTC,0.00000001,5.33373241,81280.00000000,0,0.00006666,18.00000000,0.00006668,21092.00000000,2019-07-01T03:42:34.912820
True,0.0,81218.0,BNT,Bancor,,0.00006660,8,0.00006668,-1,0.00006397,BTC,BTC,STANDARD,1e-08,1.0,0.00006483,BTC,BTC,6.483e-05,,BTC,Bitcoin,฿,TRADING,BNTBTC,0.00000001,5.32980142,81218.00000000,0,0.00006660,270.00000000,0.00006668,21059.00000000,2019-07-01T03:47:59.837101
True,0.0,81559.0,BNT,Bancor,,0.00006660,8,0.00006668,-1,0.00006397,BTC,BTC,STANDARD,1e-08,1.0,0.00006483,BTC,BTC,6.483e-05,,BTC,Bitcoin,฿,TRADING,BNTBTC,0.00000001,5.35251458,81559.00000000,0,0.00006631,40.00000000,0.00006662,630.00000000,2019-07-01T03:53:23.687655
True,0.0,81559.0,BNT,Bancor,,0.00006660,8,0.00006668,-1,0.00006397,BTC,BTC,STANDARD,1e-08,1.0,0.00006483,BTC,BTC,6.483e-05,,BTC,Bitcoin,฿,TRADING,BNTBTC,0.00000001,5.35251458,81559.00000000,0,0.00006631,120.00000000,0.00006666,630.00000000,2019-07-01T03:58:48.626384
True,0.0,81559.0,BNT,Bancor,,0.00006660,8,0.00006668,-1,0.00006397,BTC,BTC,STANDARD,1e-08,1.0,0.00006483,BTC,BTC,6.483e-05,,BTC,Bitcoin,฿,TRADING,BNTBTC,0.00000001,5.35251458,81559.00000000,0,0.00006623,87.00000000,0.00006666,630.00000000,2019-07-01T04:04:13.119400
True,0.0,81559.0,BNT,Bancor,,0.00006660,8,0.00006668,-1,0.00006397,BTC,BTC,STANDARD,1e-08,1.0,0.00006483,BTC,BTC,6.483e-05,,BTC,Bitcoin,฿,TRADING,BNTBTC,0.00000001,5.35251458,81559.00000000,0,0.00006622,87.00000000,0.00006667,630.00000000,2019-07-01T04:09:38.967925
True,0.0,81559.0,BNT,Bancor,,0.00006660,8,0.00006668,-1,0.00006397,BTC,BTC,STANDARD,1e-08,1.0,0.00006483,BTC,BTC,6.483e-05,,BTC,Bitcoin,฿,TRADING,BNTBTC,0.00000001,5.35251458,81559.00000000,0,0.00006618,87.00000000,0.00006667,630.00000000,2019-07-01T04:15:02.241015
True,0.0,81559.0,BNT,Bancor,,0.00006660,8,0.00006668,-1,0.00006397,BTC,BTC,STANDARD,1e-08,1.0,0.00006483,BTC,BTC,6.483e-05,,BTC,Bitcoin,฿,TRADING,BNTBTC,0.00000001,5.35251458,81559.00000000,0,0.00006620,2074.00000000,0.00006667,307.00000000,2019-07-01T04:20:25.700467
