active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,5294287.0,BQX,ETHOS,,0.00000899,8,0.00000929,-1,0.00000852,BTC,BTC,STANDARD,1e-08,1.0,0.00000852,BTC,BTC,8.52e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,46.7243264,5294287.00000000,0,0.00000898,560.00000000,0.00000902,2146.00000000,2019-07-01T03:31:45.853045
True,0.0,5294287.0,BQX,ETHOS,,0.00000899,8,0.00000929,-1,0.00000852,BTC,BTC,STANDARD,1e-08,1.0,0.00000852,BTC,BTC,8.52e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,46.7243264,5294287.00000000,0,0.00000900,9894.00000000,0.00000902,2146.00000000,2019-07-01T03:37:09.420003
True,0.0,5288087.0,BQX,ETHOS,,0.00000903,8,0.00000929,-1,0.00000854,BTC,BTC,STANDARD,1e-08,1.0,0.00000858,BTC,BTC,8.58e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,46.67738453,5288087.00000000,0,0.00000900,722.00000000,0.00000903,14082.00000000,2019-07-01T03:42:34.912820
True,0.0,5288308.0,BQX,ETHOS,,0.00000903,8,0.00000929,-1,0.00000854,BTC,BTC,STANDARD,1e-08,1.0,0.00000858,BTC,BTC,8.58e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,46.67938016,5288308.00000000,0,0.00000900,722.00000000,0.00000904,6120.00000000,2019-07-01T03:47:59.837101
True,0.0,5288196.0,BQX,ETHOS,,0.00000903,8,0.00000929,-1,0.00000854,BTC,BTC,STANDARD,1e-08,1.0,0.00000854,BTC,BTC,8.54e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,46.6820369,5288196.00000000,0,0.00000902,5804.00000000,0.00000906,1921.00000000,2019-07-01T03:53:23.687655
True,0.0,5313058.0,BQX,ETHOS,,0.00000902,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000859,BTC,BTC,8.59e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,46.90776561,5313058.00000000,0,0.00000901,2430.00000000,0.00000905,1240.00000000,2019-07-01T03:58:48.626384
True,0.0,5315012.0,BQX,ETHOS,,0.00000903,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000859,BTC,BTC,8.59e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,46.92539183,5315012.00000000,0,0.00000901,5656.00000000,0.00000904,112.00000000,2019-07-01T04:04:13.119400
True,0.0,5336415.0,BQX,ETHOS,,0.00000898,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000856,BTC,BTC,8.56e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.11899751,5336415.00000000,0,0.00000900,560.00000000,0.00000906,3433.00000000,2019-07-01T04:09:38.967925
True,0.0,5347060.0,BQX,ETHOS,,0.00000900,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000859,BTC,BTC,8.59e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.21684169,5347060.00000000,0,0.00000899,6407.00000000,0.00000906,16211.00000000,2019-07-01T04:15:02.241015
True,0.0,5349921.0,BQX,ETHOS,,0.00000899,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000858,BTC,BTC,8.58e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.24279989,5349921.00000000,0,0.00000895,713.00000000,0.00000899,10979.00000000,2019-07-01T04:20:25.700467
True,0.0,5347573.0,BQX,ETHOS,,0.00000900,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000858,BTC,BTC,8.58e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.22356969,5347573.00000000,0,0.00000896,1884.00000000,0.00000900,18834.00000000,2019-07-01T04:25:49.281416
True,0.0,5351344.0,BQX,ETHOS,,0.00000900,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000857,BTC,BTC,8.57e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.25814397,5351344.00000000,0,0.00000898,334.00000000,0.00000900,12556.00000000,2019-07-01T04:31:13.431888
True,0.0,5375786.0,BQX,ETHOS,,0.00000900,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000858,BTC,BTC,8.58e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.47866438,5375786.00000000,0,0.00000896,6865.00000000,0.00000900,4869.00000000,2019-07-01T04:36:38.444339
True,0.0,5373874.0,BQX,ETHOS,,0.00000902,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000856,BTC,BTC,8.56e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.46370049,5373874.00000000,0,0.00000897,5769.00000000,0.00000904,5583.00000000,2019-07-01T04:42:02.003745
True,0.0,5372598.0,BQX,ETHOS,,0.00000897,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000859,BTC,BTC,8.59e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.45303744,5372598.00000000,0,0.00000897,1866.00000000,0.00000903,5678.00000000,2019-07-01T04:47:26.497829
True,0.0,5331136.0,BQX,ETHOS,,0.00000899,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000864,BTC,BTC,8.64e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.09687043,5331136.00000000,0,0.00000897,1091.00000000,0.00000900,558.00000000,2019-07-01T04:52:50.537708
True,0.0,5343438.0,BQX,ETHOS,,0.00000897,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000866,BTC,BTC,8.66e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.209946,5343438.00000000,0,0.00000897,11018.00000000,0.00000900,556.00000000,2019-07-01T04:58:15.990657
True,0.0,5370903.0,BQX,ETHOS,,0.00000895,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000857,BTC,BTC,8.57e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.46134301,5370903.00000000,0,0.00000895,4250.00000000,0.00000899,550.00000000,2019-07-01T05:03:40.747780
True,0.0,5413875.0,BQX,ETHOS,,0.00000890,8,0.00000929,-1,0.00000855,BTC,BTC,STANDARD,1e-08,1.0,0.00000860,BTC,BTC,8.6e-06,,BTC,Bitcoin,฿,TRADING,BQXBTC,0.00000001,47.84801518,5413875.00000000,0,0.00000890,7485.00000000,0.00000896,5188.00000000,2019-07-01T05:09:05.523550
