active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,7515612.0,CMT,CyberMiles,,0.00000370,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000362,BTC,BTC,3.62e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,27.61649537,7515612.00000000,0,0.00000371,373.00000000,0.00000372,808.00000000,2019-07-01T03:31:45.853045
True,0.0,7516270.0,CMT,CyberMiles,,0.00000370,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000362,BTC,BTC,3.62e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,27.61901764,7516270.00000000,0,0.00000374,17053.00000000,0.00000375,75750.00000000,2019-07-01T03:37:09.420003
True,0.0,7213512.0,CMT,CyberMiles,,0.00000375,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000361,BTC,BTC,3.61e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.5404486,7213512.00000000,0,0.00000374,7734.00000000,0.00000375,4843.00000000,2019-07-01T03:42:34.912820
True,0.0,7206545.0,CMT,CyberMiles,,0.00000373,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.51893885,7206545.00000000,0,0.00000370,62357.00000000,0.00000373,10328.00000000,2019-07-01T03:47:59.837101
True,0.0,7206706.0,CMT,CyberMiles,,0.00000371,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.52007604,7206706.00000000,0,0.00000370,145992.00000000,0.00000372,529.00000000,2019-07-01T03:53:23.687655
True,0.0,7236657.0,CMT,CyberMiles,,0.00000372,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000360,BTC,BTC,3.6e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.6319885,7236657.00000000,0,0.00000370,150146.00000000,0.00000373,9222.00000000,2019-07-01T03:58:48.626384
True,0.0,7248101.0,CMT,CyberMiles,,0.00000372,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000360,BTC,BTC,3.6e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.67450841,7248101.00000000,0,0.00000371,40979.00000000,0.00000373,12854.00000000,2019-07-01T04:04:13.119400
True,0.0,7258555.0,CMT,CyberMiles,,0.00000370,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.71732465,7258555.00000000,0,0.00000370,121781.00000000,0.00000373,9222.00000000,2019-07-01T04:09:38.967925
True,0.0,7311269.0,CMT,CyberMiles,,0.00000370,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000358,BTC,BTC,3.58e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.9143466,7311269.00000000,0,0.00000370,49072.00000000,0.00000372,6022.00000000,2019-07-01T04:15:02.241015
True,0.0,7184631.0,CMT,CyberMiles,,0.00000371,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.46133538,7184631.00000000,0,0.00000370,57292.00000000,0.00000372,1179.00000000,2019-07-01T04:20:25.700467
True,0.0,7170351.0,CMT,CyberMiles,,0.00000373,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.41040653,7170351.00000000,0,0.00000371,1174.00000000,0.00000373,37907.00000000,2019-07-01T04:25:49.281416
True,0.0,7154936.0,CMT,CyberMiles,,0.00000372,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.35784748,7154936.00000000,0,0.00000371,4000.00000000,0.00000373,35485.00000000,2019-07-01T04:31:13.431888
True,0.0,7171300.0,CMT,CyberMiles,,0.00000369,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.42122584,7171300.00000000,0,0.00000369,2265.00000000,0.00000370,1951.00000000,2019-07-01T04:36:38.444339
True,0.0,7208525.0,CMT,CyberMiles,,0.00000368,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.55971785,7208525.00000000,0,0.00000369,1176.00000000,0.00000371,7178.00000000,2019-07-01T04:42:02.003745
True,0.0,7183771.0,CMT,CyberMiles,,0.00000370,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.471691,7183771.00000000,0,0.00000369,22628.00000000,0.00000372,51312.00000000,2019-07-01T04:47:26.497829
True,0.0,7198969.0,CMT,CyberMiles,,0.00000371,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.52802069,7198969.00000000,0,0.00000369,13773.00000000,0.00000371,6832.00000000,2019-07-01T04:52:50.537708
True,0.0,7205943.0,CMT,CyberMiles,,0.00000370,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.55386632,7205943.00000000,0,0.00000370,1296.00000000,0.00000372,20723.00000000,2019-07-01T04:58:15.990657
True,0.0,7205839.0,CMT,CyberMiles,,0.00000372,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.55521073,7205839.00000000,0,0.00000370,2623.00000000,0.00000372,13706.00000000,2019-07-01T05:03:40.747780
True,0.0,7218764.0,CMT,CyberMiles,,0.00000370,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000358,BTC,BTC,3.58e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.6032627,7218764.00000000,0,0.00000370,3223.00000000,0.00000372,27952.00000000,2019-07-01T05:09:05.523550
True,0.0,7242680.0,CMT,CyberMiles,,0.00000371,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000359,BTC,BTC,3.59e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.69217427,7242680.00000000,0,0.00000371,6612.00000000,0.00000372,19626.00000000,2019-07-01T05:14:29.634335
True,0.0,7207996.0,CMT,CyberMiles,,0.00000371,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000360,BTC,BTC,3.6e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.5693253,7207996.00000000,0,0.00000370,1167.00000000,0.00000372,7539.00000000,2019-07-01T05:19:53.868096
True,0.0,7056259.0,CMT,CyberMiles,,0.00000370,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000364,BTC,BTC,3.64e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,26.02138023,7056259.00000000,0,0.00000369,7932.00000000,0.00000371,3837.00000000,2019-07-01T05:25:20.751285
True,0.0,7040350.0,CMT,CyberMiles,,0.00000372,8,0.00000378,-1,0.00000357,BTC,BTC,STANDARD,1e-08,1.0,0.00000366,BTC,BTC,3.66e-06,,BTC,Bitcoin,฿,TRADING,CMTBTC,0.00000001,25.96400365,7040350.00000000,0,0.00000371,4264.00000000,0.00000372,478.00000000,2019-07-01T05:30:44.842063
