active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,548.812,DASH,Dash,,4.816,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.872,BNB,BNB,4.872,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2690.350853,548.812,0,4.80200000,0.08000000,4.82300000,1.86900000,2019-07-01T03:31:45.853045
True,0.0,548.812,DASH,Dash,,4.816,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.872,BNB,BNB,4.872,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2690.350853,548.812,0,4.80900000,0.57100000,4.81600000,0.05200000,2019-07-01T03:37:09.420003
True,0.0,550.193,DASH,Dash,,4.814,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.872,BNB,BNB,4.872,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2696.932731,550.193,0,4.80500000,10.47700000,4.83700000,0.57100000,2019-07-01T03:42:34.912820
True,0.0,555.967,DASH,Dash,,4.837,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.872,BNB,BNB,4.872,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2724.847625,555.967,0,4.82600000,0.30900000,4.84900000,0.57100000,2019-07-01T03:47:59.837101
True,0.0,555.967,DASH,Dash,,4.837,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.872,BNB,BNB,4.872,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2724.847625,555.967,0,4.82300000,0.98600000,4.84700000,0.57100000,2019-07-01T03:53:23.687655
True,0.0,555.967,DASH,Dash,,4.837,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.872,BNB,BNB,4.872,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2724.847625,555.967,0,4.82200000,2.85000000,4.83600000,1.86200000,2019-07-01T03:58:48.626384
True,0.0,555.967,DASH,Dash,,4.837,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.872,BNB,BNB,4.872,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2724.847625,555.967,0,4.80300000,0.57100000,4.82700000,0.92500000,2019-07-01T04:04:13.119400
True,0.0,555.967,DASH,Dash,,4.837,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.872,BNB,BNB,4.872,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2724.847625,555.967,0,4.80400000,0.40600000,4.82500000,12.74100000,2019-07-01T04:09:38.967925
True,0.0,555.967,DASH,Dash,,4.837,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.872,BNB,BNB,4.872,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2724.847625,555.967,0,4.81200000,0.05500000,4.83300000,1.86500000,2019-07-01T04:15:02.241015
True,0.0,555.967,DASH,Dash,,4.837,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.872,BNB,BNB,4.872,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2724.847625,555.967,0,4.80400000,4.23400000,4.83000000,1.86700000,2019-07-01T04:20:25.700467
True,0.0,555.771,DASH,Dash,,4.802,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.854,BNB,BNB,4.854,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2723.889891,555.771,0,4.79900000,0.03200000,4.81200000,0.57100000,2019-07-01T04:25:49.281416
True,0.0,556.808,DASH,Dash,,4.790,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.854,BNB,BNB,4.854,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2728.865557,556.808,0,4.78300000,0.02400000,4.79800000,1.60900000,2019-07-01T04:31:13.431888
True,0.0,556.832,DASH,Dash,,4.783,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.854,BNB,BNB,4.854,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2728.980349,556.832,0,4.77800000,2.66100000,4.78800000,0.05300000,2019-07-01T04:36:38.444339
True,0.0,556.454,DASH,Dash,,4.788,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.821,BNB,BNB,4.821,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2727.142039,556.454,0,4.77600000,4.23400000,4.80400000,0.57000000,2019-07-01T04:42:02.003745
True,0.0,563.032,DASH,Dash,,4.762,8,4.999,-1,4.746,BNB,BNB,STANDARD,1e-08,0.001,4.821,BNB,BNB,4.821,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2758.515394,563.032,0,4.75200000,0.08000000,4.77000000,1.88900000,2019-07-01T04:47:26.497829
True,0.0,565.892,DASH,Dash,,4.717,8,4.999,-1,4.717,BNB,BNB,STANDARD,1e-08,0.001,4.821,BNB,BNB,4.821,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2772.0392,565.892,0,4.71100000,4.23400000,4.71900000,0.57000000,2019-07-01T04:52:50.537708
True,0.0,568.569,DASH,Dash,,4.678,8,4.999,-1,4.678,BNB,BNB,STANDARD,1e-08,0.001,4.821,BNB,BNB,4.821,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2784.616644,568.569,0,4.67600000,0.02500000,4.69900000,1.97300000,2019-07-01T04:58:15.990657
True,0.0,579.836,DASH,Dash,,4.699,8,4.999,-1,4.663,BNB,BNB,STANDARD,1e-08,0.001,4.821,BNB,BNB,4.821,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2837.336996,579.836,0,4.69500000,6.00400000,4.72600000,1.91000000,2019-07-01T05:03:40.747780
True,0.0,580.745,DASH,Dash,,4.699,8,4.999,-1,4.663,BNB,BNB,STANDARD,1e-08,0.001,4.821,BNB,BNB,4.821,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2841.596417,580.745,0,4.68100000,0.35600000,4.72700000,1.55900000,2019-07-01T05:09:05.523550
True,0.0,580.745,DASH,Dash,,4.699,8,4.999,-1,4.663,BNB,BNB,STANDARD,1e-08,0.001,4.821,BNB,BNB,4.821,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2841.596417,580.745,0,4.66600000,7.16600000,4.69700000,1.92100000,2019-07-01T05:14:29.634335
True,0.0,580.872,DASH,Dash,,4.653,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.821,BNB,BNB,4.821,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2842.187996,580.872,0,4.65500000,1.60800000,4.68400000,0.57000000,2019-07-01T05:19:53.868096
True,0.0,581.01,DASH,Dash,,4.659,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.821,BNB,BNB,4.821,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2842.830938,581.010,0,4.66400000,2.06500000,4.68200000,1.92600000,2019-07-01T05:25:20.751285
True,0.0,581.01,DASH,Dash,,4.659,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.821,BNB,BNB,4.821,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2842.830938,581.010,0,4.65200000,0.08000000,4.67000000,1.93000000,2019-07-01T05:30:44.842063
True,0.0,575.391,DASH,Dash,,4.662,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.819,BNB,BNB,4.819,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2815.756083,575.391,0,4.65700000,1.22400000,4.67100000,0.98300000,2019-07-01T05:36:09.479568
True,0.0,575.42,DASH,Dash,,4.662,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.819,BNB,BNB,4.819,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2815.891281,575.420,0,4.65200000,0.08000000,4.66500000,1.93200000,2019-07-01T05:41:36.008204
True,0.0,575.42,DASH,Dash,,4.662,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.819,BNB,BNB,4.819,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2815.891281,575.420,0,4.67000000,7.35900000,4.68700000,1.92300000,2019-07-01T05:47:00.146466
True,0.0,574.821,DASH,Dash,,4.693,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.815,BNB,BNB,4.815,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2812.996384,574.821,0,4.69700000,14.19600000,4.70900000,0.05400000,2019-07-01T05:52:24.260849
True,0.0,587.935,DASH,Dash,,4.743,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.815,BNB,BNB,4.815,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2875.155562,587.935,0,4.71000000,2.49500000,4.73400000,0.56800000,2019-07-01T05:57:49.046305
True,0.0,587.935,DASH,Dash,,4.743,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.815,BNB,BNB,4.815,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2875.155562,587.935,0,4.72600000,0.52100000,4.74200000,0.56800000,2019-07-01T06:03:14.140805
True,0.0,587.996,DASH,Dash,,4.743,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.799,BNB,BNB,4.799,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2875.441285,587.996,0,4.73200000,11.28600000,4.75000000,2.00000000,2019-07-01T06:08:40.232100
True,0.0,587.996,DASH,Dash,,4.743,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.799,BNB,BNB,4.799,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2875.441285,587.996,0,4.72400000,1.47700000,4.74300000,0.56800000,2019-07-01T06:14:04.103502
True,0.0,587.996,DASH,Dash,,4.743,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.799,BNB,BNB,4.799,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2875.441285,587.996,0,4.72900000,1.89800000,4.74900000,0.18600000,2019-07-01T06:19:27.900629
True,0.0,587.996,DASH,Dash,,4.743,8,4.999,-1,4.653,BNB,BNB,STANDARD,1e-08,0.001,4.799,BNB,BNB,4.799,,BNB,Binance Coin,,TRADING,DASHBNB,0.001,2875.441285,587.996,0,4.71500000,3.13800000,4.74200000,1.90300000,2019-07-01T06:24:52.115421
