active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,12269176.0,DATA,Streamr DATAcoin,,0.00000180,8,0.00000183,-1,0.00000169,BTC,BTC,STANDARD,1e-08,1.0,0.00000171,BTC,BTC,1.71e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,21.56975601,12269176.00000000,0,0.00000179,110235.00000000,0.00000180,27620.00000000,2019-06-30T15:17:01.159662
True,0.0,12263523.0,DATA,Streamr DATAcoin,,0.00000180,8,0.00000183,-1,0.00000169,BTC,BTC,STANDARD,1e-08,1.0,0.00000170,BTC,BTC,1.7e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,21.56267114,12263523.00000000,0,0.00000181,20104.00000000,0.00000182,119766.00000000,2019-06-30T15:17:01.159662
True,0.0,12363616.0,DATA,Streamr DATAcoin,,0.00000182,8,0.00000183,-1,0.00000169,BTC,BTC,STANDARD,1e-08,1.0,0.00000169,BTC,BTC,1.69e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,21.75255407,12363616.00000000,0,0.00000181,11854.00000000,0.00000182,1378.00000000,2019-06-30T15:17:01.159662
True,0.0,12426253.0,DATA,Streamr DATAcoin,,0.00000180,8,0.00000183,-1,0.00000169,BTC,BTC,STANDARD,1e-08,1.0,0.00000169,BTC,BTC,1.69e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,21.86536471,12426253.00000000,0,0.00000180,299302.00000000,0.00000182,30855.00000000,2019-07-01T01:11:10.052472
True,0.0,12110243.0,DATA,Streamr DATAcoin,,0.00000181,8,0.00000183,-1,0.00000169,BTC,BTC,STANDARD,1e-08,1.0,0.00000170,BTC,BTC,1.7e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,21.33147131,12110243.00000000,0,-1,-1,-1,-1,2019-07-01T01:15:32.138219
True,0.0,11972144.0,DATA,Streamr DATAcoin,,0.00000182,8,0.00000183,-1,0.00000169,BTC,BTC,STANDARD,1e-08,1.0,0.00000171,BTC,BTC,1.71e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,21.09701139,11972144.00000000,0,-1,-1,-1,-1,2019-07-01T01:29:20.017268
True,0.0,11972144.0,DATA,Streamr DATAcoin,,0.00000182,8,0.00000183,-1,0.00000169,BTC,BTC,STANDARD,1e-08,1.0,0.00000171,BTC,BTC,1.71e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,21.09701139,11972144.00000000,0,-1,-1,-1,-1,2019-07-01T01:32:09.008550
True,0.0,11972144.0,DATA,Streamr DATAcoin,,0.00000182,8,0.00000183,-1,0.00000169,BTC,BTC,STANDARD,1e-08,1.0,0.00000171,BTC,BTC,1.71e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,21.09701139,11972144.00000000,0,-1,-1,-1,-1,2019-07-01T01:33:36.557449
True,0.0,11972144.0,DATA,Streamr DATAcoin,,0.00000182,8,0.00000183,-1,0.00000169,BTC,BTC,STANDARD,1e-08,1.0,0.00000171,BTC,BTC,1.71e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,21.09701139,11972144.00000000,0,0.00000181,60773.00000000,0.00000182,6401.00000000,2019-07-01T01:34:45.334900
True,0.0,11756755.0,DATA,Streamr DATAcoin,,0.00000182,8,0.00000183,-1,0.00000170,BTC,BTC,STANDARD,1e-08,1.0,0.00000171,BTC,BTC,1.71e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,20.73090825,11756755.00000000,0,0.00000181,60773.00000000,0.00000182,5846.00000000,2019-07-01T01:39:01.378374
True,0.0,11756755.0,DATA,Streamr DATAcoin,,0.00000182,8,0.00000183,-1,0.00000170,BTC,BTC,STANDARD,1e-08,1.0,0.00000171,BTC,BTC,1.71e-06,,BTC,Bitcoin,฿,TRADING,DATABTC,0.00000001,20.73090825,11756755.00000000,0,0.00000181,149024.00000000,0.00000182,2081.00000000,2019-07-01T01:42:58.078664
