active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,10132899.0,DUSK,Dusk Network,,0.00001047,8,0.00001159,-1,0.00001028,BTC,BTC,STANDARD,1e-08,1.0,0.00001146,BTC,BTC,1.146e-05,,BTC,Bitcoin,฿,TRADING,DUSKBTC,0.00000001,109.6697415,10132899.00000000,0,0.00001043,2390.00000000,0.00001047,4002.00000000,2019-09-06T04:46:58.837146
True,0.0,10132390.0,DUSK,Dusk Network,,0.00001047,8,0.00001159,-1,0.00001028,BTC,BTC,STANDARD,1e-08,1.0,0.00001150,BTC,BTC,1.15e-05,,BTC,Bitcoin,฿,TRADING,DUSKBTC,0.00000001,109.66210234,10132390.00000000,0,0.00001044,1270.00000000,0.00001047,2414.00000000,2019-09-06T04:52:20.564248
True,0.0,10119642.0,DUSK,Dusk Network,,0.00001047,8,0.00001159,-1,0.00001028,BTC,BTC,STANDARD,1e-08,1.0,0.00001146,BTC,BTC,1.146e-05,,BTC,Bitcoin,฿,TRADING,DUSKBTC,0.00000001,109.48577079,10119642.00000000,0,0.00001043,1230.00000000,0.00001047,5250.00000000,2019-09-06T04:57:42.818653
True,0.0,10076062.0,DUSK,Dusk Network,,0.00001045,8,0.00001159,-1,0.00001028,BTC,BTC,STANDARD,1e-08,1.0,0.00001143,BTC,BTC,1.143e-05,,BTC,Bitcoin,฿,TRADING,DUSKBTC,0.00000001,108.98371419,10076062.00000000,0,0.00001043,1230.00000000,0.00001044,73.00000000,2019-09-06T05:03:03.119896
True,0.0,10074617.0,DUSK,Dusk Network,,0.00001045,8,0.00001159,-1,0.00001028,BTC,BTC,STANDARD,1e-08,1.0,0.00001146,BTC,BTC,1.146e-05,,BTC,Bitcoin,฿,TRADING,DUSKBTC,0.00000001,108.9583325,10074617.00000000,0,0.00001043,997.00000000,0.00001044,1920.00000000,2019-09-06T05:08:23.879909
True,0.0,10084633.0,DUSK,Dusk Network,,0.00001043,8,0.00001159,-1,0.00001028,BTC,BTC,STANDARD,1e-08,1.0,0.00001146,BTC,BTC,1.146e-05,,BTC,Bitcoin,฿,TRADING,DUSKBTC,0.00000001,109.03629837,10084633.00000000,0,0.00001041,2917.00000000,0.00001043,207.00000000,2019-09-06T05:13:44.134079
True,0.0,10087695.0,DUSK,Dusk Network,,0.00001039,8,0.00001159,-1,0.00001028,BTC,BTC,STANDARD,1e-08,1.0,0.00001147,BTC,BTC,1.147e-05,,BTC,Bitcoin,฿,TRADING,DUSKBTC,0.00000001,109.05955885,10087695.00000000,0,0.00001040,1458.00000000,0.00001043,207.00000000,2019-09-06T05:19:04.411549
True,0.0,10091025.0,DUSK,Dusk Network,,0.00001037,8,0.00001159,-1,0.00001028,BTC,BTC,STANDARD,1e-08,1.0,0.00001147,BTC,BTC,1.147e-05,,BTC,Bitcoin,฿,TRADING,DUSKBTC,0.00000001,109.09268335,10091025.00000000,0,0.00001037,13837.00000000,0.00001038,40.00000000,2019-09-06T05:24:24.639724
True,0.0,10093104.0,DUSK,Dusk Network,,0.00001038,8,0.00001159,-1,0.00001028,BTC,BTC,STANDARD,1e-08,1.0,0.00001147,BTC,BTC,1.147e-05,,BTC,Bitcoin,฿,TRADING,DUSKBTC,0.00000001,109.11424298,10093104.00000000,0,0.00001038,1659.00000000,0.00001039,111.00000000,2019-09-06T05:29:44.430120
True,0.0,10061684.0,DUSK,Dusk Network,,0.00001040,8,0.00001159,-1,0.00001028,BTC,BTC,STANDARD,1e-08,1.0,0.00001148,BTC,BTC,1.148e-05,,BTC,Bitcoin,฿,TRADING,DUSKBTC,0.00000001,108.75302607,10061684.00000000,0,0.00001040,3917.00000000,0.00001042,26.00000000,2019-09-06T05:35:04.069464
