active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,329742.9,EDO,Eidoo,,0.0000806,8,0.0000858,-1,0.0000783,BTC,BTC,STANDARD,1e-08,0.01,0.0000787,BTC,BTC,7.87e-05,,BTC,Bitcoin,฿,TRADING,EDOBTC,0.0000001,26.75529271,329742.9000000,0,0.00008080,54.17000000,0.00008110,421.46000000,2019-07-01T03:31:45.853045
True,0.0,331234.65,EDO,Eidoo,,0.0000815,8,0.0000858,-1,0.0000783,BTC,BTC,STANDARD,1e-08,0.01,0.0000786,BTC,BTC,7.86e-05,,BTC,Bitcoin,฿,TRADING,EDOBTC,0.0000001,26.87651006,331234.6500000,0,0.00008140,27.32000000,0.00008150,12.38000000,2019-07-01T03:37:09.420003
True,0.0,330060.54,EDO,Eidoo,,0.0000814,8,0.0000858,-1,0.0000783,BTC,BTC,STANDARD,1e-08,0.01,0.0000787,BTC,BTC,7.87e-05,,BTC,Bitcoin,฿,TRADING,EDOBTC,0.0000001,26.78423461,330060.5400000,0,0.00008140,6.89000000,0.00008150,12.38000000,2019-07-01T03:42:34.912820
True,0.0,330044.18,EDO,Eidoo,,0.0000814,8,0.0000858,-1,0.0000783,BTC,BTC,STANDARD,1e-08,0.01,0.0000787,BTC,BTC,7.87e-05,,BTC,Bitcoin,฿,TRADING,EDOBTC,0.0000001,26.7829805,330044.1800000,0,0.00008140,193.27000000,0.00008170,301.20000000,2019-07-01T03:47:59.837101
True,0.0,329714.44,EDO,Eidoo,,0.0000814,8,0.0000858,-1,0.0000783,BTC,BTC,STANDARD,1e-08,0.01,0.0000787,BTC,BTC,7.87e-05,,BTC,Bitcoin,฿,TRADING,EDOBTC,0.0000001,26.75716393,329714.4400000,0,0.00008140,2526.38000000,0.00008160,99.30000000,2019-07-01T03:53:23.687655
True,0.0,329897.66,EDO,Eidoo,,0.0000814,8,0.0000858,-1,0.0000783,BTC,BTC,STANDARD,1e-08,0.01,0.0000790,BTC,BTC,7.9e-05,,BTC,Bitcoin,฿,TRADING,EDOBTC,0.0000001,26.77235343,329897.6600000,0,0.00008140,2241.16000000,0.00008160,2135.23000000,2019-07-01T03:58:48.626384
True,0.0,329903.91,EDO,Eidoo,,0.0000814,8,0.0000858,-1,0.0000783,BTC,BTC,STANDARD,1e-08,0.01,0.0000789,BTC,BTC,7.89e-05,,BTC,Bitcoin,฿,TRADING,EDOBTC,0.0000001,26.7729533,329903.9100000,0,0.00008150,53.34000000,0.00008160,49.68000000,2019-07-01T04:04:13.119400
True,0.0,329903.91,EDO,Eidoo,,0.0000814,8,0.0000858,-1,0.0000783,BTC,BTC,STANDARD,1e-08,0.01,0.0000789,BTC,BTC,7.89e-05,,BTC,Bitcoin,฿,TRADING,EDOBTC,0.0000001,26.7729533,329903.9100000,0,0.00008160,207.54000000,0.00008200,432.50000000,2019-07-01T04:09:38.967925
True,0.0,332463.19,EDO,Eidoo,,0.0000814,8,0.0000858,-1,0.0000783,BTC,BTC,STANDARD,1e-08,0.01,0.0000787,BTC,BTC,7.87e-05,,BTC,Bitcoin,฿,TRADING,EDOBTC,0.0000001,26.98199226,332463.1900000,0,0.00008140,836.83000000,0.00008160,8.62000000,2019-07-01T04:15:02.241015
True,0.0,332866.69,EDO,Eidoo,,0.0000808,8,0.0000858,-1,0.0000783,BTC,BTC,STANDARD,1e-08,0.01,0.0000790,BTC,BTC,7.9e-05,,BTC,Bitcoin,฿,TRADING,EDOBTC,0.0000001,27.01611636,332866.6900000,0,0.00008080,606.52000000,0.00008110,53.20000000,2019-07-01T04:20:25.700467
