active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,238921.02,EOS,EOS,,0.1801,8,0.1859,-1,0.1752,BNB,BNB,STANDARD,1e-08,0.01,0.1805,BNB,BNB,0.1805,,BNB,Binance Coin,,TRADING,EOSBNB,0.0001,42955.748912,238921.0200,0,0.17970000,7.82000000,0.18010000,119.52000000,2019-07-01T03:31:45.853045
True,0.0,238837.55,EOS,EOS,,0.1801,8,0.1859,-1,0.1752,BNB,BNB,STANDARD,1e-08,0.01,0.1801,BNB,BNB,0.1801,,BNB,Binance Coin,,TRADING,EOSBNB,0.0001,42940.527764,238837.5500,0,0.18010000,58.85000000,0.18030000,150.93000000,2019-07-01T03:37:09.420003
True,0.0,239463.68,EOS,EOS,,0.1801,8,0.1859,-1,0.1752,BNB,BNB,STANDARD,1e-08,0.01,0.1799,BNB,BNB,0.1799,,BNB,Binance Coin,,TRADING,EOSBNB,0.0001,43053.317873,239463.6800,0,0.18030000,58.85000000,0.18040000,7.82000000,2019-07-01T03:42:34.912820
True,0.0,239507.84,EOS,EOS,,0.1804,8,0.1859,-1,0.1752,BNB,BNB,STANDARD,1e-08,0.01,0.1799,BNB,BNB,0.1799,,BNB,Binance Coin,,TRADING,EOSBNB,0.0001,43061.291189,239507.8400,0,0.18000000,85.33000000,0.18020000,26.74000000,2019-07-01T03:47:59.837101
True,0.0,239761.19,EOS,EOS,,0.1799,8,0.1859,-1,0.1752,BNB,BNB,STANDARD,1e-08,0.01,0.1796,BNB,BNB,0.1796,,BNB,Binance Coin,,TRADING,EOSBNB,0.0001,43106.782536,239761.1900,0,0.17970000,58.85000000,0.18020000,69.35000000,2019-07-01T03:53:23.687655
True,0.0,239664.92,EOS,EOS,,0.1800,8,0.1859,-1,0.1752,BNB,BNB,STANDARD,1e-08,0.01,0.1797,BNB,BNB,0.1797,,BNB,Binance Coin,,TRADING,EOSBNB,0.0001,43089.491698,239664.9200,0,0.17970000,69.93000000,0.18010000,147.66000000,2019-07-01T03:58:48.626384
True,0.0,236497.07,EOS,EOS,,0.1792,8,0.1859,-1,0.1752,BNB,BNB,STANDARD,1e-08,0.01,0.1800,BNB,BNB,0.18,,BNB,Binance Coin,,TRADING,EOSBNB,0.0001,42519.992805,236497.0700,0,0.17920000,9.82000000,0.17960000,1.05000000,2019-07-01T04:04:13.119400
True,0.0,236302.47,EOS,EOS,,0.1792,8,0.1859,-1,0.1752,BNB,BNB,STANDARD,1e-08,0.01,0.1793,BNB,BNB,0.1793,,BNB,Binance Coin,,TRADING,EOSBNB,0.0001,42484.918081,236302.4700,0,0.17930000,72.11000000,0.17970000,85.90000000,2019-07-01T04:09:38.967925
True,0.0,236391.03,EOS,EOS,,0.1797,8,0.1859,-1,0.1752,BNB,BNB,STANDARD,1e-08,0.01,0.1801,BNB,BNB,0.1801,,BNB,Binance Coin,,TRADING,EOSBNB,0.0001,42500.876333,236391.0300,0,0.17950000,69.99000000,0.17990000,100.16000000,2019-07-01T04:15:02.241015
True,0.0,236372.9,EOS,EOS,,0.1795,8,0.1859,-1,0.1752,BNB,BNB,STANDARD,1e-08,0.01,0.1798,BNB,BNB,0.1798,,BNB,Binance Coin,,TRADING,EOSBNB,0.0001,42497.469432,236372.9000,0,0.17930000,58.85000000,0.17970000,32.11000000,2019-07-01T04:20:25.700467
