active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,4870761.41,EOS,EOS,,0.0005321,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005240,BTC,BTC,0.000524,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2577.94245777,4870761.4100000,0,0.00053140,372.38000000,0.00053150,169.51000000,2019-07-01T03:31:45.853045
True,0.0,4887205.09,EOS,EOS,,0.0005325,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005232,BTC,BTC,0.0005232,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2586.75006327,4887205.0900000,0,0.00053280,1.67000000,0.00053300,1335.32000000,2019-07-01T03:37:09.420003
True,0.0,4902250.54,EOS,EOS,,0.0005335,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005240,BTC,BTC,0.000524,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2594.87726828,4902250.5400000,0,0.00053340,102.28000000,0.00053350,2101.79000000,2019-07-01T03:42:34.912820
True,0.0,4899655.73,EOS,EOS,,0.0005323,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005239,BTC,BTC,0.0005239,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2593.70406504,4899655.7300000,0,0.00053220,3.75000000,0.00053260,600.01000000,2019-07-01T03:47:59.837101
True,0.0,4908404.82,EOS,EOS,,0.0005322,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005235,BTC,BTC,0.0005235,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2598.42391802,4908404.8200000,0,0.00053220,270.71000000,0.00053230,3.75000000,2019-07-01T03:53:23.687655
True,0.0,4897040.97,EOS,EOS,,0.0005325,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005249,BTC,BTC,0.0005249,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2592.50854048,4897040.9700000,0,0.00053230,105.12000000,0.00053240,0.75000000,2019-07-01T03:58:48.626384
True,0.0,4892298.0,EOS,EOS,,0.0005320,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005246,BTC,BTC,0.0005246,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2590.10499999,4892298.0000000,0,0.00053200,7.54000000,0.00053210,11.25000000,2019-07-01T04:04:13.119400
True,0.0,4900514.11,EOS,EOS,,0.0005328,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005246,BTC,BTC,0.0005246,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2594.55015521,4900514.1100000,0,0.00053290,3.75000000,0.00053300,222.03000000,2019-07-01T04:09:38.967925
True,0.0,4901399.86,EOS,EOS,,0.0005328,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005245,BTC,BTC,0.0005245,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2595.08356055,4901399.8600000,0,0.00053270,34.95000000,0.00053280,34.95000000,2019-07-01T04:15:02.241015
True,0.0,4904889.75,EOS,EOS,,0.0005328,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005247,BTC,BTC,0.0005247,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2597.0151211,4904889.7500000,0,0.00053260,0.39000000,0.00053270,217.42000000,2019-07-01T04:20:25.700467
True,0.0,4899840.03,EOS,EOS,,0.0005325,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005250,BTC,BTC,0.000525,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2594.38265568,4899840.0300000,0,0.00053260,3.75000000,0.00053270,67.34000000,2019-07-01T04:25:49.281416
True,0.0,4906737.49,EOS,EOS,,0.0005315,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005245,BTC,BTC,0.0005245,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2598.08309264,4906737.4900000,0,0.00053160,3.76000000,0.00053180,248.07000000,2019-07-01T04:31:13.431888
True,0.0,4928900.45,EOS,EOS,,0.0005304,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005241,BTC,BTC,0.0005241,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2609.89142968,4928900.4500000,0,0.00053060,212.77000000,0.00053070,3.77000000,2019-07-01T04:36:38.444339
True,0.0,4933440.72,EOS,EOS,,0.0005314,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005236,BTC,BTC,0.0005236,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2612.32986368,4933440.7200000,0,0.00053070,3.76000000,0.00053090,3.76000000,2019-07-01T04:42:02.003745
True,0.0,4937393.0,EOS,EOS,,0.0005301,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005237,BTC,BTC,0.0005237,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2614.47567377,4937393.0000000,0,0.00053000,3.77000000,0.00053010,65.95000000,2019-07-01T04:47:26.497829
True,0.0,4951907.64,EOS,EOS,,0.0005299,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005238,BTC,BTC,0.0005238,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2622.20782162,4951907.6400000,0,0.00052980,3.77000000,0.00053010,3.77000000,2019-07-01T04:52:50.537708
True,0.0,4961583.56,EOS,EOS,,0.0005312,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005236,BTC,BTC,0.0005236,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2627.37346521,4961583.5600000,0,0.00053040,984.18000000,0.00053100,1574.48000000,2019-07-01T04:58:15.990657
True,0.0,4977041.61,EOS,EOS,,0.0005315,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005234,BTC,BTC,0.0005234,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2635.62425143,4977041.6100000,0,0.00053170,3.76000000,0.00053190,260.42000000,2019-07-01T05:03:40.747780
True,0.0,4982518.9,EOS,EOS,,0.0005314,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005236,BTC,BTC,0.0005236,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2638.57953943,4982518.9000000,0,0.00053120,245.06000000,0.00053130,3.76000000,2019-07-01T05:09:05.523550
True,0.0,4982369.58,EOS,EOS,,0.0005322,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005247,BTC,BTC,0.0005247,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2638.56614407,4982369.5800000,0,0.00053240,3270.78000000,0.00053250,7.50000000,2019-07-01T05:14:29.634335
True,0.0,4981242.45,EOS,EOS,,0.0005312,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005256,BTC,BTC,0.0005256,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2638.03910531,4981242.4500000,0,0.00053090,3.76000000,0.00053100,7.53000000,2019-07-01T05:19:53.868096
True,0.0,4965000.7,EOS,EOS,,0.0005307,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005269,BTC,BTC,0.0005269,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2629.55443239,4965000.7000000,0,0.00053070,3.76000000,0.00053090,3.76000000,2019-07-01T05:25:20.751285
True,0.0,4965804.63,EOS,EOS,,0.0005325,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005271,BTC,BTC,0.0005271,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2630.0123665,4965804.6300000,0,0.00053240,3.75000000,0.00053270,3.75000000,2019-07-01T05:30:44.842063
True,0.0,4956000.79,EOS,EOS,,0.0005325,8,0.0005460,-1,0.0005180,BTC,BTC,STANDARD,1e-08,0.01,0.0005256,BTC,BTC,0.0005256,,BTC,Bitcoin,฿,TRADING,EOSBTC,0.0000001,2624.88004092,4956000.7900000,0,0.00053240,3.75000000,0.00053260,5.50000000,2019-07-01T05:36:09.479568
