active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,39908.15,EOS,EOS,,5.7850,8,6.2312,-1,5.6402,PAX,PAX,STANDARD,1e-08,0.01,6.1494,USDⓈ,USDⓈ,6.1494,,PAX,Paxos Standard,,TRADING,EOSPAX,0.0001,234414.928522,39908.1500,0,5.75330000,134.46000000,5.78200000,40.00000000,2019-07-01T03:31:45.853045
True,0.0,39919.45,EOS,EOS,,5.7830,8,6.2312,-1,5.6402,PAX,PAX,STANDARD,1e-08,0.01,6.1494,USDⓈ,USDⓈ,6.1494,,PAX,Paxos Standard,,TRADING,EOSPAX,0.0001,234480.276422,39919.4500,0,5.76610000,115.58000000,5.78300000,188.70000000,2019-07-01T03:37:09.420003
True,0.0,40100.05,EOS,EOS,,5.7830,8,6.2312,-1,5.6402,PAX,PAX,STANDARD,1e-08,0.01,6.1494,USDⓈ,USDⓈ,6.1494,,PAX,Paxos Standard,,TRADING,EOSPAX,0.0001,235521.718382,40100.0500,0,5.77560000,125.70000000,5.79900000,13.38000000,2019-07-01T03:42:34.912820
True,0.0,40139.75,EOS,EOS,,5.7967,8,6.2312,-1,5.6402,PAX,PAX,STANDARD,1e-08,0.01,6.1758,USDⓈ,USDⓈ,6.1758,,PAX,Paxos Standard,,TRADING,EOSPAX,0.0001,235743.276762,40139.7500,0,5.78190000,17.13000000,5.80880000,146.73000000,2019-07-01T03:47:59.837101
True,0.0,40139.75,EOS,EOS,,5.7967,8,6.2312,-1,5.6402,PAX,PAX,STANDARD,1e-08,0.01,6.1758,USDⓈ,USDⓈ,6.1758,,PAX,Paxos Standard,,TRADING,EOSPAX,0.0001,235743.276762,40139.7500,0,5.78320000,15.27000000,5.80740000,399.99000000,2019-07-01T03:53:23.687655
True,0.0,40139.75,EOS,EOS,,5.7967,8,6.2312,-1,5.6402,PAX,PAX,STANDARD,1e-08,0.01,6.1758,USDⓈ,USDⓈ,6.1758,,PAX,Paxos Standard,,TRADING,EOSPAX,0.0001,235743.276762,40139.7500,0,5.79280000,34.92000000,5.80900000,200.00000000,2019-07-01T03:58:48.626384
True,0.0,40256.39,EOS,EOS,,5.8090,8,6.2312,-1,5.6402,PAX,PAX,STANDARD,1e-08,0.01,6.1230,USDⓈ,USDⓈ,6.123,,PAX,Paxos Standard,,TRADING,EOSPAX,0.0001,236419.688244,40256.3900,0,5.80920000,3.43000000,5.82700000,200.00000000,2019-07-01T04:04:13.119400
True,0.0,40383.16,EOS,EOS,,5.8290,8,6.2312,-1,5.6402,PAX,PAX,STANDARD,1e-08,0.01,6.1765,USDⓈ,USDⓈ,6.1765,,PAX,Paxos Standard,,TRADING,EOSPAX,0.0001,237154.236654,40383.1600,0,5.82900000,186.35000000,5.84750000,15.27000000,2019-07-01T04:09:38.967925
True,0.0,40383.16,EOS,EOS,,5.8290,8,6.2312,-1,5.6402,PAX,PAX,STANDARD,1e-08,0.01,6.1765,USDⓈ,USDⓈ,6.1765,,PAX,Paxos Standard,,TRADING,EOSPAX,0.0001,237154.236654,40383.1600,0,5.81180000,7.14000000,5.84600000,146.73000000,2019-07-01T04:15:02.241015
True,0.0,40636.46,EOS,EOS,,5.8140,8,6.2312,-1,5.6402,PAX,PAX,STANDARD,1e-08,0.01,6.1766,USDⓈ,USDⓈ,6.1766,,PAX,Paxos Standard,,TRADING,EOSPAX,0.0001,238610.249152,40636.4600,0,5.80450000,125.09000000,5.83160000,14.61000000,2019-07-01T04:20:25.700467
