active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,9078229.33,EOS,EOS,,5.8099,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1813,USDⓈ,USDⓈ,6.1813,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53886423.878775,9078229.3300,0,5.80650000,18.40000000,5.80860000,503.99000000,2019-07-01T03:31:45.853045
True,0.0,9085558.73,EOS,EOS,,5.8224,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1623,USDⓈ,USDⓈ,6.1623,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53918252.21246,9085558.7300,0,5.81990000,46.51000000,5.82230000,17.17000000,2019-07-01T03:37:09.420003
True,0.0,9092468.97,EOS,EOS,,5.8323,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1536,USDⓈ,USDⓈ,6.1536,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53948150.339567,9092468.9700,0,5.82970000,98.54000000,5.83060000,50.00000000,2019-07-01T03:42:34.912820
True,0.0,9081461.39,EOS,EOS,,5.8374,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1415,USDⓈ,USDⓈ,6.1415,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53872499.126608,9081461.3900,0,5.83340000,17.13000000,5.83360000,13.00000000,2019-07-01T03:47:59.837101
True,0.0,9080700.08,EOS,EOS,,5.8364,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1541,USDⓈ,USDⓈ,6.1541,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53858797.228012,9080700.0800,0,5.83650000,17.12000000,5.83910000,391.89000000,2019-07-01T03:53:23.687655
True,0.0,9053893.03,EOS,EOS,,5.8410,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1526,USDⓈ,USDⓈ,6.1526,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53689046.864456,9053893.0300,0,5.84170000,17.11000000,5.84430000,17.11000000,2019-07-01T03:58:48.626384
True,0.0,9039716.57,EOS,EOS,,5.8614,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1442,USDⓈ,USDⓈ,6.1442,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53598189.213041,9039716.5700,0,5.85830000,17.06000000,5.85930000,5.80000000,2019-07-01T04:04:13.119400
True,0.0,9048884.55,EOS,EOS,,5.8714,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1780,USDⓈ,USDⓈ,6.178,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53644190.157098,9048884.5500,0,5.86610000,17.04000000,5.86800000,118.86000000,2019-07-01T04:09:38.967925
True,0.0,9038527.87,EOS,EOS,,5.8651,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1877,USDⓈ,USDⓈ,6.1877,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53574729.650245,9038527.8700,0,5.86370000,519.87000000,5.86470000,76.75000000,2019-07-01T04:15:02.241015
True,0.0,9040942.54,EOS,EOS,,5.8551,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1823,USDⓈ,USDⓈ,6.1823,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53583088.755601,9040942.5400,0,5.85270000,17.07000000,5.85570000,150.09000000,2019-07-01T04:20:25.700467
True,0.0,9037941.22,EOS,EOS,,5.8449,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.1936,USDⓈ,USDⓈ,6.1936,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53561328.671309,9037941.2200,0,5.83900000,17.12000000,5.83970000,10.99000000,2019-07-01T04:25:49.281416
True,0.0,9038956.14,EOS,EOS,,5.8462,8,6.2548,-1,5.6894,USDT,USDT,STANDARD,1e-08,0.01,6.2042,USDⓈ,USDⓈ,6.2042,,USDT,TetherUS,,TRADING,EOSUSDT,0.0001,53564105.355208,9038956.1400,0,5.84890000,17.09000000,5.85100000,84.01000000,2019-07-01T04:31:13.431888
