active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,231932.05,ETC,Ethereum Classic,,0.000717,8,0.000724,-1,0.000690,BTC,BTC,STANDARD,1e-08,0.01,0.000692,BTC,BTC,0.000692,,BTC,Bitcoin,฿,TRADING,ETCBTC,0.000001,164.5597386,231932.050000,0,0.00071600,622.44000000,0.00071800,43.02000000,2019-07-01T03:31:45.853045
True,0.0,233119.15,ETC,Ethereum Classic,,0.000719,8,0.000724,-1,0.000690,BTC,BTC,STANDARD,1e-08,0.01,0.000692,BTC,BTC,0.000692,,BTC,Bitcoin,฿,TRADING,ETCBTC,0.000001,165.43911668,233119.150000,0,0.00072000,118.31000000,0.00072100,407.42000000,2019-07-01T03:37:09.420003
True,0.0,232186.14,ETC,Ethereum Classic,,0.000722,8,0.000724,-1,0.000692,BTC,BTC,STANDARD,1e-08,0.01,0.000693,BTC,BTC,0.000693,,BTC,Bitcoin,฿,TRADING,ETCBTC,0.000001,164.81915067,232186.140000,0,0.00072200,121.61000000,0.00072300,491.76000000,2019-07-01T03:42:34.912820
True,0.0,232598.84,ETC,Ethereum Classic,,0.000719,8,0.000724,-1,0.000692,BTC,BTC,STANDARD,1e-08,0.01,0.000693,BTC,BTC,0.000693,,BTC,Bitcoin,฿,TRADING,ETCBTC,0.000001,165.14599895,232598.840000,0,0.00071900,100.00000000,0.00072100,364.15000000,2019-07-01T03:47:59.837101
True,0.0,232467.09,ETC,Ethereum Classic,,0.000721,8,0.000724,-1,0.000694,BTC,BTC,STANDARD,1e-08,0.01,0.000696,BTC,BTC,0.000696,,BTC,Bitcoin,฿,TRADING,ETCBTC,0.000001,165.07600003,232467.090000,0,0.00072000,140.41000000,0.00072200,110.50000000,2019-07-01T03:53:23.687655
True,0.0,232293.12,ETC,Ethereum Classic,,0.000719,8,0.000724,-1,0.000695,BTC,BTC,STANDARD,1e-08,0.01,0.000696,BTC,BTC,0.000696,,BTC,Bitcoin,฿,TRADING,ETCBTC,0.000001,164.97086463,232293.120000,0,0.00071800,318.73000000,0.00071900,3174.27000000,2019-07-01T03:58:48.626384
True,0.0,232616.03,ETC,Ethereum Classic,,0.000718,8,0.000724,-1,0.000695,BTC,BTC,STANDARD,1e-08,0.01,0.000695,BTC,BTC,0.000695,,BTC,Bitcoin,฿,TRADING,ETCBTC,0.000001,165.21315189,232616.030000,0,0.00071700,188.54000000,0.00071900,2970.99000000,2019-07-01T04:04:13.119400
True,0.0,231902.95,ETC,Ethereum Classic,,0.000719,8,0.000724,-1,0.000695,BTC,BTC,STANDARD,1e-08,0.01,0.000696,BTC,BTC,0.000696,,BTC,Bitcoin,฿,TRADING,ETCBTC,0.000001,164.72108461,231902.950000,0,0.00071800,326.21000000,0.00072000,3420.38000000,2019-07-01T04:09:38.967925
True,0.0,230976.44,ETC,Ethereum Classic,,0.000716,8,0.000724,-1,0.000697,BTC,BTC,STANDARD,1e-08,0.01,0.000697,BTC,BTC,0.000697,,BTC,Bitcoin,฿,TRADING,ETCBTC,0.000001,164.0802529,230976.440000,0,0.00071500,106.46000000,0.00071700,304.19000000,2019-07-01T04:15:02.241015
True,0.0,231093.78,ETC,Ethereum Classic,,0.000714,8,0.000724,-1,0.000697,BTC,BTC,STANDARD,1e-08,0.01,0.000698,BTC,BTC,0.000698,,BTC,Bitcoin,฿,TRADING,ETCBTC,0.000001,164.17823498,231093.780000,0,0.00071400,281.50000000,0.00071600,296.20000000,2019-07-01T04:20:25.700467
