active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,670.48,ETC,Ethereum Classic,,7.828,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.334,USDⓈ,USDⓈ,8.334,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,5351.732054,670.480,0,7.93100000,29.35700000,8.15100000,29.23300000,2019-06-30T15:17:01.159662
True,0.0,670.48,ETC,Ethereum Classic,,7.828,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.334,USDⓈ,USDⓈ,8.334,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,5351.732054,670.480,0,7.93000000,4.42000000,8.07800000,21.90000000,2019-06-30T15:17:01.159662
True,0.0,670.48,ETC,Ethereum Classic,,7.828,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.334,USDⓈ,USDⓈ,8.334,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,5351.732054,670.480,0,7.91900000,11.10100000,8.06500000,16.33500000,2019-06-30T15:17:01.159662
True,0.0,602.486,ETC,Ethereum Classic,,7.873,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.639,USDⓈ,USDⓈ,8.639,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,4781.843058,602.486,0,7.87700000,84.12800000,8.04700000,11.90000000,2019-07-01T01:11:10.052472
True,0.0,602.486,ETC,Ethereum Classic,,7.873,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.639,USDⓈ,USDⓈ,8.639,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,4781.843058,602.486,0,-1,-1,-1,-1,2019-07-01T01:15:32.138219
True,0.0,602.486,ETC,Ethereum Classic,,7.873,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.639,USDⓈ,USDⓈ,8.639,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,4781.843058,602.486,0,-1,-1,-1,-1,2019-07-01T01:29:20.017268
True,0.0,602.486,ETC,Ethereum Classic,,7.873,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.639,USDⓈ,USDⓈ,8.639,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,4781.843058,602.486,0,-1,-1,-1,-1,2019-07-01T01:32:09.008550
True,0.0,602.486,ETC,Ethereum Classic,,7.873,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.639,USDⓈ,USDⓈ,8.639,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,4781.843058,602.486,0,-1,-1,-1,-1,2019-07-01T01:33:36.557449
True,0.0,602.486,ETC,Ethereum Classic,,7.873,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.639,USDⓈ,USDⓈ,8.639,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,4781.843058,602.486,0,7.85500000,98.42700000,7.95800000,11.35500000,2019-07-01T01:34:45.334900
True,0.0,602.486,ETC,Ethereum Classic,,7.873,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.639,USDⓈ,USDⓈ,8.639,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,4781.843058,602.486,0,7.88700000,90.40200000,7.95800000,11.35500000,2019-07-01T01:39:01.378374
True,0.0,602.486,ETC,Ethereum Classic,,7.873,8,8.639,-1,7.676,PAX,PAX,STANDARD,1e-08,0.001,8.639,USDⓈ,USDⓈ,8.639,,PAX,Paxos Standard,,TRADING,ETCPAX,0.001,4781.843058,602.486,0,7.89900000,90.26400000,7.95800000,11.35500000,2019-07-01T01:42:58.078664
