active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,298871.619,ETH,Ethereum,Ξ,0.026956,8,0.027200,-1,0.026051,BTC,BTC,STANDARD,1e-08,0.001,0.026426,BTC,BTC,0.026426,,BTC,Bitcoin,฿,TRADING,ETHBTC,0.000001,7968.19512375,298871.619000,0,0.02693500,2.51800000,0.02693900,0.82300000,2019-07-01T03:31:45.853045
True,0.0,298897.904,ETH,Ethereum,Ξ,0.026989,8,0.027200,-1,0.026051,BTC,BTC,STANDARD,1e-08,0.001,0.026448,BTC,BTC,0.026448,,BTC,Bitcoin,฿,TRADING,ETHBTC,0.000001,7969.2869018,298897.904000,0,0.02699500,1.39200000,0.02699900,0.23700000,2019-07-01T03:37:09.420003
True,0.0,298486.137,ETH,Ethereum,Ξ,0.027038,8,0.027200,-1,0.026051,BTC,BTC,STANDARD,1e-08,0.001,0.026430,BTC,BTC,0.02643,,BTC,Bitcoin,฿,TRADING,ETHBTC,0.000001,7958.78964342,298486.137000,0,0.02704000,1.86600000,0.02704100,7.82100000,2019-07-01T03:42:34.912820
True,0.0,298035.301,ETH,Ethereum,Ξ,0.026924,8,0.027200,-1,0.026051,BTC,BTC,STANDARD,1e-08,0.001,0.026397,BTC,BTC,0.026397,,BTC,Bitcoin,฿,TRADING,ETHBTC,0.000001,7947.37985702,298035.301000,0,0.02692400,1.76300000,0.02692800,2.58100000,2019-07-01T03:47:59.837101
True,0.0,298606.781,ETH,Ethereum,Ξ,0.026873,8,0.027200,-1,0.026051,BTC,BTC,STANDARD,1e-08,0.001,0.026359,BTC,BTC,0.026359,,BTC,Bitcoin,฿,TRADING,ETHBTC,0.000001,7963.22378858,298606.781000,0,0.02687000,2.50200000,0.02687500,1.86200000,2019-07-01T03:53:23.687655
True,0.0,297918.37,ETH,Ethereum,Ξ,0.026865,8,0.027200,-1,0.026051,BTC,BTC,STANDARD,1e-08,0.001,0.026331,BTC,BTC,0.026331,,BTC,Bitcoin,฿,TRADING,ETHBTC,0.000001,7945.55754915,297918.370000,0,0.02687000,49.71000000,0.02687100,1.47300000,2019-07-01T03:58:48.626384
True,0.0,296863.803,ETH,Ethereum,Ξ,0.026860,8,0.027200,-1,0.026051,BTC,BTC,STANDARD,1e-08,0.001,0.026292,BTC,BTC,0.026292,,BTC,Bitcoin,฿,TRADING,ETHBTC,0.000001,7918.311313,296863.803000,0,0.02685700,1.81200000,0.02686400,1.05800000,2019-07-01T04:04:13.119400
True,0.0,296768.105,ETH,Ethereum,Ξ,0.026899,8,0.027200,-1,0.026051,BTC,BTC,STANDARD,1e-08,0.001,0.026302,BTC,BTC,0.026302,,BTC,Bitcoin,฿,TRADING,ETHBTC,0.000001,7916.34556555,296768.105000,0,0.02688600,4.83800000,0.02689100,0.20600000,2019-07-01T04:09:38.967925
True,0.0,296787.473,ETH,Ethereum,Ξ,0.026894,8,0.027200,-1,0.026051,BTC,BTC,STANDARD,1e-08,0.001,0.026263,BTC,BTC,0.026263,,BTC,Bitcoin,฿,TRADING,ETHBTC,0.000001,7917.27682975,296787.473000,0,0.02688400,0.70300000,0.02688900,0.05500000,2019-07-01T04:15:02.241015
True,0.0,296747.86,ETH,Ethereum,Ξ,0.026942,8,0.027200,-1,0.026051,BTC,BTC,STANDARD,1e-08,0.001,0.026290,BTC,BTC,0.02629,,BTC,Bitcoin,฿,TRADING,ETHBTC,0.000001,7916.76961833,296747.860000,0,0.02692100,1.94600000,0.02692400,2.59200000,2019-07-01T04:20:25.700467
