active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,13317.19243,ETH,Ethereum,Ξ,292.39,8,323.00,-1,267.14,USDC,USDC,STANDARD,1e-08,1e-05,310.82,USDⓈ,USDⓈ,310.82,,USDC,USD Coin,,TRADING,ETHUSDC,0.01,3946838.3789528,13317.20,0,291.83000000,0.06837000,292.48000000,0.06826000,2019-07-01T03:31:45.853045
True,0.0,13331.39644,ETH,Ethereum,Ξ,292.44,8,323.00,-1,267.14,USDC,USDC,STANDARD,1e-08,1e-05,310.52,USDⓈ,USDⓈ,310.52,,USDC,USD Coin,,TRADING,ETHUSDC,0.01,3950665.0750115,13331.40,0,292.59000000,0.15347000,292.80000000,0.13591000,2019-07-01T03:37:09.420003
True,0.0,13330.65644,ETH,Ethereum,Ξ,293.32,8,323.00,-1,267.14,USDC,USDC,STANDARD,1e-08,1e-05,310.13,USDⓈ,USDⓈ,310.13,,USDC,USD Coin,,TRADING,ETHUSDC,0.01,3950421.7765114,13330.66,0,293.13000000,5.50000000,293.65000000,0.23601000,2019-07-01T03:42:34.912820
True,0.0,13590.27882,ETH,Ethereum,Ξ,294.33,8,323.00,-1,267.14,USDC,USDC,STANDARD,1e-08,1e-05,308.82,USDⓈ,USDⓈ,308.82,,USDC,USD Coin,,TRADING,ETHUSDC,0.01,4026531.9235855,13590.28,0,292.77000000,0.06800000,293.46000000,0.29631000,2019-07-01T03:47:59.837101
True,0.0,13588.64296,ETH,Ethereum,Ξ,291.97,8,323.00,-1,267.14,USDC,USDC,STANDARD,1e-08,1e-05,309.11,USDⓈ,USDⓈ,309.11,,USDC,USD Coin,,TRADING,ETHUSDC,0.01,4025493.808754,13588.65,0,292.02000000,2.66541000,292.63000000,0.32172000,2019-07-01T03:53:23.687655
True,0.0,13554.05214,ETH,Ethereum,Ξ,292.80,8,323.00,-1,267.14,USDC,USDC,STANDARD,1e-08,1e-05,308.03,USDⓈ,USDⓈ,308.03,,USDC,USD Coin,,TRADING,ETHUSDC,0.01,4014776.9607921,13554.06,0,292.26000000,5.63615000,292.79000000,0.06814000,2019-07-01T03:58:48.626384
True,0.0,13511.79966,ETH,Ethereum,Ξ,293.39,8,323.00,-1,267.14,USDC,USDC,STANDARD,1e-08,1e-05,307.21,USDⓈ,USDⓈ,307.21,,USDC,USD Coin,,TRADING,ETHUSDC,0.01,4001794.4961003,13511.80,0,293.56000000,0.06795000,294.15000000,0.03429000,2019-07-01T04:04:13.119400
True,0.0,13456.49095,ETH,Ethereum,Ξ,294.38,8,323.00,-1,267.14,USDC,USDC,STANDARD,1e-08,1e-05,308.98,USDⓈ,USDⓈ,308.98,,USDC,USD Coin,,TRADING,ETHUSDC,0.01,3984612.2392758,13456.50,0,294.38000000,0.00040000,294.75000000,1.11780000,2019-07-01T04:09:38.967925
True,0.0,13340.70249,ETH,Ethereum,Ξ,294.68,8,323.00,-1,267.14,USDC,USDC,STANDARD,1e-08,1e-05,309.22,USDⓈ,USDⓈ,309.22,,USDC,USD Coin,,TRADING,ETHUSDC,0.01,3948759.8842347,13340.71,0,293.87000000,5.62536000,294.42000000,0.31216000,2019-07-01T04:15:02.241015
True,0.0,13329.76479,ETH,Ethereum,Ξ,294.31,8,323.00,-1,267.14,USDC,USDC,STANDARD,1e-08,1e-05,309.24,USDⓈ,USDⓈ,309.24,,USDC,USD Coin,,TRADING,ETHUSDC,0.01,3945363.576999,13329.77,0,293.92000000,0.25520000,294.42000000,0.27833000,2019-07-01T04:20:25.700467
