active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,505952.96183,ETH,Ethereum,Ξ,294.43,8,312.40,-1,289.61,USDT,USDT,STANDARD,1e-08,1e-05,311.81,USDⓈ,USDⓈ,311.81,,USDT,TetherUS,,TRADING,ETHUSDT,0.01,152003468.9647453,505952.97,0,294.25000000,2.64664000,294.40000000,0.20232000,2019-07-01T03:31:45.853045
True,0.0,505250.08025,ETH,Ethereum,Ξ,295.10,8,312.40,-1,289.61,USDT,USDT,STANDARD,1e-08,1e-05,311.59,USDⓈ,USDⓈ,311.59,,USDT,TetherUS,,TRADING,ETHUSDT,0.01,151766487.7068947,505250.09,0,294.89000000,0.06777000,295.08000000,2.67735000,2019-07-01T03:37:09.420003
True,0.0,504158.91389,ETH,Ethereum,Ξ,295.62,8,312.40,-1,289.61,USDT,USDT,STANDARD,1e-08,1e-05,310.38,USDⓈ,USDⓈ,310.38,,USDT,TetherUS,,TRADING,ETHUSDT,0.01,151412344.375695,504158.92,0,295.58000000,10.53479000,295.69000000,0.64200000,2019-07-01T03:42:34.912820
True,0.0,502878.2889,ETH,Ethereum,Ξ,295.18,8,312.40,-1,289.61,USDT,USDT,STANDARD,1e-08,1e-05,309.44,USDⓈ,USDⓈ,309.44,,USDT,TetherUS,,TRADING,ETHUSDT,0.01,150998035.9818858,502878.29,0,295.02000000,0.06776000,295.15000000,0.06775000,2019-07-01T03:47:59.837101
True,0.0,502567.10859,ETH,Ethereum,Ξ,294.70,8,312.40,-1,289.61,USDT,USDT,STANDARD,1e-08,1e-05,309.75,USDⓈ,USDⓈ,309.75,,USDT,TetherUS,,TRADING,ETHUSDT,0.01,150878793.9860016,502567.11,0,294.71000000,0.06783000,294.79000000,8.32123000,2019-07-01T03:53:23.687655
True,0.0,500006.75004,ETH,Ethereum,Ξ,294.86,8,312.40,-1,289.61,USDT,USDT,STANDARD,1e-08,1e-05,308.62,USDⓈ,USDⓈ,308.62,,USDT,TetherUS,,TRADING,ETHUSDT,0.01,150079700.6011753,500006.76,0,294.71000000,0.13615000,294.84000000,1.13614000,2019-07-01T03:58:48.626384
True,0.0,498114.91305,ETH,Ethereum,Ξ,295.99,8,312.40,-1,289.61,USDT,USDT,STANDARD,1e-08,1e-05,308.05,USDⓈ,USDⓈ,308.05,,USDT,TetherUS,,TRADING,ETHUSDT,0.01,149489784.5623913,498114.92,0,295.78000000,5.00000000,295.85000000,33.59800000,2019-07-01T04:04:13.119400
True,0.0,497291.67181,ETH,Ethereum,Ξ,296.35,8,312.40,-1,289.61,USDT,USDT,STANDARD,1e-08,1e-05,309.71,USDⓈ,USDⓈ,309.71,,USDT,TetherUS,,TRADING,ETHUSDT,0.01,149222640.0591327,497291.68,0,296.06000000,2.73525000,296.18000000,25.21607000,2019-07-01T04:09:38.967925
True,0.0,495512.48672,ETH,Ethereum,Ξ,296.00,8,312.40,-1,289.61,USDT,USDT,STANDARD,1e-08,1e-05,309.87,USDⓈ,USDⓈ,309.87,,USDT,TetherUS,,TRADING,ETHUSDT,0.01,148665109.3407597,495512.49,0,295.94000000,4.10851000,296.04000000,8.00000000,2019-07-01T04:15:02.241015
True,0.0,495045.0533,ETH,Ethereum,Ξ,296.10,8,312.40,-1,289.61,USDT,USDT,STANDARD,1e-08,1e-05,309.70,USDⓈ,USDⓈ,309.7,,USDT,TetherUS,,TRADING,ETHUSDT,0.01,148506218.9370556,495045.06,0,295.89000000,1.61242000,296.04000000,30.06754000,2019-07-01T04:20:25.700467
