active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,56189736.46,FET,Fetch.AI,,0.1608,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1721,USDⓈ,USDⓈ,0.1721,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9386299.42159,56189736.4600,0,0.16050000,200.00000000,0.16110000,200.00000000,2019-07-01T03:31:45.853045
True,0.0,56235488.84,FET,Fetch.AI,,0.1606,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1729,USDⓈ,USDⓈ,0.1729,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9392147.074301,56235488.8400,0,0.16030000,398.25000000,0.16100000,5365.51000000,2019-07-01T03:37:09.420003
True,0.0,56346724.42,FET,Fetch.AI,,0.1603,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1723,USDⓈ,USDⓈ,0.1723,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9409187.174463,56346724.4200,0,0.16020000,1865.97000000,0.16050000,89.82000000,2019-07-01T03:42:34.912820
True,0.0,56490282.93,FET,Fetch.AI,,0.1608,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1723,USDⓈ,USDⓈ,0.1723,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9431226.587465,56490282.9300,0,0.16050000,200.00000000,0.16070000,9630.16000000,2019-07-01T03:47:59.837101
True,0.0,56528071.65,FET,Fetch.AI,,0.1603,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1748,USDⓈ,USDⓈ,0.1748,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9435668.074494,56528071.6500,0,0.16040000,30860.35000000,0.16050000,4774.32000000,2019-07-01T03:53:23.687655
True,0.0,56794910.44,FET,Fetch.AI,,0.1600,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1730,USDⓈ,USDⓈ,0.173,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9476294.990435,56794910.4400,0,0.16040000,1465.32000000,0.16050000,5103.47000000,2019-07-01T03:58:48.626384
True,0.0,56752459.48,FET,Fetch.AI,,0.1598,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1718,USDⓈ,USDⓈ,0.1718,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9467486.108792,56752459.4800,0,0.15940000,3364.00000000,0.15950000,1719.48000000,2019-07-01T04:04:13.119400
True,0.0,56651882.86,FET,Fetch.AI,,0.1598,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1720,USDⓈ,USDⓈ,0.172,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9448748.16853,56651882.8600,0,0.15980000,5259.97000000,0.16010000,274.96000000,2019-07-01T04:09:38.967925
True,0.0,56607677.39,FET,Fetch.AI,,0.1609,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1727,USDⓈ,USDⓈ,0.1727,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9439435.907763,56607677.3900,0,0.16120000,2896.75000000,0.16140000,200.00000000,2019-07-01T04:15:02.241015
True,0.0,56612983.75,FET,Fetch.AI,,0.1613,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1729,USDⓈ,USDⓈ,0.1729,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9438606.279128,56612983.7500,0,0.16120000,949.85000000,0.16140000,1518.51000000,2019-07-01T04:20:25.700467
True,0.0,56398881.42,FET,Fetch.AI,,0.1618,8,0.1816,-1,0.1519,USDT,USDT,STANDARD,1e-08,0.01,0.1745,USDⓈ,USDⓈ,0.1745,,USDT,TetherUS,,TRADING,FETUSDT,0.0001,9399057.14017,56398881.4200,0,0.16170000,0.25000000,0.16180000,2811.94000000,2019-07-01T04:25:49.281416
