active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,9169415.0,FTM,Fantom,,0.000867,8,0.000880,-1,0.000756,BNB,BNB,STANDARD,1e-08,1.0,0.000783,BNB,BNB,0.000783,,BNB,Binance Coin,,TRADING,FTMBNB,0.000001,7493.608795,9169415.000000,0,0.00086500,10375.00000000,0.00087000,10738.00000000,2019-07-01T03:31:45.853045
True,0.0,9169415.0,FTM,Fantom,,0.000867,8,0.000880,-1,0.000756,BNB,BNB,STANDARD,1e-08,1.0,0.000783,BNB,BNB,0.000783,,BNB,Binance Coin,,TRADING,FTMBNB,0.000001,7493.608795,9169415.000000,0,0.00086100,3260.00000000,0.00086200,11290.00000000,2019-07-01T03:37:09.420003
True,0.0,9172454.0,FTM,Fantom,,0.000863,8,0.000880,-1,0.000756,BNB,BNB,STANDARD,1e-08,1.0,0.000781,BNB,BNB,0.000781,,BNB,Binance Coin,,TRADING,FTMBNB,0.000001,7496.288524,9172454.000000,0,0.00086200,701.00000000,0.00086400,1400.00000000,2019-07-01T03:42:34.912820
True,0.0,9476463.0,FTM,Fantom,,0.000845,8,0.000880,-1,0.000756,BNB,BNB,STANDARD,1e-08,1.0,0.000775,BNB,BNB,0.000775,,BNB,Binance Coin,,TRADING,FTMBNB,0.000001,7756.235909,9476463.000000,0,0.00084400,1400.00000000,0.00084900,1373.00000000,2019-07-01T03:47:59.837101
True,0.0,9754327.0,FTM,Fantom,,0.000854,8,0.000880,-1,0.000756,BNB,BNB,STANDARD,1e-08,1.0,0.000773,BNB,BNB,0.000773,,BNB,Binance Coin,,TRADING,FTMBNB,0.000001,7991.96302,9754327.000000,0,0.00085000,19592.00000000,0.00085600,9491.00000000,2019-07-01T03:53:23.687655
True,0.0,9754327.0,FTM,Fantom,,0.000854,8,0.000880,-1,0.000756,BNB,BNB,STANDARD,1e-08,1.0,0.000773,BNB,BNB,0.000773,,BNB,Binance Coin,,TRADING,FTMBNB,0.000001,7991.96302,9754327.000000,0,0.00084800,13910.00000000,0.00085300,15136.00000000,2019-07-01T03:58:48.626384
True,0.0,9608875.0,FTM,Fantom,,0.000853,8,0.000880,-1,0.000756,BNB,BNB,STANDARD,1e-08,1.0,0.000771,BNB,BNB,0.000771,,BNB,Binance Coin,,TRADING,FTMBNB,0.000001,7880.08846,9608875.000000,0,0.00084800,10874.00000000,0.00085300,14818.00000000,2019-07-01T04:04:13.119400
True,0.0,9617239.0,FTM,Fantom,,0.000851,8,0.000880,-1,0.000756,BNB,BNB,STANDARD,1e-08,1.0,0.000771,BNB,BNB,0.000771,,BNB,Binance Coin,,TRADING,FTMBNB,0.000001,7887.202272,9617239.000000,0,0.00084800,7333.00000000,0.00085200,3500.00000000,2019-07-01T04:09:38.967925
True,0.0,9623989.0,FTM,Fantom,,0.000848,8,0.000880,-1,0.000756,BNB,BNB,STANDARD,1e-08,1.0,0.000768,BNB,BNB,0.000768,,BNB,Binance Coin,,TRADING,FTMBNB,0.000001,7893.596464,9623989.000000,0,0.00084800,7183.00000000,0.00085400,14807.00000000,2019-07-01T04:15:02.241015
True,0.0,9371827.0,FTM,Fantom,,0.000854,8,0.000880,-1,0.000757,BNB,BNB,STANDARD,1e-08,1.0,0.000768,BNB,BNB,0.000768,,BNB,Binance Coin,,TRADING,FTMBNB,0.000001,7700.660778,9371827.000000,0,0.00084800,7183.00000000,0.00085500,249.00000000,2019-07-01T04:20:25.700467
