active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,10699967.0,FUEL,Etherparty,,0.00002455,8,0.00002492,-1,0.00002289,ETH,ETH,STANDARD,1e-08,1.0,0.00002319,ALTS,ALTS,2.319e-05,,ETH,Ethereum,Ξ,TRADING,FUELETH,0.00000001,256.2450509,10699967.00000000,0,0.00002447,3088.00000000,0.00002476,90235.00000000,2019-07-01T03:31:45.853045
True,0.0,10699967.0,FUEL,Etherparty,,0.00002455,8,0.00002492,-1,0.00002289,ETH,ETH,STANDARD,1e-08,1.0,0.00002319,ALTS,ALTS,2.319e-05,,ETH,Ethereum,Ξ,TRADING,FUELETH,0.00000001,256.2450509,10699967.00000000,0,0.00002446,5358.00000000,0.00002475,21482.00000000,2019-07-01T03:37:09.420003
True,0.0,10699967.0,FUEL,Etherparty,,0.00002455,8,0.00002492,-1,0.00002289,ETH,ETH,STANDARD,1e-08,1.0,0.00002319,ALTS,ALTS,2.319e-05,,ETH,Ethereum,Ξ,TRADING,FUELETH,0.00000001,256.2450509,10699967.00000000,0,0.00002444,5354.00000000,0.00002473,90235.00000000,2019-07-01T03:42:34.912820
True,0.0,10699967.0,FUEL,Etherparty,,0.00002455,8,0.00002492,-1,0.00002289,ETH,ETH,STANDARD,1e-08,1.0,0.00002319,ALTS,ALTS,2.319e-05,,ETH,Ethereum,Ξ,TRADING,FUELETH,0.00000001,256.2450509,10699967.00000000,0,0.00002450,5354.00000000,0.00002477,104267.00000000,2019-07-01T03:47:59.837101
True,0.0,10536995.0,FUEL,Etherparty,,0.00002476,8,0.00002492,-1,0.00002289,ETH,ETH,STANDARD,1e-08,1.0,0.00002331,ALTS,ALTS,2.331e-05,,ETH,Ethereum,Ξ,TRADING,FUELETH,0.00000001,252.48516086,10536995.00000000,0,0.00002453,5365.00000000,0.00002477,104267.00000000,2019-07-01T03:53:23.687655
True,0.0,10536995.0,FUEL,Etherparty,,0.00002476,8,0.00002492,-1,0.00002289,ETH,ETH,STANDARD,1e-08,1.0,0.00002331,ALTS,ALTS,2.331e-05,,ETH,Ethereum,Ξ,TRADING,FUELETH,0.00000001,252.48516086,10536995.00000000,0,0.00002454,5344.00000000,0.00002477,104267.00000000,2019-07-01T03:58:48.626384
True,0.0,10527413.0,FUEL,Etherparty,,0.00002476,8,0.00002492,-1,0.00002289,ETH,ETH,STANDARD,1e-08,1.0,0.00002332,ALTS,ALTS,2.332e-05,,ETH,Ethereum,Ξ,TRADING,FUELETH,0.00000001,252.26218322,10527413.00000000,0,0.00002454,5326.00000000,0.00002476,89154.00000000,2019-07-01T04:04:13.119400
True,0.0,10527413.0,FUEL,Etherparty,,0.00002476,8,0.00002492,-1,0.00002289,ETH,ETH,STANDARD,1e-08,1.0,0.00002332,ALTS,ALTS,2.332e-05,,ETH,Ethereum,Ξ,TRADING,FUELETH,0.00000001,252.26218322,10527413.00000000,0,0.00002453,26724.00000000,0.00002474,89154.00000000,2019-07-01T04:09:38.967925
True,0.0,10527413.0,FUEL,Etherparty,,0.00002476,8,0.00002492,-1,0.00002289,ETH,ETH,STANDARD,1e-08,1.0,0.00002332,ALTS,ALTS,2.332e-05,,ETH,Ethereum,Ξ,TRADING,FUELETH,0.00000001,252.26218322,10527413.00000000,0,0.00002454,5318.00000000,0.00002474,89154.00000000,2019-07-01T04:15:02.241015
True,0.0,10299161.0,FUEL,Etherparty,,0.00002474,8,0.00002492,-1,0.00002289,ETH,ETH,STANDARD,1e-08,1.0,0.00002324,ALTS,ALTS,2.324e-05,,ETH,Ethereum,Ξ,TRADING,FUELETH,0.00000001,246.89541824,10299161.00000000,0,0.00002450,5338.00000000,0.00002474,88612.00000000,2019-07-01T04:20:25.700467
