active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,14452748.0,FUN,FunFair,,0.00001738,8,0.00001738,-1,0.00001376,ETH,ETH,STANDARD,1e-08,1.0,0.00001701,ALTS,ALTS,1.701e-05,,ETH,Ethereum,Ξ,TRADING,FUNETH,0.00000001,234.78593415,14452748.00000000,0,0.00001709,6147.00000000,0.00001743,83390.00000000,2019-07-01T03:31:45.853045
True,0.0,14452748.0,FUN,FunFair,,0.00001738,8,0.00001738,-1,0.00001376,ETH,ETH,STANDARD,1e-08,1.0,0.00001701,ALTS,ALTS,1.701e-05,,ETH,Ethereum,Ξ,TRADING,FUNETH,0.00000001,234.78593415,14452748.00000000,0,0.00001713,11810.00000000,0.00001742,83390.00000000,2019-07-01T03:37:09.420003
True,0.0,14603441.0,FUN,FunFair,,0.00001730,8,0.00001738,-1,0.00001376,ETH,ETH,STANDARD,1e-08,1.0,0.00001701,ALTS,ALTS,1.701e-05,,ETH,Ethereum,Ξ,TRADING,FUNETH,0.00000001,237.39292305,14603441.00000000,0,0.00001711,12629.00000000,0.00001738,84366.00000000,2019-07-01T03:42:34.912820
True,0.0,14817889.0,FUN,FunFair,,0.00001730,8,0.00001738,-1,0.00001376,ETH,ETH,STANDARD,1e-08,1.0,0.00001701,ALTS,ALTS,1.701e-05,,ETH,Ethereum,Ξ,TRADING,FUNETH,0.00000001,241.10287345,14817889.00000000,0,0.00001709,12646.00000000,0.00001738,976.00000000,2019-07-01T03:47:59.837101
True,0.0,14817889.0,FUN,FunFair,,0.00001730,8,0.00001738,-1,0.00001376,ETH,ETH,STANDARD,1e-08,1.0,0.00001701,ALTS,ALTS,1.701e-05,,ETH,Ethereum,Ξ,TRADING,FUNETH,0.00000001,241.10287345,14817889.00000000,0,0.00001715,12677.00000000,0.00001738,4375.00000000,2019-07-01T03:53:23.687655
True,0.0,14795764.0,FUN,FunFair,,0.00001738,8,0.00001738,-1,0.00001376,ETH,ETH,STANDARD,1e-08,1.0,0.00001703,ALTS,ALTS,1.703e-05,,ETH,Ethereum,Ξ,TRADING,FUNETH,0.00000001,240.72759095,14795764.00000000,0,0.00001715,12608.00000000,0.00001743,83390.00000000,2019-07-01T03:58:48.626384
True,0.0,14795764.0,FUN,FunFair,,0.00001738,8,0.00001738,-1,0.00001376,ETH,ETH,STANDARD,1e-08,1.0,0.00001703,ALTS,ALTS,1.703e-05,,ETH,Ethereum,Ξ,TRADING,FUNETH,0.00000001,240.72759095,14795764.00000000,0,0.00001712,14907.00000000,0.00001743,83390.00000000,2019-07-01T04:04:13.119400
True,0.0,14795764.0,FUN,FunFair,,0.00001738,8,0.00001738,-1,0.00001376,ETH,ETH,STANDARD,1e-08,1.0,0.00001703,ALTS,ALTS,1.703e-05,,ETH,Ethereum,Ξ,TRADING,FUNETH,0.00000001,240.72759095,14795764.00000000,0,0.00001719,12528.00000000,0.00001743,83390.00000000,2019-07-01T04:09:38.967925
True,0.0,14795764.0,FUN,FunFair,,0.00001738,8,0.00001738,-1,0.00001376,ETH,ETH,STANDARD,1e-08,1.0,0.00001703,ALTS,ALTS,1.703e-05,,ETH,Ethereum,Ξ,TRADING,FUNETH,0.00000001,240.72759095,14795764.00000000,0,0.00001714,12581.00000000,0.00001743,83390.00000000,2019-07-01T04:15:02.241015
True,0.0,14974354.0,FUN,FunFair,,0.00001743,8,0.00001744,-1,0.00001376,ETH,ETH,STANDARD,1e-08,1.0,0.00001682,ALTS,ALTS,1.682e-05,,ETH,Ethereum,Ξ,TRADING,FUNETH,0.00000001,243.83210102,14974354.00000000,0,0.00001743,60529.00000000,0.00001748,12000.00000000,2019-07-01T04:20:25.700467
