active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,92327126.0,GTO,Gifto,,0.00000278,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000214,BTC,BTC,2.14e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,233.63970701,92327126.00000000,0,0.00000277,33844.00000000,0.00000279,18133.00000000,2019-07-01T03:31:45.853045
True,0.0,92392089.0,GTO,Gifto,,0.00000277,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000214,BTC,BTC,2.14e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,233.82343825,92392089.00000000,0,0.00000275,2934.00000000,0.00000276,13879.00000000,2019-07-01T03:37:09.420003
True,0.0,92651233.0,GTO,Gifto,,0.00000274,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000213,BTC,BTC,2.13e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,234.54694792,92651233.00000000,0,0.00000273,29656.00000000,0.00000275,39950.00000000,2019-07-01T03:42:34.912820
True,0.0,92939642.0,GTO,Gifto,,0.00000276,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000215,BTC,BTC,2.15e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,235.34543708,92939642.00000000,0,0.00000275,6205.00000000,0.00000277,86405.00000000,2019-07-01T03:47:59.837101
True,0.0,93225580.0,GTO,Gifto,,0.00000274,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000215,BTC,BTC,2.15e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,236.13786637,93225580.00000000,0,0.00000273,71931.00000000,0.00000274,35551.00000000,2019-07-01T03:53:23.687655
True,0.0,94462371.0,GTO,Gifto,,0.00000277,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000216,BTC,BTC,2.16e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,239.59135898,94462371.00000000,0,0.00000276,26369.00000000,0.00000278,43562.00000000,2019-07-01T03:58:48.626384
True,0.0,94509607.0,GTO,Gifto,,0.00000276,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000215,BTC,BTC,2.15e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,239.76644824,94509607.00000000,0,0.00000275,61454.00000000,0.00000276,719.00000000,2019-07-01T04:04:13.119400
True,0.0,94945829.0,GTO,Gifto,,0.00000279,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000216,BTC,BTC,2.16e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,240.99240929,94945829.00000000,0,0.00000277,33174.00000000,0.00000279,32000.00000000,2019-07-01T04:09:38.967925
True,0.0,95149037.0,GTO,Gifto,,0.00000276,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000215,BTC,BTC,2.15e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,241.63544893,95149037.00000000,0,0.00000275,40778.00000000,0.00000277,20670.00000000,2019-07-01T04:15:02.241015
True,0.0,95416432.0,GTO,Gifto,,0.00000276,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000216,BTC,BTC,2.16e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,242.40323839,95416432.00000000,0,0.00000276,90252.00000000,0.00000277,10761.00000000,2019-07-01T04:20:25.700467
True,0.0,95603027.0,GTO,Gifto,,0.00000278,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000216,BTC,BTC,2.16e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,242.91970856,95603027.00000000,0,0.00000277,67831.00000000,0.00000278,7695.00000000,2019-07-01T04:25:49.281416
True,0.0,95680816.0,GTO,Gifto,,0.00000277,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000216,BTC,BTC,2.16e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,243.14010054,95680816.00000000,0,0.00000276,11725.00000000,0.00000277,105685.00000000,2019-07-01T04:31:13.431888
True,0.0,95941318.0,GTO,Gifto,,0.00000275,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000216,BTC,BTC,2.16e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,243.85480454,95941318.00000000,0,0.00000274,39670.00000000,0.00000276,32886.00000000,2019-07-01T04:36:38.444339
True,0.0,95931410.0,GTO,Gifto,,0.00000275,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000215,BTC,BTC,2.15e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,243.8621207,95931410.00000000,0,0.00000274,17398.00000000,0.00000275,12544.00000000,2019-07-01T04:42:02.003745
True,0.0,95934799.0,GTO,Gifto,,0.00000274,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000215,BTC,BTC,2.15e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,243.93466566,95934799.00000000,0,0.00000276,67471.00000000,0.00000277,168446.00000000,2019-07-01T04:47:26.497829
True,0.0,96062639.0,GTO,Gifto,,0.00000275,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000215,BTC,BTC,2.15e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,244.31879011,96062639.00000000,0,0.00000275,16987.00000000,0.00000276,28989.00000000,2019-07-01T04:52:50.537708
True,0.0,96110190.0,GTO,Gifto,,0.00000275,8,0.00000292,-1,0.00000209,BTC,BTC,STANDARD,1e-08,1.0,0.00000215,BTC,BTC,2.15e-06,,BTC,Bitcoin,฿,TRADING,GTOBTC,0.00000001,244.45219126,96110190.00000000,0,0.00000274,132243.00000000,0.00000276,73362.00000000,2019-07-01T04:58:15.990657
