active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,6543328.07,ICX,ICON,,0.3137,8,0.3288,-1,0.3040,USDT,USDT,STANDARD,1e-08,0.01,0.3233,USDⓈ,USDⓈ,0.3233,,USDT,TetherUS,,TRADING,ICXUSDT,0.0001,2064495.596119,6543328.0700,0,0.31330000,94.49000000,0.31490000,172.86000000,2019-07-01T03:31:45.853045
True,0.0,6537199.62,ICX,ICON,,0.3137,8,0.3288,-1,0.3040,USDT,USDT,STANDARD,1e-08,0.01,0.3221,USDⓈ,USDⓈ,0.3221,,USDT,TetherUS,,TRADING,ICXUSDT,0.0001,2062491.128029,6537199.6200,0,0.31360000,142.71000000,0.31400000,525.00000000,2019-07-01T03:37:09.420003
True,0.0,6535304.44,ICX,ICON,,0.3134,8,0.3288,-1,0.3040,USDT,USDT,STANDARD,1e-08,0.01,0.3216,USDⓈ,USDⓈ,0.3216,,USDT,TetherUS,,TRADING,ICXUSDT,0.0001,2061784.153172,6535304.4400,0,0.31340000,1534.06000000,0.31510000,1015.78000000,2019-07-01T03:42:34.912820
True,0.0,6519330.92,ICX,ICON,,0.3144,8,0.3288,-1,0.3040,USDT,USDT,STANDARD,1e-08,0.01,0.3216,USDⓈ,USDⓈ,0.3216,,USDT,TetherUS,,TRADING,ICXUSDT,0.0001,2056602.045124,6519330.9200,0,0.31440000,1353.10000000,0.31530000,2916.60000000,2019-07-01T03:47:59.837101
True,0.0,6542071.33,ICX,ICON,,0.3150,8,0.3288,-1,0.3040,USDT,USDT,STANDARD,1e-08,0.01,0.3221,USDⓈ,USDⓈ,0.3221,,USDT,TetherUS,,TRADING,ICXUSDT,0.0001,2063670.813911,6542071.3300,0,0.31420000,696.35000000,0.31510000,206.02000000,2019-07-01T03:53:23.687655
True,0.0,6496400.63,ICX,ICON,,0.3149,8,0.3288,-1,0.3040,USDT,USDT,STANDARD,1e-08,0.01,0.3203,USDⓈ,USDⓈ,0.3203,,USDT,TetherUS,,TRADING,ICXUSDT,0.0001,2048858.728783,6496400.6300,0,0.31440000,365.24000000,0.31540000,806.47000000,2019-07-01T03:58:48.626384
True,0.0,6480114.23,ICX,ICON,,0.3162,8,0.3288,-1,0.3040,USDT,USDT,STANDARD,1e-08,0.01,0.3202,USDⓈ,USDⓈ,0.3202,,USDT,TetherUS,,TRADING,ICXUSDT,0.0001,2043569.200931,6480114.2300,0,0.31610000,535.25000000,0.31690000,130.49000000,2019-07-01T04:04:13.119400
True,0.0,6430885.09,ICX,ICON,,0.3158,8,0.3288,-1,0.3040,USDT,USDT,STANDARD,1e-08,0.01,0.3207,USDⓈ,USDⓈ,0.3207,,USDT,TetherUS,,TRADING,ICXUSDT,0.0001,2027768.647222,6430885.0900,0,0.31580000,2232.73000000,0.31680000,182.16000000,2019-07-01T04:09:38.967925
True,0.0,6419127.32,ICX,ICON,,0.3169,8,0.3288,-1,0.3040,USDT,USDT,STANDARD,1e-08,0.01,0.3207,USDⓈ,USDⓈ,0.3207,,USDT,TetherUS,,TRADING,ICXUSDT,0.0001,2023980.205225,6419127.3200,0,0.31490000,41.28000000,0.31640000,316.63000000,2019-07-01T04:15:02.241015
True,0.0,6405275.62,ICX,ICON,,0.3153,8,0.3288,-1,0.3040,USDT,USDT,STANDARD,1e-08,0.01,0.3213,USDⓈ,USDⓈ,0.3213,,USDT,TetherUS,,TRADING,ICXUSDT,0.0001,2019503.395381,6405275.6200,0,0.31450000,497.91000000,0.31540000,287.92000000,2019-07-01T04:20:25.700467
