active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,1300409.41,KMD,Komodo,,0.0001246,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001117,BTC,BTC,0.0001117,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,155.91890509,1300409.4100000,0,0.00012470,30.00000000,0.00012500,30.00000000,2019-07-01T03:31:45.853045
True,0.0,1299802.77,KMD,Komodo,,0.0001245,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001122,BTC,BTC,0.0001122,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,155.86030947,1299802.7700000,0,0.00012490,0.60000000,0.00012520,61.92000000,2019-07-01T03:37:09.420003
True,0.0,1302473.7,KMD,Komodo,,0.0001254,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001121,BTC,BTC,0.0001121,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,156.19697543,1302473.7000000,0,0.00012510,46.61000000,0.00012520,30.00000000,2019-07-01T03:42:34.912820
True,0.0,1302138.41,KMD,Komodo,,0.0001247,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001120,BTC,BTC,0.000112,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,156.16383555,1302138.4100000,0,0.00012460,30.00000000,0.00012490,30.00000000,2019-07-01T03:47:59.837101
True,0.0,1302957.59,KMD,Komodo,,0.0001246,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001121,BTC,BTC,0.0001121,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,156.2780526,1302957.5900000,0,0.00012450,30.00000000,0.00012480,76.55000000,2019-07-01T03:53:23.687655
True,0.0,1306257.94,KMD,Komodo,,0.0001250,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001123,BTC,BTC,0.0001123,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,156.69881174,1306257.9400000,0,0.00012450,76.64000000,0.00012500,85.98000000,2019-07-01T03:58:48.626384
True,0.0,1305973.68,KMD,Komodo,,0.0001240,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001122,BTC,BTC,0.0001122,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,156.66873632,1305973.6800000,0,0.00012420,106.72000000,0.00012450,136.74000000,2019-07-01T04:04:13.119400
True,0.0,1306054.17,KMD,Komodo,,0.0001239,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001120,BTC,BTC,0.000112,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,156.68276421,1306054.1700000,0,0.00012390,30.00000000,0.00012420,30.00000000,2019-07-01T04:09:38.967925
True,0.0,1306109.71,KMD,Komodo,,0.0001239,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001119,BTC,BTC,0.0001119,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,156.70222117,1306109.7100000,0,0.00012400,30.00000000,0.00012450,30.00000000,2019-07-01T04:15:02.241015
True,0.0,1306630.88,KMD,Komodo,,0.0001247,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001115,BTC,BTC,0.0001115,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,156.77031074,1306630.8800000,0,0.00012450,76.59000000,0.00012470,17.33000000,2019-07-01T04:20:25.700467
True,0.0,1306545.56,KMD,Komodo,,0.0001246,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001117,BTC,BTC,0.0001117,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,156.76325067,1306545.5600000,0,0.00012450,30.00000000,0.00012480,30.00000000,2019-07-01T04:25:49.281416
True,0.0,1305761.48,KMD,Komodo,,0.0001245,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001119,BTC,BTC,0.0001119,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,156.68408614,1305761.4800000,0,0.00012450,107.82000000,0.00012480,90.00000000,2019-07-01T04:31:13.431888
True,0.0,1317513.67,KMD,Komodo,,0.0001239,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001120,BTC,BTC,0.000112,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,158.13528564,1317513.6700000,0,0.00012360,474.28000000,0.00012370,133.10000000,2019-07-01T04:36:38.444339
True,0.0,1318137.31,KMD,Komodo,,0.0001240,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001119,BTC,BTC,0.0001119,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,158.21610317,1318137.3100000,0,0.00012340,30.00000000,0.00012370,30.00000000,2019-07-01T04:42:02.003745
True,0.0,1320348.88,KMD,Komodo,,0.0001235,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001117,BTC,BTC,0.0001117,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,158.49574543,1320348.8800000,0,0.00012340,0.02000000,0.00012360,253.88000000,2019-07-01T04:47:26.497829
True,0.0,1326408.86,KMD,Komodo,,0.0001244,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001115,BTC,BTC,0.0001115,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,159.25498091,1326408.8600000,0,0.00012390,30.00000000,0.00012420,30.00000000,2019-07-01T04:52:50.537708
True,0.0,1327014.57,KMD,Komodo,,0.0001242,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001115,BTC,BTC,0.0001115,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,159.33030555,1327014.5700000,0,0.00012420,30.00000000,0.00012440,30.00000000,2019-07-01T04:58:15.990657
True,0.0,1335804.4,KMD,Komodo,,0.0001247,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001116,BTC,BTC,0.0001116,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,160.43002018,1335804.4000000,0,0.00012430,30.00000000,0.00012460,75.00000000,2019-07-01T05:03:40.747780
True,0.0,1340678.54,KMD,Komodo,,0.0001241,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001117,BTC,BTC,0.0001117,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,161.04524025,1340678.5400000,0,0.00012420,30.00000000,0.00012480,209.99000000,2019-07-01T05:09:05.523550
True,0.0,1346654.42,KMD,Komodo,,0.0001245,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001122,BTC,BTC,0.0001122,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,161.80378428,1346654.4200000,0,0.00012450,30.00000000,0.00012490,30.00000000,2019-07-01T05:14:29.634335
True,0.0,1342717.09,KMD,Komodo,,0.0001247,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001121,BTC,BTC,0.0001121,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,161.37758869,1342717.0900000,0,0.00012480,30.00000000,0.00012500,30.00000000,2019-07-01T05:19:53.868096
True,0.0,1342623.89,KMD,Komodo,,0.0001248,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001118,BTC,BTC,0.0001118,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,161.37073567,1342623.8900000,0,0.00012490,165.58000000,0.00012510,30.00000000,2019-07-01T05:25:20.751285
True,0.0,1344026.91,KMD,Komodo,,0.0001255,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001121,BTC,BTC,0.0001121,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,161.55170133,1344026.9100000,0,0.00012560,30.00000000,0.00012580,51.12000000,2019-07-01T05:30:44.842063
True,0.0,1340428.08,KMD,Komodo,,0.0001251,8,0.0001278,-1,0.0001113,BTC,BTC,STANDARD,1e-08,0.01,0.0001119,BTC,BTC,0.0001119,,BTC,Bitcoin,฿,TRADING,KMDBTC,0.0000001,161.15882126,1340428.0800000,0,0.00012520,30.00000000,0.00012550,142.66000000,2019-07-01T05:36:09.479568
