active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,663762.14,LINK,ChainLink,,3.4485,8,4.1906,-1,3.2100,USDC,USDC,STANDARD,1e-08,0.01,3.9902,USDⓈ,USDⓈ,3.9902,,USDC,USD Coin,,TRADING,LINKUSDC,0.0001,2460672.626124,663762.1400,0,3.44730000,3.04000000,3.47020000,18.33000000,2019-07-01T03:31:45.853045
True,0.0,663762.14,LINK,ChainLink,,3.4485,8,4.1906,-1,3.2100,USDC,USDC,STANDARD,1e-08,0.01,3.9902,USDⓈ,USDⓈ,3.9902,,USDC,USD Coin,,TRADING,LINKUSDC,0.0001,2460672.626124,663762.1400,0,3.44850000,14.49000000,3.47750000,31.40000000,2019-07-01T03:37:09.420003
True,0.0,663762.14,LINK,ChainLink,,3.4485,8,4.1906,-1,3.2100,USDC,USDC,STANDARD,1e-08,0.01,3.9902,USDⓈ,USDⓈ,3.9902,,USDC,USD Coin,,TRADING,LINKUSDC,0.0001,2460672.626124,663762.1400,0,3.44850000,14.49000000,3.47350000,4.88000000,2019-07-01T03:42:34.912820
True,0.0,661005.73,LINK,ChainLink,,3.4456,8,4.1906,-1,3.2100,USDC,USDC,STANDARD,1e-08,0.01,3.8794,USDⓈ,USDⓈ,3.8794,,USDC,USD Coin,,TRADING,LINKUSDC,0.0001,2449962.890908,661005.7300,0,3.43090000,307.34000000,3.46400000,150.97000000,2019-07-01T03:47:59.837101
True,0.0,660119.78,LINK,ChainLink,,3.4625,8,4.1906,-1,3.2100,USDC,USDC,STANDARD,1e-08,0.01,3.8881,USDⓈ,USDⓈ,3.8881,,USDC,USD Coin,,TRADING,LINKUSDC,0.0001,2446401.722812,660119.7800,0,3.43400000,436.39000000,3.45970000,6.15000000,2019-07-01T03:53:23.687655
True,0.0,661803.7,LINK,ChainLink,,3.4360,8,4.1906,-1,3.2100,USDC,USDC,STANDARD,1e-08,0.01,3.8457,USDⓈ,USDⓈ,3.8457,,USDC,USD Coin,,TRADING,LINKUSDC,0.0001,2451539.53094,661803.7000,0,3.43460000,7.60000000,3.46040000,31.60000000,2019-07-01T03:58:48.626384
True,0.0,660208.13,LINK,ChainLink,,3.4246,8,4.1906,-1,3.2100,USDC,USDC,STANDARD,1e-08,0.01,3.8882,USDⓈ,USDⓈ,3.8882,,USDC,USD Coin,,TRADING,LINKUSDC,0.0001,2445417.423277,660208.1300,0,3.41270000,393.00000000,3.44580000,240.80000000,2019-07-01T04:04:13.119400
True,0.0,658885.28,LINK,ChainLink,,3.4454,8,4.1906,-1,3.2100,USDC,USDC,STANDARD,1e-08,0.01,3.9217,USDⓈ,USDⓈ,3.9217,,USDC,USD Coin,,TRADING,LINKUSDC,0.0001,2440089.221979,658885.2800,0,3.41340000,464.95000000,3.44520000,5.53000000,2019-07-01T04:09:38.967925
True,0.0,659637.2,LINK,ChainLink,,3.4447,8,4.1906,-1,3.2100,USDC,USDC,STANDARD,1e-08,0.01,3.9217,USDⓈ,USDⓈ,3.9217,,USDC,USD Coin,,TRADING,LINKUSDC,0.0001,2442661.138504,659637.2000,0,3.42530000,371.74000000,3.44300000,23.06000000,2019-07-01T04:15:02.241015
True,0.0,658539.76,LINK,ChainLink,,3.4447,8,4.1906,-1,3.2100,USDC,USDC,STANDARD,1e-08,0.01,3.9344,USDⓈ,USDⓈ,3.9344,,USDC,USD Coin,,TRADING,LINKUSDC,0.0001,2437759.405039,658539.7600,0,3.41990000,3.41000000,3.44380000,5.09000000,2019-07-01T04:20:25.700467
