active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,29150.09488,LTC,Litecoin,Ł,3.83,8,4.09,-1,3.71,BNB,BNB,STANDARD,1e-08,1e-05,3.77,BNB,BNB,3.77,,BNB,Binance Coin,,TRADING,LTCBNB,0.01,112826.6048095,29150.10,0,3.82000000,43.64966000,3.83000000,0.68364000,2019-07-01T03:31:45.853045
True,0.0,29162.41885,LTC,Litecoin,Ł,3.84,8,4.09,-1,3.71,BNB,BNB,STANDARD,1e-08,1e-05,3.75,BNB,BNB,3.75,,BNB,Binance Coin,,TRADING,LTCBNB,0.01,112874.8822679,29162.42,0,3.84000000,14.95506000,3.85000000,0.09188000,2019-07-01T03:37:09.420003
True,0.0,29156.20879,LTC,Litecoin,Ł,3.84,8,4.09,-1,3.71,BNB,BNB,STANDARD,1e-08,1e-05,3.75,BNB,BNB,3.75,,BNB,Binance Coin,,TRADING,LTCBNB,0.01,112855.4182453,29156.21,0,3.84000000,0.71809000,3.85000000,5.20228000,2019-07-01T03:42:34.912820
True,0.0,29150.2087,LTC,Litecoin,Ł,3.84,8,4.09,-1,3.71,BNB,BNB,STANDARD,1e-08,1e-05,3.75,BNB,BNB,3.75,,BNB,Binance Coin,,TRADING,LTCBNB,0.01,112835.3806354,29150.21,0,3.83000000,95.17724000,3.85000000,50.90211000,2019-07-01T03:47:59.837101
True,0.0,29052.53622,LTC,Litecoin,Ł,3.85,8,4.09,-1,3.71,BNB,BNB,STANDARD,1e-08,1e-05,3.74,BNB,BNB,3.74,,BNB,Binance Coin,,TRADING,LTCBNB,0.01,112473.2915592,29052.54,0,3.83000000,25.50100000,3.84000000,0.16084000,2019-07-01T03:53:23.687655
True,0.0,29167.87603,LTC,Litecoin,Ł,3.82,8,4.09,-1,3.71,BNB,BNB,STANDARD,1e-08,1e-05,3.73,BNB,BNB,3.73,,BNB,Binance Coin,,TRADING,LTCBNB,0.01,112917.2895671,29167.88,0,3.82000000,0.71809000,3.83000000,4.42170000,2019-07-01T03:58:48.626384
True,0.0,29175.60288,LTC,Litecoin,Ł,3.81,8,4.09,-1,3.71,BNB,BNB,STANDARD,1e-08,1e-05,3.75,BNB,BNB,3.75,,BNB,Binance Coin,,TRADING,LTCBNB,0.01,112948.5784689,29175.61,0,3.81000000,0.03000000,3.82000000,39.04147000,2019-07-01T04:04:13.119400
True,0.0,29168.79581,LTC,Litecoin,Ł,3.83,8,4.09,-1,3.71,BNB,BNB,STANDARD,1e-08,1e-05,3.74,BNB,BNB,3.74,,BNB,Binance Coin,,TRADING,LTCBNB,0.01,112926.4816944,29168.80,0,3.82000000,8.72449000,3.83000000,7.92723000,2019-07-01T04:09:38.967925
True,0.0,29101.49368,LTC,Litecoin,Ł,3.82,8,4.09,-1,3.71,BNB,BNB,STANDARD,1e-08,1e-05,3.75,BNB,BNB,3.75,,BNB,Binance Coin,,TRADING,LTCBNB,0.01,112677.973533,29101.50,0,3.81000000,34.93130000,3.82000000,10.03547000,2019-07-01T04:15:02.241015
True,0.0,29085.49179,LTC,Litecoin,Ł,3.82,8,4.09,-1,3.71,BNB,BNB,STANDARD,1e-08,1e-05,3.76,BNB,BNB,3.76,,BNB,Binance Coin,,TRADING,LTCBNB,0.01,112619.1823406,29085.50,0,3.81000000,32.93496000,3.82000000,0.25000000,2019-07-01T04:20:25.700467
