active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,11006.0007,LTC,Litecoin,Ł,122.70,8,136.94,-1,117.73,USDC,USDC,STANDARD,1e-08,1e-05,128.41,USDⓈ,USDⓈ,128.41,,USDC,USD Coin,,TRADING,LTCUSDC,0.01,1402069.971363,11006.01,0,122.41000000,12.27909000,122.96000000,1.42537000,2019-07-01T03:31:45.853045
True,0.0,11002.67681,LTC,Litecoin,Ł,123.33,8,136.94,-1,117.73,USDC,USDC,STANDARD,1e-08,1e-05,127.65,USDⓈ,USDⓈ,127.65,,USDC,USD Coin,,TRADING,LTCUSDC,0.01,1401605.8863273,11002.68,0,123.04000000,0.16088000,123.71000000,19.11498000,2019-07-01T03:37:09.420003
True,0.0,11012.83796,LTC,Litecoin,Ł,122.99,8,136.94,-1,117.73,USDC,USDC,STANDARD,1e-08,1e-05,127.65,USDⓈ,USDⓈ,127.65,,USDC,USD Coin,,TRADING,LTCUSDC,0.01,1402859.0061658,11012.84,0,123.18000000,0.49363000,123.63000000,47.10040000,2019-07-01T03:42:34.912820
True,0.0,10985.96226,LTC,Litecoin,Ł,123.29,8,136.94,-1,117.73,USDC,USDC,STANDARD,1e-08,1e-05,127.50,USDⓈ,USDⓈ,127.5,,USDC,USD Coin,,TRADING,LTCUSDC,0.01,1399404.744757,10985.97,0,123.19000000,1.26757000,123.70000000,45.32109000,2019-07-01T03:47:59.837101
True,0.0,10995.23865,LTC,Litecoin,Ł,123.33,8,136.94,-1,117.73,USDC,USDC,STANDARD,1e-08,1e-05,127.00,USDⓈ,USDⓈ,127.0,,USDC,USD Coin,,TRADING,LTCUSDC,0.01,1400477.9140322,10995.24,0,123.32000000,1.61951000,123.75000000,2.79894000,2019-07-01T03:53:23.687655
True,0.0,10995.23865,LTC,Litecoin,Ł,123.33,8,136.94,-1,117.73,USDC,USDC,STANDARD,1e-08,1e-05,127.00,USDⓈ,USDⓈ,127.0,,USDC,USD Coin,,TRADING,LTCUSDC,0.01,1400477.9140322,10995.24,0,123.17000000,4.07974000,123.61000000,12.00000000,2019-07-01T03:58:48.626384
True,0.0,10995.39736,LTC,Litecoin,Ł,123.28,8,136.94,-1,117.73,USDC,USDC,STANDARD,1e-08,1e-05,128.00,USDⓈ,USDⓈ,128.0,,USDC,USD Coin,,TRADING,LTCUSDC,0.01,1400496.5432587,10995.40,0,123.53000000,1.05715000,123.91000000,10.84709000,2019-07-01T04:04:13.119400
True,0.0,10995.94902,LTC,Litecoin,Ł,124.05,8,136.94,-1,117.73,USDC,USDC,STANDARD,1e-08,1e-05,128.00,USDⓈ,USDⓈ,128.0,,USDC,USD Coin,,TRADING,LTCUSDC,0.01,1400564.9278795,10995.95,0,124.01000000,0.15992000,124.33000000,0.15994000,2019-07-01T04:09:38.967925
True,0.0,11008.26902,LTC,Litecoin,Ł,123.82,8,136.94,-1,117.73,USDC,USDC,STANDARD,1e-08,1e-05,129.00,USDⓈ,USDⓈ,129.0,,USDC,USD Coin,,TRADING,LTCUSDC,0.01,1402071.890369,11008.27,0,123.61000000,9.14474000,124.04000000,4.01412000,2019-07-01T04:15:02.241015
True,0.0,11008.26902,LTC,Litecoin,Ł,123.82,8,136.94,-1,117.73,USDC,USDC,STANDARD,1e-08,1e-05,129.00,USDⓈ,USDⓈ,129.0,,USDC,USD Coin,,TRADING,LTCUSDC,0.01,1402071.890369,11008.27,0,123.48000000,0.42692000,123.83000000,0.71809000,2019-07-01T04:20:25.700467
