active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,123288.35,LUN,Lunyr,,0.0001847,8,0.0001870,-1,0.0001741,BTC,BTC,STANDARD,1e-08,0.01,0.0001749,BTC,BTC,0.0001749,,BTC,Bitcoin,฿,TRADING,LUNBTC,0.0000001,22.23720628,123288.3500000,0,0.00018440,31.67000000,0.00018470,7.11000000,2019-07-01T03:31:45.853045
True,0.0,122914.83,LUN,Lunyr,,0.0001835,8,0.0001870,-1,0.0001741,BTC,BTC,STANDARD,1e-08,0.01,0.0001746,BTC,BTC,0.0001746,,BTC,Bitcoin,฿,TRADING,LUNBTC,0.0000001,22.17540312,122914.8300000,0,0.00018200,196.92000000,0.00018290,28.11000000,2019-07-01T03:37:09.420003
True,0.0,123370.38,LUN,Lunyr,,0.0001841,8,0.0001870,-1,0.0001741,BTC,BTC,STANDARD,1e-08,0.01,0.0001753,BTC,BTC,0.0001753,,BTC,Bitcoin,฿,TRADING,LUNBTC,0.0000001,22.26134421,123370.3800000,0,0.00018340,673.55000000,0.00018410,270.18000000,2019-07-01T03:42:34.912820
True,0.0,124053.23,LUN,Lunyr,,0.0001845,8,0.0001870,-1,0.0001741,BTC,BTC,STANDARD,1e-08,0.01,0.0001753,BTC,BTC,0.0001753,,BTC,Bitcoin,฿,TRADING,LUNBTC,0.0000001,22.38766439,124053.2300000,0,0.00018460,31.53000000,0.00018470,0.83000000,2019-07-01T03:47:59.837101
True,0.0,124285.39,LUN,Lunyr,,0.0001843,8,0.0001870,-1,0.0001741,BTC,BTC,STANDARD,1e-08,0.01,0.0001753,BTC,BTC,0.0001753,,BTC,Bitcoin,฿,TRADING,LUNBTC,0.0000001,22.43178796,124285.3900000,0,0.00018410,74.77000000,0.00018450,94.26000000,2019-07-01T03:53:23.687655
True,0.0,124426.55,LUN,Lunyr,,0.0001847,8,0.0001870,-1,0.0001741,BTC,BTC,STANDARD,1e-08,0.01,0.0001753,BTC,BTC,0.0001753,,BTC,Bitcoin,฿,TRADING,LUNBTC,0.0000001,22.45891605,124426.5500000,0,0.00018410,74.77000000,0.00018470,84.33000000,2019-07-01T03:58:48.626384
True,0.0,124375.7,LUN,Lunyr,,0.0001844,8,0.0001870,-1,0.0001741,BTC,BTC,STANDARD,1e-08,0.01,0.0001752,BTC,BTC,0.0001752,,BTC,Bitcoin,฿,TRADING,LUNBTC,0.0000001,22.45005584,124375.7000000,0,0.00018420,8.23000000,0.00018510,23.23000000,2019-07-01T04:04:13.119400
True,0.0,124470.25,LUN,Lunyr,,0.0001843,8,0.0001870,-1,0.0001741,BTC,BTC,STANDARD,1e-08,0.01,0.0001753,BTC,BTC,0.0001753,,BTC,Bitcoin,฿,TRADING,LUNBTC,0.0000001,22.46842454,124470.2500000,0,0.00018410,74.77000000,0.00018470,165.99000000,2019-07-01T04:09:38.967925
True,0.0,124486.47,LUN,Lunyr,,0.0001842,8,0.0001870,-1,0.0001741,BTC,BTC,STANDARD,1e-08,0.01,0.0001753,BTC,BTC,0.0001753,,BTC,Bitcoin,฿,TRADING,LUNBTC,0.0000001,22.47141226,124486.4700000,0,0.00018460,19.66000000,0.00018470,250.33000000,2019-07-01T04:15:02.241015
True,0.0,125285.25,LUN,Lunyr,,0.0001848,8,0.0001870,-1,0.0001741,BTC,BTC,STANDARD,1e-08,0.01,0.0001752,BTC,BTC,0.0001752,,BTC,Bitcoin,฿,TRADING,LUNBTC,0.0000001,22.62073361,125285.2500000,0,0.00018410,70.01000000,0.00018500,20.44000000,2019-07-01T04:20:25.700467
