active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,1169061493.0,MATIC,MATIC Network,,0.00000199,8,0.00000227,-1,0.00000195,BTC,BTC,STANDARD,1e-08,1.0,0.00000207,BTC,BTC,2.07e-06,,BTC,Bitcoin,฿,TRADING,MATICBTC,0.00000001,2478.2520681,1169061493.00000000,0,0.00000199,523570.00000000,0.00000200,655762.00000000,2019-07-01T03:31:45.853045
True,0.0,1168642966.0,MATIC,MATIC Network,,0.00000201,8,0.00000227,-1,0.00000195,BTC,BTC,STANDARD,1e-08,1.0,0.00000209,BTC,BTC,2.09e-06,,BTC,Bitcoin,฿,TRADING,MATICBTC,0.00000001,2477.27207292,1168642966.00000000,0,0.00000200,395537.00000000,0.00000201,1351352.00000000,2019-07-01T03:37:09.420003
True,0.0,1162499196.0,MATIC,MATIC Network,,0.00000200,8,0.00000227,-1,0.00000195,BTC,BTC,STANDARD,1e-08,1.0,0.00000210,BTC,BTC,2.1e-06,,BTC,Bitcoin,฿,TRADING,MATICBTC,0.00000001,2464.32291195,1162499196.00000000,0,0.00000199,1516881.00000000,0.00000200,84020.00000000,2019-07-01T03:42:34.912820
True,0.0,1159949740.0,MATIC,MATIC Network,,0.00000200,8,0.00000227,-1,0.00000195,BTC,BTC,STANDARD,1e-08,1.0,0.00000212,BTC,BTC,2.12e-06,,BTC,Bitcoin,฿,TRADING,MATICBTC,0.00000001,2458.83633217,1159949740.00000000,0,0.00000199,1816883.00000000,0.00000200,23027.00000000,2019-07-01T03:47:59.837101
True,0.0,1152208263.0,MATIC,MATIC Network,,0.00000198,8,0.00000227,-1,0.00000195,BTC,BTC,STANDARD,1e-08,1.0,0.00000214,BTC,BTC,2.14e-06,,BTC,Bitcoin,฿,TRADING,MATICBTC,0.00000001,2440.24471453,1152208263.00000000,0,0.00000198,28860.00000000,0.00000199,564585.00000000,2019-07-01T03:53:23.687655
True,0.0,1140508896.0,MATIC,MATIC Network,,0.00000197,8,0.00000227,-1,0.00000195,BTC,BTC,STANDARD,1e-08,1.0,0.00000216,BTC,BTC,2.16e-06,,BTC,Bitcoin,฿,TRADING,MATICBTC,0.00000001,2414.9227042,1140508896.00000000,0,0.00000197,1398681.00000000,0.00000198,326644.00000000,2019-07-01T03:58:48.626384
True,0.0,1137549265.0,MATIC,MATIC Network,,0.00000196,8,0.00000227,-1,0.00000195,BTC,BTC,STANDARD,1e-08,1.0,0.00000213,BTC,BTC,2.13e-06,,BTC,Bitcoin,฿,TRADING,MATICBTC,0.00000001,2407.64703451,1137549265.00000000,0,0.00000195,1075935.00000000,0.00000196,402327.00000000,2019-07-01T04:04:13.119400
True,0.0,1135189182.0,MATIC,MATIC Network,,0.00000196,8,0.00000227,-1,0.00000195,BTC,BTC,STANDARD,1e-08,1.0,0.00000210,BTC,BTC,2.1e-06,,BTC,Bitcoin,฿,TRADING,MATICBTC,0.00000001,2402.23625145,1135189182.00000000,0,0.00000196,503542.00000000,0.00000197,1522991.00000000,2019-07-01T04:09:38.967925
True,0.0,1128512714.0,MATIC,MATIC Network,,0.00000195,8,0.00000227,-1,0.00000195,BTC,BTC,STANDARD,1e-08,1.0,0.00000209,BTC,BTC,2.09e-06,,BTC,Bitcoin,฿,TRADING,MATICBTC,0.00000001,2388.08123076,1128512714.00000000,0,0.00000195,1033436.00000000,0.00000196,1842766.00000000,2019-07-01T04:15:02.241015
True,0.0,1133755505.0,MATIC,MATIC Network,,0.00000196,8,0.00000227,-1,0.00000194,BTC,BTC,STANDARD,1e-08,1.0,0.00000210,BTC,BTC,2.1e-06,,BTC,Bitcoin,฿,TRADING,MATICBTC,0.00000001,2398.1339833,1133755505.00000000,0,0.00000196,945054.00000000,0.00000197,317777.00000000,2019-07-01T04:20:25.700467
