active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,112111.64,MCO,Crypto.com,,0.000566,8,0.000568,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000526,BTC,BTC,0.000526,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,60.51121006,112111.640000,0,0.00056500,249.22000000,0.00056700,33.42000000,2019-07-01T03:31:45.853045
True,0.0,112178.31,MCO,Crypto.com,,0.000567,8,0.000568,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000524,BTC,BTC,0.000524,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,60.55224401,112178.310000,0,0.00056500,241.48000000,0.00056700,10.38000000,2019-07-01T03:37:09.420003
True,0.0,112803.15,MCO,Crypto.com,,0.000567,8,0.000570,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000524,BTC,BTC,0.000524,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,60.94594933,112803.150000,0,0.00056600,43.95000000,0.00056800,60.79000000,2019-07-01T03:42:34.912820
True,0.0,113220.96,MCO,Crypto.com,,0.000565,8,0.000570,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000523,BTC,BTC,0.000523,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,61.18561648,113220.960000,0,0.00056600,1.77000000,0.00056700,52.81000000,2019-07-01T03:47:59.837101
True,0.0,114131.88,MCO,Crypto.com,,0.000566,8,0.000570,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000521,BTC,BTC,0.000521,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,61.71364441,114131.880000,0,0.00056500,72.72000000,0.00056800,94.79000000,2019-07-01T03:53:23.687655
True,0.0,120099.11,MCO,Crypto.com,,0.000577,8,0.000579,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000524,BTC,BTC,0.000524,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,65.14289668,120099.110000,0,0.00057600,96.90000000,0.00057800,4.92000000,2019-07-01T03:58:48.626384
True,0.0,120704.79,MCO,Crypto.com,,0.000578,8,0.000579,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000523,BTC,BTC,0.000523,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,65.49422618,120704.790000,0,0.00057600,587.37000000,0.00057800,65.95000000,2019-07-01T04:04:13.119400
True,0.0,121502.68,MCO,Crypto.com,,0.000576,8,0.000579,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000523,BTC,BTC,0.000523,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,65.96160193,121502.680000,0,0.00057500,4.00000000,0.00057600,36.50000000,2019-07-01T04:09:38.967925
True,0.0,124649.83,MCO,Crypto.com,,0.000580,8,0.000587,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000521,BTC,BTC,0.000521,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,67.79636879,124649.830000,0,0.00058000,16.65000000,0.00058200,5.75000000,2019-07-01T04:15:02.241015
True,0.0,148911.43,MCO,Crypto.com,,0.000599,8,0.000603,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000520,BTC,BTC,0.00052,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,82.18787822,148911.430000,0,0.00059500,40.00000000,0.00059600,33.31000000,2019-07-01T04:20:25.700467
True,0.0,161048.46,MCO,Crypto.com,,0.000599,8,0.000607,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000520,BTC,BTC,0.00052,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,89.46528956,161048.460000,0,0.00059600,10.14000000,0.00059800,142.07000000,2019-07-01T04:25:49.281416
True,0.0,170483.57,MCO,Crypto.com,,0.000600,8,0.000607,-1,0.000517,BTC,BTC,STANDARD,1e-08,0.01,0.000520,BTC,BTC,0.00052,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,95.1180987,170483.570000,0,0.00059900,10.00000000,0.00060100,264.38000000,2019-07-01T04:31:13.431888
True,0.0,173861.33,MCO,Crypto.com,,0.000592,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000520,BTC,BTC,0.00052,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,97.15884831,173861.330000,0,0.00058500,76.05000000,0.00058800,78.55000000,2019-07-01T04:36:38.444339
True,0.0,176036.11,MCO,Crypto.com,,0.000587,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000521,BTC,BTC,0.000521,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,98.46930447,176036.110000,0,0.00058700,7.38000000,0.00058900,488.74000000,2019-07-01T04:42:02.003745
True,0.0,183283.44,MCO,Crypto.com,,0.000583,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000520,BTC,BTC,0.00052,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,102.70862991,183283.440000,0,0.00058200,264.01000000,0.00058500,2645.09000000,2019-07-01T04:47:26.497829
True,0.0,186369.69,MCO,Crypto.com,,0.000580,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000522,BTC,BTC,0.000522,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,104.50966685,186369.690000,0,0.00057800,40.43000000,0.00058000,132.88000000,2019-07-01T04:52:50.537708
True,0.0,192647.46,MCO,Crypto.com,,0.000574,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000521,BTC,BTC,0.000521,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,108.11410193,192647.460000,0,0.00057000,51.44000000,0.00057200,62.86000000,2019-07-01T04:58:15.990657
True,0.0,199034.29,MCO,Crypto.com,,0.000577,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000521,BTC,BTC,0.000521,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,111.75376656,199034.290000,0,0.00057200,21.84000000,0.00057300,2.43000000,2019-07-01T05:03:40.747780
True,0.0,208206.11,MCO,Crypto.com,,0.000573,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000522,BTC,BTC,0.000522,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,117.05069664,208206.110000,0,0.00057100,32.52000000,0.00057400,17.33000000,2019-07-01T05:09:05.523550
True,0.0,210272.59,MCO,Crypto.com,,0.000580,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000523,BTC,BTC,0.000523,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,118.24442597,210272.590000,0,0.00057800,9.50000000,0.00058000,148.40000000,2019-07-01T05:14:29.634335
True,0.0,213172.78,MCO,Crypto.com,,0.000581,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000527,BTC,BTC,0.000527,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,120.0800302,213172.780000,0,0.00058000,10.21000000,0.00058200,212.95000000,2019-07-01T05:19:53.868096
True,0.0,213670.62,MCO,Crypto.com,,0.000579,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000528,BTC,BTC,0.000528,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,120.40479399,213670.620000,0,0.00057900,7.43000000,0.00058100,78.95000000,2019-07-01T05:25:20.751285
True,0.0,219311.44,MCO,Crypto.com,,0.000586,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000523,BTC,BTC,0.000523,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,123.76381959,219311.440000,0,0.00058200,118.37000000,0.00058600,40.70000000,2019-07-01T05:30:44.842063
True,0.0,222144.11,MCO,Crypto.com,,0.000582,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000522,BTC,BTC,0.000522,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,125.44490839,222144.110000,0,0.00058000,7.43000000,0.00058200,69.76000000,2019-07-01T05:36:09.479568
True,0.0,227482.62,MCO,Crypto.com,,0.000588,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000524,BTC,BTC,0.000524,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,128.58807367,227482.620000,0,0.00058400,26.99000000,0.00058600,11.24000000,2019-07-01T05:41:36.008204
True,0.0,234242.78,MCO,Crypto.com,,0.000590,8,0.000607,-1,0.000519,BTC,BTC,STANDARD,1e-08,0.01,0.000523,BTC,BTC,0.000523,,BTC,Bitcoin,฿,TRADING,MCOBTC,0.000001,132.6117782,234242.780000,0,0.00059000,10.23000000,0.00059300,23.63000000,2019-07-01T05:47:00.146466
