active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,22493.0,MDA,Moeda Loyalty Points,,0.0028713,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028461,ALTS,ALTS,0.0028461,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,63.4982122,22493.0000000,0,0.00286370,21.00000000,0.00289940,9.00000000,2019-07-01T03:31:45.853045
True,0.0,22600.0,MDA,Moeda Loyalty Points,,0.0028714,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028461,ALTS,ALTS,0.0028461,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,63.805452,22600.0000000,0,0.00287250,21.00000000,0.00290090,9.00000000,2019-07-01T03:37:09.420003
True,0.0,22628.0,MDA,Moeda Loyalty Points,,0.0028792,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028461,ALTS,ALTS,0.0028461,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,63.8879894,22628.0000000,0,0.00287020,103.00000000,0.00289310,9.00000000,2019-07-01T03:42:34.912820
True,0.0,22628.0,MDA,Moeda Loyalty Points,,0.0028792,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028461,ALTS,ALTS,0.0028461,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,63.8879894,22628.0000000,0,0.00288290,7.00000000,0.00295230,75.00000000,2019-07-01T03:47:59.837101
True,0.0,24700.0,MDA,Moeda Loyalty Points,,0.0028792,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028600,ALTS,ALTS,0.00286,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,69.8736676,24700.0000000,0,0.00288440,64.00000000,0.00291420,75.00000000,2019-07-01T03:53:23.687655
True,0.0,24705.0,MDA,Moeda Loyalty Points,,0.0029041,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028600,ALTS,ALTS,0.00286,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,69.8881881,24705.0000000,0,0.00288520,13.00000000,0.00291460,217.00000000,2019-07-01T03:58:48.626384
True,0.0,24705.0,MDA,Moeda Loyalty Points,,0.0029041,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028600,ALTS,ALTS,0.00286,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,69.8881881,24705.0000000,0,0.00288080,254.00000000,0.00291550,64.00000000,2019-07-01T04:04:13.119400
True,0.0,24705.0,MDA,Moeda Loyalty Points,,0.0029041,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028600,ALTS,ALTS,0.00286,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,69.8881881,24705.0000000,0,0.00287070,25.00000000,0.00290510,281.00000000,2019-07-01T04:09:38.967925
True,0.0,24705.0,MDA,Moeda Loyalty Points,,0.0029041,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028600,ALTS,ALTS,0.00286,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,69.8881881,24705.0000000,0,0.00284970,21.00000000,0.00287430,64.00000000,2019-07-01T04:15:02.241015
True,0.0,24705.0,MDA,Moeda Loyalty Points,,0.0029041,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028600,ALTS,ALTS,0.00286,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,69.8881881,24705.0000000,0,0.00284740,75.00000000,0.00287710,70.00000000,2019-07-01T04:20:25.700467
True,0.0,23895.0,MDA,Moeda Loyalty Points,,0.0029041,8,0.0029123,-1,0.0027453,ETH,ETH,STANDARD,1e-08,1.0,0.0028029,ALTS,ALTS,0.0028029,,ETH,Ethereum,Ξ,TRADING,MDAETH,0.0000001,67.5923053,23895.0000000,0,0.00284710,21.00000000,0.00287090,70.00000000,2019-07-01T04:25:49.281416
