active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,657921058.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000023,BTC,BTC,2.3e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.04074695,657921058.00000000,0,0.00000023,68137606.00000000,0.00000024,36908175.00000000,2019-07-01T03:31:45.853045
True,0.0,657963985.0,MFT,Mainframe,,0.00000023,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000023,BTC,BTC,2.3e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.05062016,657963985.00000000,0,0.00000023,68027943.00000000,0.00000024,37309607.00000000,2019-07-01T03:37:09.420003
True,0.0,658671261.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000022,BTC,BTC,2.2e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.2212362,658671261.00000000,0,0.00000023,69979267.00000000,0.00000024,37826686.00000000,2019-07-01T03:42:34.912820
True,0.0,658692126.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000022,BTC,BTC,2.2e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.22662522,658692126.00000000,0,0.00000023,68472405.00000000,0.00000024,40498284.00000000,2019-07-01T03:47:59.837101
True,0.0,658692126.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000022,BTC,BTC,2.2e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.22662522,658692126.00000000,0,0.00000023,67124373.00000000,0.00000024,41809619.00000000,2019-07-01T03:53:23.687655
True,0.0,658337077.0,MFT,Mainframe,,0.00000023,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000023,BTC,BTC,2.3e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.14605151,658337077.00000000,0,0.00000023,67618936.00000000,0.00000024,40584073.00000000,2019-07-01T03:58:48.626384
True,0.0,658771802.0,MFT,Mainframe,,0.00000023,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000023,BTC,BTC,2.3e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.24755336,658771802.00000000,0,0.00000023,66327781.00000000,0.00000024,42703699.00000000,2019-07-01T04:04:13.119400
True,0.0,658509182.0,MFT,Mainframe,,0.00000023,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000023,BTC,BTC,2.3e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.18792244,658509182.00000000,0,0.00000023,67403122.00000000,0.00000024,43981598.00000000,2019-07-01T04:09:38.967925
True,0.0,658932737.0,MFT,Mainframe,,0.00000023,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000023,BTC,BTC,2.3e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.28534009,658932737.00000000,0,0.00000023,67653696.00000000,0.00000024,44735387.00000000,2019-07-01T04:15:02.241015
True,0.0,658953163.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000023,BTC,BTC,2.3e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.29024233,658953163.00000000,0,0.00000023,68953411.00000000,0.00000024,43413911.00000000,2019-07-01T04:20:25.700467
True,0.0,658406023.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000022,BTC,BTC,2.2e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.16883992,658406023.00000000,0,0.00000023,68906280.00000000,0.00000024,43421479.00000000,2019-07-01T04:25:49.281416
True,0.0,657302620.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000022,BTC,BTC,2.2e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,150.92709126,657302620.00000000,0,0.00000023,66987425.00000000,0.00000024,44682814.00000000,2019-07-01T04:31:13.431888
True,0.0,657816491.0,MFT,Mainframe,,0.00000023,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000022,BTC,BTC,2.2e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.04778159,657816491.00000000,0,0.00000023,65779331.00000000,0.00000024,45020152.00000000,2019-07-01T04:36:38.444339
True,0.0,657531207.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000022,BTC,BTC,2.2e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,150.98484341,657531207.00000000,0,0.00000023,66889695.00000000,0.00000024,45211125.00000000,2019-07-01T04:42:02.003745
True,0.0,659073574.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000022,BTC,BTC,2.2e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.33991499,659073574.00000000,0,0.00000023,62996325.00000000,0.00000024,48703637.00000000,2019-07-01T04:47:26.497829
True,0.0,660012971.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000023,BTC,BTC,2.3e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,151.56163642,660012971.00000000,0,0.00000023,61864882.00000000,0.00000024,46852606.00000000,2019-07-01T04:52:50.537708
True,0.0,661870327.0,MFT,Mainframe,,0.00000024,8,0.00000025,-1,0.00000021,BTC,BTC,STANDARD,1e-08,1.0,0.00000022,BTC,BTC,2.2e-07,,BTC,Bitcoin,฿,TRADING,MFTBTC,0.00000001,152.00619938,661870327.00000000,0,0.00000023,69370879.00000000,0.00000024,45117575.00000000,2019-07-01T04:58:15.990657
