active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,27505.569,NEO,NEO,,0.518,8,0.537,-1,0.514,BNB,BNB,STANDARD,1e-08,0.001,0.522,BNB,BNB,0.522,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,14332.646763,27505.569,0,0.51800000,5.33000000,0.51900000,21.40000000,2019-07-01T03:31:45.853045
True,0.0,27506.936,NEO,NEO,,0.517,8,0.537,-1,0.514,BNB,BNB,STANDARD,1e-08,0.001,0.521,BNB,BNB,0.521,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,14333.145658,27506.936,0,0.51800000,0.01100000,0.51900000,85.22000000,2019-07-01T03:37:09.420003
True,0.0,27524.599,NEO,NEO,,0.516,8,0.537,-1,0.514,BNB,BNB,STANDARD,1e-08,0.001,0.520,BNB,BNB,0.52,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,14342.211026,27524.599,0,0.51800000,3.45900000,0.51900000,21.38100000,2019-07-01T03:42:34.912820
True,0.0,27528.726,NEO,NEO,,0.516,8,0.537,-1,0.514,BNB,BNB,STANDARD,1e-08,0.001,0.520,BNB,BNB,0.52,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,14344.236257,27528.726,0,0.51600000,130.27500000,0.51900000,2.69900000,2019-07-01T03:47:59.837101
True,0.0,27648.47,NEO,NEO,,0.518,8,0.537,-1,0.514,BNB,BNB,STANDARD,1e-08,0.001,0.520,BNB,BNB,0.52,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,14406.216029,27648.470,0,0.51600000,0.67300000,0.51800000,80.57300000,2019-07-01T03:53:23.687655
True,0.0,27572.017,NEO,NEO,,0.515,8,0.537,-1,0.514,BNB,BNB,STANDARD,1e-08,0.001,0.520,BNB,BNB,0.52,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,14366.357543,27572.017,0,0.51500000,118.00600000,0.51600000,19.96100000,2019-07-01T03:58:48.626384
True,0.0,27904.905,NEO,NEO,,0.513,8,0.537,-1,0.513,BNB,BNB,STANDARD,1e-08,0.001,0.520,BNB,BNB,0.52,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,14537.626872,27904.905,0,0.51300000,14.72500000,0.51500000,1074.36500000,2019-07-01T04:04:13.119400
True,0.0,28027.963,NEO,NEO,,0.514,8,0.537,-1,0.512,BNB,BNB,STANDARD,1e-08,0.001,0.520,BNB,BNB,0.52,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,14600.735209,28027.963,0,0.51500000,13.85900000,0.51600000,44.25400000,2019-07-01T04:09:38.967925
True,0.0,28417.237,NEO,NEO,,0.516,8,0.537,-1,0.512,BNB,BNB,STANDARD,1e-08,0.001,0.520,BNB,BNB,0.52,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,14801.38022,28417.237,0,0.51600000,169.20600000,0.51700000,13.90300000,2019-07-01T04:15:02.241015
True,0.0,28700.697,NEO,NEO,,0.515,8,0.537,-1,0.512,BNB,BNB,STANDARD,1e-08,0.001,0.520,BNB,BNB,0.52,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,14947.313776,28700.697,0,0.51500000,10.00000000,0.51600000,14.18600000,2019-07-01T04:20:25.700467
True,0.0,28834.841,NEO,NEO,,0.515,8,0.537,-1,0.512,BNB,BNB,STANDARD,1e-08,0.001,0.521,BNB,BNB,0.521,,BNB,Binance Coin,,TRADING,NEOBNB,0.001,15016.508459,28834.841,0,0.51300000,50.34400000,0.51400000,17.12000000,2019-07-01T04:25:49.281416
