active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,62854.51,OMG,OmiseGO,,0.008465,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008558,ALTS,ALTS,0.008558,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,541.11115698,62854.510000,0,0.00842000,13.91000000,0.00847200,25.67000000,2019-07-01T03:31:45.853045
True,0.0,62917.34,OMG,OmiseGO,,0.008423,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008558,ALTS,ALTS,0.008558,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,541.64069942,62917.340000,0,0.00842600,66.84000000,0.00845500,25.67000000,2019-07-01T03:37:09.420003
True,0.0,61745.13,OMG,OmiseGO,,0.008455,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008586,ALTS,ALTS,0.008586,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,531.60343751,61745.130000,0,0.00842000,13.91000000,0.00843400,59.27000000,2019-07-01T03:42:34.912820
True,0.0,61622.73,OMG,OmiseGO,,0.008411,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008608,ALTS,ALTS,0.008608,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,530.54301424,61622.730000,0,0.00841600,151.24000000,0.00844900,62.91000000,2019-07-01T03:47:59.837101
True,0.0,61666.78,OMG,OmiseGO,,0.008453,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008668,ALTS,ALTS,0.008668,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,530.87072909,61666.780000,0,0.00842600,25.73000000,0.00845300,60.06000000,2019-07-01T03:53:23.687655
True,0.0,61801.72,OMG,OmiseGO,,0.008425,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008668,ALTS,ALTS,0.008668,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,532.00661765,61801.720000,0,0.00842500,93.87000000,0.00843200,77.49000000,2019-07-01T03:58:48.626384
True,0.0,60974.72,OMG,OmiseGO,,0.008428,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008642,ALTS,ALTS,0.008642,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,524.78937701,60974.720000,0,0.00841200,25.61000000,0.00845100,53.46000000,2019-07-01T04:04:13.119400
True,0.0,61005.08,OMG,OmiseGO,,0.008428,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008642,ALTS,ALTS,0.008642,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,525.04525109,61005.080000,0,0.00843300,23.34000000,0.00846000,2.19000000,2019-07-01T04:09:38.967925
True,0.0,61142.66,OMG,OmiseGO,,0.008464,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008699,ALTS,ALTS,0.008699,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,526.19368142,61142.660000,0,0.00843800,118.00000000,0.00846700,8.43000000,2019-07-01T04:15:02.241015
True,0.0,61198.69,OMG,OmiseGO,,0.008467,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008699,ALTS,ALTS,0.008699,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,526.66808743,61198.690000,0,0.00842900,45.00000000,0.00846600,25.48000000,2019-07-01T04:20:25.700467
True,0.0,61142.15,OMG,OmiseGO,,0.008467,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008700,ALTS,ALTS,0.0087,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,526.17624597,61142.150000,0,0.00843000,50.61000000,0.00846300,25.48000000,2019-07-01T04:25:49.281416
True,0.0,61056.83,OMG,OmiseGO,,0.008451,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008692,ALTS,ALTS,0.008692,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,525.4278315,61056.830000,0,0.00843800,25.57000000,0.00846600,52.31000000,2019-07-01T04:31:13.431888
True,0.0,61097.94,OMG,OmiseGO,,0.008449,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008745,ALTS,ALTS,0.008745,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,525.77272223,61097.940000,0,0.00841800,2.36000000,0.00843500,2.63000000,2019-07-01T04:36:38.444339
True,0.0,61079.24,OMG,OmiseGO,,0.008405,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008746,ALTS,ALTS,0.008746,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,525.55510189,61079.240000,0,0.00840300,862.66000000,0.00842800,25.55000000,2019-07-01T04:42:02.003745
True,0.0,61401.24,OMG,OmiseGO,,0.008442,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008782,ALTS,ALTS,0.008782,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,528.23385915,61401.240000,0,0.00841400,25.46000000,0.00844800,43.82000000,2019-07-01T04:47:26.497829
True,0.0,61412.89,OMG,OmiseGO,,0.008484,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008748,ALTS,ALTS,0.008748,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,528.31748398,61412.890000,0,0.00845700,32.69000000,0.00848200,8.43000000,2019-07-01T04:52:50.537708
True,0.0,62038.65,OMG,OmiseGO,,0.008460,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008747,ALTS,ALTS,0.008747,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,533.62861897,62038.650000,0,0.00843200,8.58000000,0.00846000,42.44000000,2019-07-01T04:58:15.990657
True,0.0,62318.3,OMG,OmiseGO,,0.008402,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008787,ALTS,ALTS,0.008787,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,535.94005963,62318.300000,0,0.00840200,0.21000000,0.00841600,63.13000000,2019-07-01T05:03:40.747780
True,0.0,62325.73,OMG,OmiseGO,,0.008401,8,0.008822,-1,0.008352,ETH,ETH,STANDARD,1e-08,0.01,0.008787,ALTS,ALTS,0.008787,,ETH,Ethereum,Ξ,TRADING,OMGETH,0.000001,536.00240753,62325.730000,0,0.00837800,49.84000000,0.00842200,72.67000000,2019-07-01T05:09:05.523550
