active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,802459294.0,ONE,Harmony,,0.00000178,8,0.00000196,-1,0.00000171,BTC,BTC,STANDARD,1e-08,1.0,0.00000180,BTC,BTC,1.8e-06,,BTC,Bitcoin,฿,TRADING,ONEBTC,0.00000001,1477.26133161,802459294.00000000,0,0.00000177,969342.00000000,0.00000178,1295243.00000000,2019-07-01T03:31:45.853045
True,0.0,802951478.0,ONE,Harmony,,0.00000177,8,0.00000196,-1,0.00000171,BTC,BTC,STANDARD,1e-08,1.0,0.00000181,BTC,BTC,1.81e-06,,BTC,Bitcoin,฿,TRADING,ONEBTC,0.00000001,1478.11879081,802951478.00000000,0,0.00000177,1166120.00000000,0.00000178,1021409.00000000,2019-07-01T03:37:09.420003
True,0.0,796957513.0,ONE,Harmony,,0.00000177,8,0.00000196,-1,0.00000171,BTC,BTC,STANDARD,1e-08,1.0,0.00000182,BTC,BTC,1.82e-06,,BTC,Bitcoin,฿,TRADING,ONEBTC,0.00000001,1467.16065675,796957513.00000000,0,0.00000177,1161049.00000000,0.00000178,874163.00000000,2019-07-01T03:42:34.912820
True,0.0,797031678.0,ONE,Harmony,,0.00000177,8,0.00000196,-1,0.00000171,BTC,BTC,STANDARD,1e-08,1.0,0.00000183,BTC,BTC,1.83e-06,,BTC,Bitcoin,฿,TRADING,ONEBTC,0.00000001,1467.27069443,797031678.00000000,0,0.00000177,789542.00000000,0.00000178,1718888.00000000,2019-07-01T03:47:59.837101
True,0.0,794348784.0,ONE,Harmony,,0.00000178,8,0.00000196,-1,0.00000171,BTC,BTC,STANDARD,1e-08,1.0,0.00000182,BTC,BTC,1.82e-06,,BTC,Bitcoin,฿,TRADING,ONEBTC,0.00000001,1462.32477186,794348784.00000000,0,0.00000177,601266.00000000,0.00000178,1740460.00000000,2019-07-01T03:53:23.687655
True,0.0,791648793.0,ONE,Harmony,,0.00000177,8,0.00000196,-1,0.00000171,BTC,BTC,STANDARD,1e-08,1.0,0.00000183,BTC,BTC,1.83e-06,,BTC,Bitcoin,฿,TRADING,ONEBTC,0.00000001,1457.3889989,791648793.00000000,0,0.00000176,1384716.00000000,0.00000177,566146.00000000,2019-07-01T03:58:48.626384
True,0.0,790324456.0,ONE,Harmony,,0.00000177,8,0.00000196,-1,0.00000171,BTC,BTC,STANDARD,1e-08,1.0,0.00000181,BTC,BTC,1.81e-06,,BTC,Bitcoin,฿,TRADING,ONEBTC,0.00000001,1454.96794076,790324456.00000000,0,0.00000176,1111441.00000000,0.00000177,848622.00000000,2019-07-01T04:04:13.119400
True,0.0,786765916.0,ONE,Harmony,,0.00000175,8,0.00000196,-1,0.00000171,BTC,BTC,STANDARD,1e-08,1.0,0.00000179,BTC,BTC,1.79e-06,,BTC,Bitcoin,฿,TRADING,ONEBTC,0.00000001,1448.4389318,786765916.00000000,0,0.00000175,763860.00000000,0.00000176,425652.00000000,2019-07-01T04:09:38.967925
True,0.0,784764039.0,ONE,Harmony,,0.00000176,8,0.00000196,-1,0.00000171,BTC,BTC,STANDARD,1e-08,1.0,0.00000178,BTC,BTC,1.78e-06,,BTC,Bitcoin,฿,TRADING,ONEBTC,0.00000001,1444.82277421,784764039.00000000,0,0.00000175,1194475.00000000,0.00000176,280061.00000000,2019-07-01T04:15:02.241015
True,0.0,779785332.0,ONE,Harmony,,0.00000177,8,0.00000196,-1,0.00000171,BTC,BTC,STANDARD,1e-08,1.0,0.00000178,BTC,BTC,1.78e-06,,BTC,Bitcoin,฿,TRADING,ONEBTC,0.00000001,1435.99912875,779785332.00000000,0,0.00000176,232185.00000000,0.00000177,1620725.00000000,2019-07-01T04:20:25.700467
