active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,1403963.66,PAX,Paxos Standard,,0.9998,8,1.0031,-1,0.9992,TUSD,TUSD,STANDARD,1e-08,0.01,1.0003,USDⓈ,USDⓈ,1.0003,,TUSD,TrueUSD,,TRADING,PAXTUSD,0.0001,1404121.992697,1403963.6600,0,0.99980000,1333.87000000,1.00040000,11397.28000000,2019-07-01T03:31:45.853045
True,0.0,1403867.88,PAX,Paxos Standard,,1.0004,8,1.0031,-1,0.9992,TUSD,TUSD,STANDARD,1e-08,0.01,1.0003,USDⓈ,USDⓈ,1.0003,,TUSD,TrueUSD,,TRADING,PAXTUSD,0.0001,1404026.275989,1403867.8800,0,0.99980000,1333.87000000,1.00040000,10516.70000000,2019-07-01T03:37:09.420003
True,0.0,1398832.71,PAX,Paxos Standard,,1.0004,8,1.0031,-1,0.9992,TUSD,TUSD,STANDARD,1e-08,0.01,1.0003,USDⓈ,USDⓈ,1.0003,,TUSD,TrueUSD,,TRADING,PAXTUSD,0.0001,1398989.598955,1398832.7100,0,0.99980000,1333.87000000,1.00040000,10481.53000000,2019-07-01T03:42:34.912820
True,0.0,1405137.94,PAX,Paxos Standard,,1.0004,8,1.0031,-1,0.9992,TUSD,TUSD,STANDARD,1e-08,0.01,1.0003,USDⓈ,USDⓈ,1.0003,,TUSD,TrueUSD,,TRADING,PAXTUSD,0.0001,1405297.689563,1405137.9400,0,0.99980000,1167.09000000,1.00040000,359.82000000,2019-07-01T03:47:59.837101
True,0.0,1406244.37,PAX,Paxos Standard,,1.0004,8,1.0031,-1,0.9992,TUSD,TUSD,STANDARD,1e-08,0.01,1.0003,USDⓈ,USDⓈ,1.0003,,TUSD,TrueUSD,,TRADING,PAXTUSD,0.0001,1406404.616097,1406244.3700,0,0.99980000,1167.09000000,1.00040000,11874.32000000,2019-07-01T03:53:23.687655
True,0.0,1403942.95,PAX,Paxos Standard,,1.0004,8,1.0031,-1,0.9992,TUSD,TUSD,STANDARD,1e-08,0.01,1.0003,USDⓈ,USDⓈ,1.0003,,TUSD,TrueUSD,,TRADING,PAXTUSD,0.0001,1404102.632035,1403942.9500,0,0.99980000,1167.09000000,1.00040000,10894.84000000,2019-07-01T03:58:48.626384
True,0.0,1403942.95,PAX,Paxos Standard,,1.0004,8,1.0031,-1,0.9992,TUSD,TUSD,STANDARD,1e-08,0.01,1.0003,USDⓈ,USDⓈ,1.0003,,TUSD,TrueUSD,,TRADING,PAXTUSD,0.0001,1404102.632035,1403942.9500,0,0.99980000,1167.09000000,1.00040000,10894.84000000,2019-07-01T04:04:13.119400
True,0.0,1404794.3,PAX,Paxos Standard,,1.0004,8,1.0031,-1,0.9992,TUSD,TUSD,STANDARD,1e-08,0.01,1.0003,USDⓈ,USDⓈ,1.0003,,TUSD,TrueUSD,,TRADING,PAXTUSD,0.0001,1404954.267813,1404794.3000,0,0.99990000,33.10000000,1.00040000,4124.71000000,2019-07-01T04:09:38.967925
True,0.0,1412714.63,PAX,Paxos Standard,,1.0004,8,1.0031,-1,0.9992,TUSD,TUSD,STANDARD,1e-08,0.01,0.9999,USDⓈ,USDⓈ,0.9999,,TUSD,TrueUSD,,TRADING,PAXTUSD,0.0001,1412877.990987,1412714.6300,0,0.99980000,3.15000000,1.00040000,776.39000000,2019-07-01T04:15:02.241015
True,0.0,1412265.29,PAX,Paxos Standard,,1.0004,8,1.0031,-1,0.9992,TUSD,TUSD,STANDARD,1e-08,0.01,0.9999,USDⓈ,USDⓈ,0.9999,,TUSD,TrueUSD,,TRADING,PAXTUSD,0.0001,1412428.792938,1412265.2900,0,0.99980000,3.15000000,1.00040000,44459.01000000,2019-07-01T04:20:25.700467
