active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,28849653.31,PERL,Perlin,,0.0841,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0946,USDⓈ,USDⓈ,0.0946,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2694885.19413,28849653.3100,0,0.08380000,14310.00000000,0.08410000,5019.32000000,2019-09-06T04:46:58.837146
True,0.0,28808139.68,PERL,Perlin,,0.0837,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0946,USDⓈ,USDⓈ,0.0946,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2690064.333806,28808139.6800,0,0.08370000,41301.01000000,0.08410000,244.91000000,2019-09-06T04:52:20.564248
True,0.0,28794768.73,PERL,Perlin,,0.0842,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0944,USDⓈ,USDⓈ,0.0944,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2688675.19546,28794768.7300,0,0.08380000,21717.20000000,0.08440000,183.68000000,2019-09-06T04:57:42.818653
True,0.0,28798616.19,PERL,Perlin,,0.0846,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0941,USDⓈ,USDⓈ,0.0941,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2688850.583455,28798616.1900,0,0.08450000,0.30000000,0.08480000,11681.68000000,2019-09-06T05:03:03.119896
True,0.0,28721584.37,PERL,Perlin,,0.0848,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0940,USDⓈ,USDⓈ,0.094,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2681112.398965,28721584.3700,0,0.08430000,2025.58000000,0.08480000,6379.57000000,2019-09-06T05:08:23.879909
True,0.0,28673164.57,PERL,Perlin,,0.0848,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0941,USDⓈ,USDⓈ,0.0941,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2676472.481488,28673164.5700,0,0.08430000,12511.28000000,0.08480000,5385.00000000,2019-09-06T05:13:44.134079
True,0.0,28692737.99,PERL,Perlin,,0.0849,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0942,USDⓈ,USDⓈ,0.0942,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2678079.119271,28692737.9900,0,0.08460000,3604.09000000,0.08490000,5655.11000000,2019-09-06T05:19:04.411549
True,0.0,28863599.63,PERL,Perlin,,0.0862,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0940,USDⓈ,USDⓈ,0.094,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2692578.728123,28863599.6300,0,0.08600000,429.11000000,0.08620000,3877.13000000,2019-09-06T05:24:24.639724
True,0.0,28894612.69,PERL,Perlin,,0.0855,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0940,USDⓈ,USDⓈ,0.094,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2695032.800154,28894612.6900,0,0.08530000,6276.70000000,0.08550000,1736.25000000,2019-09-06T05:29:44.430120
True,0.0,28917101.18,PERL,Perlin,,0.0856,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0943,USDⓈ,USDⓈ,0.0943,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2696819.830579,28917101.1800,0,0.08530000,9615.00000000,0.08560000,4309.41000000,2019-09-06T05:35:04.069464
True,0.0,28911540.46,PERL,Perlin,,0.0855,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0940,USDⓈ,USDⓈ,0.094,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2696186.267776,28911540.4600,0,0.08550000,22741.92000000,0.08600000,322.05000000,2019-09-06T05:40:24.109112
True,0.0,28865448.54,PERL,Perlin,,0.0859,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0940,USDⓈ,USDⓈ,0.094,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2691796.26428,28865448.5400,0,0.08550000,6912.00000000,0.08590000,4816.00000000,2019-09-06T05:45:44.095561
True,0.0,28881102.83,PERL,Perlin,,0.0854,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0940,USDⓈ,USDⓈ,0.094,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2693102.988531,28881102.8300,0,0.08510000,5350.00000000,0.08540000,5457.00000000,2019-09-06T05:51:03.857724
True,0.0,28871579.16,PERL,Perlin,,0.0855,8,0.1028,-1,0.0831,USDT,USDT,STANDARD,1e-08,0.01,0.0938,USDⓈ,USDⓈ,0.0938,,USDT,TetherUS,,TRADING,PERLUSDT,0.0001,2692181.587207,28871579.1600,0,0.08550000,4447.96000000,0.08590000,5796.34000000,2019-09-06T05:56:24.102487
