active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,27859910.0,POE,Po.et,,0.00001892,8,0.00002046,-1,0.00001669,ETH,ETH,STANDARD,1e-08,1.0,0.00001696,ALTS,ALTS,1.696e-05,,ETH,Ethereum,Ξ,TRADING,POEETH,0.00000001,519.1862793,27859910.00000000,0,0.00001914,173850.00000000,0.00001926,23119.00000000,2019-07-01T03:31:45.853045
True,0.0,28134393.0,POE,Po.et,,0.00001929,8,0.00002046,-1,0.00001669,ETH,ETH,STANDARD,1e-08,1.0,0.00001696,ALTS,ALTS,1.696e-05,,ETH,Ethereum,Ξ,TRADING,POEETH,0.00000001,524.43705291,28134393.00000000,0,0.00001914,13600.00000000,0.00001928,6811.00000000,2019-07-01T03:37:09.420003
True,0.0,28134393.0,POE,Po.et,,0.00001929,8,0.00002046,-1,0.00001669,ETH,ETH,STANDARD,1e-08,1.0,0.00001696,ALTS,ALTS,1.696e-05,,ETH,Ethereum,Ξ,TRADING,POEETH,0.00000001,524.43705291,28134393.00000000,0,0.00001914,13600.00000000,0.00001927,15606.00000000,2019-07-01T03:42:34.912820
True,0.0,28333232.0,POE,Po.et,,0.00001914,8,0.00002046,-1,0.00001669,ETH,ETH,STANDARD,1e-08,1.0,0.00001696,ALTS,ALTS,1.696e-05,,ETH,Ethereum,Ξ,TRADING,POEETH,0.00000001,528.21093228,28333232.00000000,0,0.00001896,13720.00000000,0.00001913,2572.00000000,2019-07-01T03:47:59.837101
True,0.0,28442106.0,POE,Po.et,,0.00001914,8,0.00002046,-1,0.00001669,ETH,ETH,STANDARD,1e-08,1.0,0.00001684,ALTS,ALTS,1.684e-05,,ETH,Ethereum,Ξ,TRADING,POEETH,0.00000001,530.2900066,28442106.00000000,0,0.00001907,629.00000000,0.00001914,90000.00000000,2019-07-01T03:53:23.687655
True,0.0,28448358.0,POE,Po.et,,0.00001914,8,0.00002046,-1,0.00001669,ETH,ETH,STANDARD,1e-08,1.0,0.00001684,ALTS,ALTS,1.684e-05,,ETH,Ethereum,Ξ,TRADING,POEETH,0.00000001,530.41145698,28448358.00000000,0,0.00001897,16254.00000000,0.00001914,7725.00000000,2019-07-01T03:58:48.626384
True,0.0,28448358.0,POE,Po.et,,0.00001914,8,0.00002046,-1,0.00001669,ETH,ETH,STANDARD,1e-08,1.0,0.00001684,ALTS,ALTS,1.684e-05,,ETH,Ethereum,Ξ,TRADING,POEETH,0.00000001,530.41145698,28448358.00000000,0,0.00001897,6919.00000000,0.00001914,9825.00000000,2019-07-01T04:04:13.119400
True,0.0,28421624.0,POE,Po.et,,0.00001897,8,0.00002046,-1,0.00001669,ETH,ETH,STANDARD,1e-08,1.0,0.00001684,ALTS,ALTS,1.684e-05,,ETH,Ethereum,Ξ,TRADING,POEETH,0.00000001,529.97258163,28421624.00000000,0,0.00001896,13904.00000000,0.00001914,7417.00000000,2019-07-01T04:09:38.967925
True,0.0,28421624.0,POE,Po.et,,0.00001897,8,0.00002046,-1,0.00001669,ETH,ETH,STANDARD,1e-08,1.0,0.00001684,ALTS,ALTS,1.684e-05,,ETH,Ethereum,Ξ,TRADING,POEETH,0.00000001,529.97258163,28421624.00000000,0,0.00001896,13919.00000000,0.00001914,2100.00000000,2019-07-01T04:15:02.241015
True,0.0,28328650.0,POE,Po.et,,0.00001914,8,0.00002046,-1,0.00001669,ETH,ETH,STANDARD,1e-08,1.0,0.00001681,ALTS,ALTS,1.681e-05,,ETH,Ethereum,Ξ,TRADING,POEETH,0.00000001,528.42937534,28328650.00000000,0,0.00001899,4781.00000000,0.00001926,7725.00000000,2019-07-01T04:20:25.700467
