active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,5853935.0,POWR,PowerLedger,,0.00000978,8,0.00001039,-1,0.00000884,BTC,BTC,STANDARD,1e-08,1.0,0.00000885,BTC,BTC,8.85e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,55.49502548,5853935.00000000,0,0.00000976,38755.00000000,0.00000979,4876.00000000,2019-07-01T03:31:45.853045
True,0.0,5899752.0,POWR,PowerLedger,,0.00000978,8,0.00001039,-1,0.00000887,BTC,BTC,STANDARD,1e-08,1.0,0.00000887,BTC,BTC,8.87e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,55.94863867,5899752.00000000,0,0.00000975,4491.00000000,0.00000977,5570.00000000,2019-07-01T03:37:09.420003
True,0.0,5910376.0,POWR,PowerLedger,,0.00000976,8,0.00001039,-1,0.00000888,BTC,BTC,STANDARD,1e-08,1.0,0.00000888,BTC,BTC,8.88e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,56.05323628,5910376.00000000,0,0.00000975,14430.00000000,0.00000976,2927.00000000,2019-07-01T03:42:34.912820
True,0.0,5916199.0,POWR,PowerLedger,,0.00000975,8,0.00001039,-1,0.00000888,BTC,BTC,STANDARD,1e-08,1.0,0.00000888,BTC,BTC,8.88e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,56.10998522,5916199.00000000,0,0.00000974,5211.00000000,0.00000975,13874.00000000,2019-07-01T03:47:59.837101
True,0.0,5915291.0,POWR,PowerLedger,,0.00000975,8,0.00001039,-1,0.00000889,BTC,BTC,STANDARD,1e-08,1.0,0.00000889,BTC,BTC,8.89e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,56.15541343,5915291.00000000,0,0.00000975,598.00000000,0.00000976,144.00000000,2019-07-01T03:53:23.687655
True,0.0,5938377.0,POWR,PowerLedger,,0.00000971,8,0.00001039,-1,0.00000889,BTC,BTC,STANDARD,1e-08,1.0,0.00000891,BTC,BTC,8.91e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,56.38841049,5938377.00000000,0,0.00000971,598.00000000,0.00000975,1500.00000000,2019-07-01T03:58:48.626384
True,0.0,5981254.0,POWR,PowerLedger,,0.00000973,8,0.00001039,-1,0.00000889,BTC,BTC,STANDARD,1e-08,1.0,0.00000889,BTC,BTC,8.89e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,56.80651155,5981254.00000000,0,0.00000973,595.00000000,0.00000978,10633.00000000,2019-07-01T04:04:13.119400
True,0.0,5920865.0,POWR,PowerLedger,,0.00000978,8,0.00001039,-1,0.00000889,BTC,BTC,STANDARD,1e-08,1.0,0.00000892,BTC,BTC,8.92e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,56.27443257,5920865.00000000,0,0.00000973,594.00000000,0.00000979,16198.00000000,2019-07-01T04:09:38.967925
True,0.0,5951351.0,POWR,PowerLedger,,0.00000972,8,0.00001039,-1,0.00000889,BTC,BTC,STANDARD,1e-08,1.0,0.00000892,BTC,BTC,8.92e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,56.57402143,5951351.00000000,0,0.00000970,595.00000000,0.00000974,931.00000000,2019-07-01T04:15:02.241015
True,0.0,5943486.0,POWR,PowerLedger,,0.00000974,8,0.00001039,-1,0.00000889,BTC,BTC,STANDARD,1e-08,1.0,0.00000891,BTC,BTC,8.91e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,56.51910508,5943486.00000000,0,0.00000971,598.00000000,0.00000975,633.00000000,2019-07-01T04:20:25.700467
True,0.0,5968881.0,POWR,PowerLedger,,0.00000968,8,0.00001039,-1,0.00000890,BTC,BTC,STANDARD,1e-08,1.0,0.00000891,BTC,BTC,8.91e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,56.76693096,5968881.00000000,0,0.00000968,17.00000000,0.00000972,633.00000000,2019-07-01T04:25:49.281416
True,0.0,5975911.0,POWR,PowerLedger,,0.00000972,8,0.00001039,-1,0.00000891,BTC,BTC,STANDARD,1e-08,1.0,0.00000891,BTC,BTC,8.91e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,56.83768196,5975911.00000000,0,0.00000973,8790.00000000,0.00000976,596.00000000,2019-07-01T04:31:13.431888
True,0.0,6082430.0,POWR,PowerLedger,,0.00000959,8,0.00001039,-1,0.00000893,BTC,BTC,STANDARD,1e-08,1.0,0.00000894,BTC,BTC,8.94e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,57.86101058,6082430.00000000,0,0.00000959,3728.00000000,0.00000964,9186.00000000,2019-07-01T04:36:38.444339
True,0.0,6134065.0,POWR,PowerLedger,,0.00000963,8,0.00001039,-1,0.00000893,BTC,BTC,STANDARD,1e-08,1.0,0.00000895,BTC,BTC,8.95e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,58.35968211,6134065.00000000,0,0.00000963,599.00000000,0.00000966,376.00000000,2019-07-01T04:42:02.003745
True,0.0,6129751.0,POWR,PowerLedger,,0.00000968,8,0.00001039,-1,0.00000893,BTC,BTC,STANDARD,1e-08,1.0,0.00000895,BTC,BTC,8.95e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,58.32267446,6129751.00000000,0,0.00000963,597.00000000,0.00000967,7617.00000000,2019-07-01T04:47:26.497829
True,0.0,6032068.0,POWR,PowerLedger,,0.00000964,8,0.00001039,-1,0.00000898,BTC,BTC,STANDARD,1e-08,1.0,0.00000900,BTC,BTC,9e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,57.47645841,6032068.00000000,0,0.00000960,597.00000000,0.00000964,6221.00000000,2019-07-01T04:52:50.537708
True,0.0,6032068.0,POWR,PowerLedger,,0.00000964,8,0.00001039,-1,0.00000898,BTC,BTC,STANDARD,1e-08,1.0,0.00000900,BTC,BTC,9e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,57.47645841,6032068.00000000,0,0.00000960,598.00000000,0.00000963,2822.00000000,2019-07-01T04:58:15.990657
True,0.0,6031925.0,POWR,PowerLedger,,0.00000960,8,0.00001039,-1,0.00000898,BTC,BTC,STANDARD,1e-08,1.0,0.00000900,BTC,BTC,9e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,57.47722516,6031925.00000000,0,0.00000958,2257.00000000,0.00000962,596.00000000,2019-07-01T05:03:40.747780
True,0.0,6029788.0,POWR,PowerLedger,,0.00000959,8,0.00001039,-1,0.00000898,BTC,BTC,STANDARD,1e-08,1.0,0.00000901,BTC,BTC,9.01e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,57.46069148,6029788.00000000,0,0.00000958,2257.00000000,0.00000961,2000.00000000,2019-07-01T05:09:05.523550
True,0.0,6032069.0,POWR,PowerLedger,,0.00000964,8,0.00001039,-1,0.00000898,BTC,BTC,STANDARD,1e-08,1.0,0.00000902,BTC,BTC,9.02e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,57.48914939,6032069.00000000,0,0.00000962,1713.00000000,0.00000964,542.00000000,2019-07-01T05:14:29.634335
True,0.0,6034306.0,POWR,PowerLedger,,0.00000963,8,0.00001039,-1,0.00000898,BTC,BTC,STANDARD,1e-08,1.0,0.00000905,BTC,BTC,9.05e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,57.51366692,6034306.00000000,0,0.00000963,393.00000000,0.00000965,109.00000000,2019-07-01T05:19:53.868096
True,0.0,6017260.0,POWR,PowerLedger,,0.00000961,8,0.00001039,-1,0.00000898,BTC,BTC,STANDARD,1e-08,1.0,0.00000901,BTC,BTC,9.01e-06,,BTC,Bitcoin,฿,TRADING,POWRBTC,0.00000001,57.36345213,6017260.00000000,0,0.00000961,8666.00000000,0.00000965,5595.00000000,2019-07-01T05:25:20.751285
