active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,505.843,REP,Augur,,0.495,8,0.499,-1,0.475,BNB,BNB,STANDARD,1e-08,0.001,0.491,BNB,BNB,0.491,,BNB,Binance Coin,,TRADING,REPBNB,0.001,245.938821,505.843,0,0.49300000,4.78800000,0.49600000,1.15500000,2019-07-01T03:31:45.853045
True,0.0,505.843,REP,Augur,,0.495,8,0.499,-1,0.475,BNB,BNB,STANDARD,1e-08,0.001,0.491,BNB,BNB,0.491,,BNB,Binance Coin,,TRADING,REPBNB,0.001,245.938821,505.843,0,0.49300000,4.78800000,0.49400000,2.00000000,2019-07-01T03:37:09.420003
True,0.0,505.843,REP,Augur,,0.495,8,0.499,-1,0.475,BNB,BNB,STANDARD,1e-08,0.001,0.491,BNB,BNB,0.491,,BNB,Binance Coin,,TRADING,REPBNB,0.001,245.938821,505.843,0,0.49300000,4.78800000,0.49500000,9.88600000,2019-07-01T03:42:34.912820
True,0.0,505.843,REP,Augur,,0.495,8,0.499,-1,0.475,BNB,BNB,STANDARD,1e-08,0.001,0.491,BNB,BNB,0.491,,BNB,Binance Coin,,TRADING,REPBNB,0.001,245.938821,505.843,0,0.49300000,4.78800000,0.49500000,9.83600000,2019-07-01T03:47:59.837101
True,0.0,505.843,REP,Augur,,0.495,8,0.499,-1,0.475,BNB,BNB,STANDARD,1e-08,0.001,0.491,BNB,BNB,0.491,,BNB,Binance Coin,,TRADING,REPBNB,0.001,245.938821,505.843,0,0.49300000,4.78800000,0.49500000,0.50000000,2019-07-01T03:53:23.687655
True,0.0,505.843,REP,Augur,,0.495,8,0.499,-1,0.475,BNB,BNB,STANDARD,1e-08,0.001,0.491,BNB,BNB,0.491,,BNB,Binance Coin,,TRADING,REPBNB,0.001,245.938821,505.843,0,0.49300000,4.78800000,0.49400000,2.30700000,2019-07-01T03:58:48.626384
True,0.0,508.631,REP,Augur,,0.493,8,0.499,-1,0.475,BNB,BNB,STANDARD,1e-08,0.001,0.486,BNB,BNB,0.486,,BNB,Binance Coin,,TRADING,REPBNB,0.001,247.317305,508.631,0,0.49200000,0.34300000,0.49400000,27.62000000,2019-07-01T04:04:13.119400
True,0.0,508.631,REP,Augur,,0.493,8,0.499,-1,0.475,BNB,BNB,STANDARD,1e-08,0.001,0.486,BNB,BNB,0.486,,BNB,Binance Coin,,TRADING,REPBNB,0.001,247.317305,508.631,0,0.49200000,0.34300000,0.49400000,2.00000000,2019-07-01T04:09:38.967925
True,0.0,508.631,REP,Augur,,0.493,8,0.499,-1,0.475,BNB,BNB,STANDARD,1e-08,0.001,0.486,BNB,BNB,0.486,,BNB,Binance Coin,,TRADING,REPBNB,0.001,247.317305,508.631,0,0.49200000,33.39500000,0.49500000,25.80900000,2019-07-01T04:15:02.241015
True,0.0,508.631,REP,Augur,,0.493,8,0.499,-1,0.475,BNB,BNB,STANDARD,1e-08,0.001,0.486,BNB,BNB,0.486,,BNB,Binance Coin,,TRADING,REPBNB,0.001,247.317305,508.631,0,0.49200000,2.34300000,0.49400000,2.30700000,2019-07-01T04:20:25.700467
