active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,84342922.0,RVN,Ravencoin,,0.00000504,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000484,BTC,BTC,4.84e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,411.87576478,84342922.00000000,0,0.00000504,48633.00000000,0.00000506,15768.00000000,2019-07-01T03:31:45.853045
True,0.0,85200981.0,RVN,Ravencoin,,0.00000504,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000485,BTC,BTC,4.85e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,416.1950621,85200981.00000000,0,0.00000504,5953.00000000,0.00000505,17382.00000000,2019-07-01T03:37:09.420003
True,0.0,84780947.0,RVN,Ravencoin,,0.00000505,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000484,BTC,BTC,4.84e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,414.22768196,84780947.00000000,0,0.00000504,33303.00000000,0.00000505,65440.00000000,2019-07-01T03:42:34.912820
True,0.0,85858628.0,RVN,Ravencoin,,0.00000502,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000484,BTC,BTC,4.84e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,419.65637329,85858628.00000000,0,0.00000500,103916.00000000,0.00000502,167591.00000000,2019-07-01T03:47:59.837101
True,0.0,86083527.0,RVN,Ravencoin,,0.00000500,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000485,BTC,BTC,4.85e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,420.7837784,86083527.00000000,0,0.00000499,11196.00000000,0.00000500,94025.00000000,2019-07-01T03:53:23.687655
True,0.0,86268728.0,RVN,Ravencoin,,0.00000502,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000485,BTC,BTC,4.85e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,421.72815922,86268728.00000000,0,0.00000502,25257.00000000,0.00000503,36617.00000000,2019-07-01T03:58:48.626384
True,0.0,86251948.0,RVN,Ravencoin,,0.00000502,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000487,BTC,BTC,4.87e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,421.6492305,86251948.00000000,0,0.00000501,35196.00000000,0.00000503,209950.00000000,2019-07-01T04:04:13.119400
True,0.0,86716307.0,RVN,Ravencoin,,0.00000500,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000486,BTC,BTC,4.86e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,423.9917457,86716307.00000000,0,0.00000499,3141.00000000,0.00000500,229.00000000,2019-07-01T04:09:38.967925
True,0.0,86587950.0,RVN,Ravencoin,,0.00000499,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000486,BTC,BTC,4.86e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,423.36833466,86587950.00000000,0,0.00000499,75018.00000000,0.00000500,33692.00000000,2019-07-01T04:15:02.241015
True,0.0,86472789.0,RVN,Ravencoin,,0.00000499,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000485,BTC,BTC,4.85e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,422.83293651,86472789.00000000,0,0.00000497,59825.00000000,0.00000499,179806.00000000,2019-07-01T04:20:25.700467
True,0.0,87259581.0,RVN,Ravencoin,,0.00000499,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000484,BTC,BTC,4.84e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,426.74398196,87259581.00000000,0,0.00000497,45378.00000000,0.00000499,96072.00000000,2019-07-01T04:25:49.281416
True,0.0,87774575.0,RVN,Ravencoin,,0.00000497,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000485,BTC,BTC,4.85e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,429.30916432,87774575.00000000,0,0.00000496,28955.00000000,0.00000498,66105.00000000,2019-07-01T04:31:13.431888
True,0.0,87955998.0,RVN,Ravencoin,,0.00000498,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000486,BTC,BTC,4.86e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,430.22570262,87955998.00000000,0,0.00000496,35911.00000000,0.00000498,57958.00000000,2019-07-01T04:36:38.444339
True,0.0,88010148.0,RVN,Ravencoin,,0.00000497,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000486,BTC,BTC,4.86e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,430.49606273,88010148.00000000,0,0.00000496,51370.00000000,0.00000497,768.00000000,2019-07-01T04:42:02.003745
True,0.0,87976537.0,RVN,Ravencoin,,0.00000498,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000487,BTC,BTC,4.87e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,430.33646013,87976537.00000000,0,0.00000497,448.00000000,0.00000498,235173.00000000,2019-07-01T04:47:26.497829
True,0.0,88215730.0,RVN,Ravencoin,,0.00000497,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000487,BTC,BTC,4.87e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,431.54697558,88215730.00000000,0,0.00000497,93745.00000000,0.00000498,64872.00000000,2019-07-01T04:52:50.537708
True,0.0,88501223.0,RVN,Ravencoin,,0.00000496,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000488,BTC,BTC,4.88e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,432.96794183,88501223.00000000,0,0.00000495,7272.00000000,0.00000497,133540.00000000,2019-07-01T04:58:15.990657
True,0.0,91201968.0,RVN,Ravencoin,,0.00000493,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000486,BTC,BTC,4.86e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,446.22844916,91201968.00000000,0,0.00000491,110663.00000000,0.00000492,68000.00000000,2019-07-01T05:03:40.747780
True,0.0,92610525.0,RVN,Ravencoin,,0.00000496,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000484,BTC,BTC,4.84e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,453.17053249,92610525.00000000,0,0.00000494,90380.00000000,0.00000495,107777.00000000,2019-07-01T05:09:05.523550
True,0.0,93237973.0,RVN,Ravencoin,,0.00000492,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000485,BTC,BTC,4.85e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,456.28463028,93237973.00000000,0,0.00000491,13308.00000000,0.00000492,100634.00000000,2019-07-01T05:14:29.634335
True,0.0,93290560.0,RVN,Ravencoin,,0.00000494,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000484,BTC,BTC,4.84e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,456.54782154,93290560.00000000,0,0.00000492,103708.00000000,0.00000494,161952.00000000,2019-07-01T05:19:53.868096
True,0.0,92958930.0,RVN,Ravencoin,,0.00000492,8,0.00000517,-1,0.00000473,BTC,BTC,STANDARD,1e-08,1.0,0.00000482,BTC,BTC,4.82e-06,,BTC,Bitcoin,฿,TRADING,RVNBTC,0.00000001,454.95224882,92958930.00000000,0,0.00000492,37162.00000000,0.00000493,490.00000000,2019-07-01T05:25:20.751285
