active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,468420921.0,STORM,Storm,,0.00000025,8,0.00000028,-1,0.00000023,BTC,BTC,STANDARD,1e-08,1.0,0.00000024,BTC,BTC,2.4e-07,,BTC,Bitcoin,฿,TRADING,STORMBTC,0.00000001,120.21332982,468420921.00000000,0,0.00000025,6539980.00000000,0.00000026,20503272.00000000,2019-07-01T03:31:45.853045
True,0.0,470967543.0,STORM,Storm,,0.00000026,8,0.00000028,-1,0.00000023,BTC,BTC,STANDARD,1e-08,1.0,0.00000024,BTC,BTC,2.4e-07,,BTC,Bitcoin,฿,TRADING,STORMBTC,0.00000001,120.8505177,470967543.00000000,0,0.00000025,5780436.00000000,0.00000026,20568338.00000000,2019-07-01T03:37:09.420003
True,0.0,471000189.0,STORM,Storm,,0.00000026,8,0.00000028,-1,0.00000023,BTC,BTC,STANDARD,1e-08,1.0,0.00000024,BTC,BTC,2.4e-07,,BTC,Bitcoin,฿,TRADING,STORMBTC,0.00000001,120.89231614,471000189.00000000,0,0.00000025,9922421.00000000,0.00000026,18233058.00000000,2019-07-01T03:42:34.912820
True,0.0,470766567.0,STORM,Storm,,0.00000026,8,0.00000028,-1,0.00000023,BTC,BTC,STANDARD,1e-08,1.0,0.00000025,BTC,BTC,2.5e-07,,BTC,Bitcoin,฿,TRADING,STORMBTC,0.00000001,120.83691926,470766567.00000000,0,0.00000025,10360730.00000000,0.00000026,19002262.00000000,2019-07-01T03:47:59.837101
True,0.0,470636953.0,STORM,Storm,,0.00000026,8,0.00000028,-1,0.00000023,BTC,BTC,STANDARD,1e-08,1.0,0.00000025,BTC,BTC,2.5e-07,,BTC,Bitcoin,฿,TRADING,STORMBTC,0.00000001,120.80455627,470636953.00000000,0,0.00000025,10265325.00000000,0.00000026,18014642.00000000,2019-07-01T03:53:23.687655
True,0.0,483358380.0,STORM,Storm,,0.00000025,8,0.00000028,-1,0.00000023,BTC,BTC,STANDARD,1e-08,1.0,0.00000025,BTC,BTC,2.5e-07,,BTC,Bitcoin,฿,TRADING,STORMBTC,0.00000001,124.11153526,483358380.00000000,0,0.00000025,21507965.00000000,0.00000026,1131925.00000000,2019-07-01T03:58:48.626384
True,0.0,484506919.0,STORM,Storm,,0.00000026,8,0.00000028,-1,0.00000023,BTC,BTC,STANDARD,1e-08,1.0,0.00000025,BTC,BTC,2.5e-07,,BTC,Bitcoin,฿,TRADING,STORMBTC,0.00000001,124.41020466,484506919.00000000,0,0.00000026,2123735.00000000,0.00000027,13440826.00000000,2019-07-01T04:04:13.119400
True,0.0,485091429.0,STORM,Storm,,0.00000026,8,0.00000028,-1,0.00000023,BTC,BTC,STANDARD,1e-08,1.0,0.00000025,BTC,BTC,2.5e-07,,BTC,Bitcoin,฿,TRADING,STORMBTC,0.00000001,124.56217726,485091429.00000000,0,0.00000026,2540175.00000000,0.00000027,12887597.00000000,2019-07-01T04:09:38.967925
True,0.0,488886690.0,STORM,Storm,,0.00000026,8,0.00000028,-1,0.00000023,BTC,BTC,STANDARD,1e-08,1.0,0.00000024,BTC,BTC,2.4e-07,,BTC,Bitcoin,฿,TRADING,STORMBTC,0.00000001,125.55525148,488886690.00000000,0,0.00000025,22934401.00000000,0.00000026,106529.00000000,2019-07-01T04:15:02.241015
True,0.0,489058185.0,STORM,Storm,,0.00000026,8,0.00000028,-1,0.00000023,BTC,BTC,STANDARD,1e-08,1.0,0.00000024,BTC,BTC,2.4e-07,,BTC,Bitcoin,฿,TRADING,STORMBTC,0.00000001,125.59984018,489058185.00000000,0,0.00000025,20878858.00000000,0.00000026,1195304.00000000,2019-07-01T04:20:25.700467
