active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,55188772.0,TFUEL,Theta Fuel,,0.000302,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000282,BNB,BNB,0.000282,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16334.528688,55188772.000000,0,0.00030100,68349.00000000,0.00030200,5983.00000000,2019-07-01T03:31:45.853045
True,0.0,55311077.0,TFUEL,Theta Fuel,,0.000297,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000283,BNB,BNB,0.000283,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16372.725806,55311077.000000,0,0.00029800,19812.00000000,0.00029900,6600.00000000,2019-07-01T03:37:09.420003
True,0.0,55372651.0,TFUEL,Theta Fuel,,0.000299,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000282,BNB,BNB,0.000282,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16391.136336,55372651.000000,0,0.00029800,30911.00000000,0.00029900,11743.00000000,2019-07-01T03:42:34.912820
True,0.0,55476027.0,TFUEL,Theta Fuel,,0.000299,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000282,BNB,BNB,0.000282,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16422.118248,55476027.000000,0,0.00029800,38952.00000000,0.00029900,12575.00000000,2019-07-01T03:47:59.837101
True,0.0,55521911.0,TFUEL,Theta Fuel,,0.000299,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000283,BNB,BNB,0.000283,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16436.038181,55521911.000000,0,0.00029800,41301.00000000,0.00030000,636295.00000000,2019-07-01T03:53:23.687655
True,0.0,55551212.0,TFUEL,Theta Fuel,,0.000299,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000285,BNB,BNB,0.000285,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16445.150568,55551212.000000,0,0.00029700,51545.00000000,0.00029800,13201.00000000,2019-07-01T03:58:48.626384
True,0.0,55519144.0,TFUEL,Theta Fuel,,0.000297,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000286,BNB,BNB,0.000286,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16436.281618,55519144.000000,0,0.00029700,8801.00000000,0.00029800,13201.00000000,2019-07-01T04:04:13.119400
True,0.0,55508729.0,TFUEL,Theta Fuel,,0.000297,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000284,BNB,BNB,0.000284,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16433.613968,55508729.000000,0,0.00029700,8801.00000000,0.00029800,13201.00000000,2019-07-01T04:09:38.967925
True,0.0,55551409.0,TFUEL,Theta Fuel,,0.000297,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000284,BNB,BNB,0.000284,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16446.384489,55551409.000000,0,0.00029700,45630.00000000,0.00029800,13201.00000000,2019-07-01T04:15:02.241015
True,0.0,55264578.0,TFUEL,Theta Fuel,,0.000298,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000283,BNB,BNB,0.000283,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16364.810255,55264578.000000,0,0.00029800,9629.00000000,0.00029900,67963.00000000,2019-07-01T04:20:25.700467
True,0.0,55257386.0,TFUEL,Theta Fuel,,0.000298,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000283,BNB,BNB,0.000283,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16362.812659,55257386.000000,0,0.00029700,60294.00000000,0.00029800,11001.00000000,2019-07-01T04:25:49.281416
True,0.0,55282492.0,TFUEL,Theta Fuel,,0.000297,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000283,BNB,BNB,0.000283,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16370.276254,55282492.000000,0,0.00029600,8800.00000000,0.00029700,4009.00000000,2019-07-01T04:31:13.431888
True,0.0,55300191.0,TFUEL,Theta Fuel,,0.000295,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000283,BNB,BNB,0.000283,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16375.506259,55300191.000000,0,0.00029400,9209.00000000,0.00029500,1177743.00000000,2019-07-01T04:36:38.444339
True,0.0,55305710.0,TFUEL,Theta Fuel,,0.000295,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000283,BNB,BNB,0.000283,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16377.220716,55305710.000000,0,0.00029500,8801.00000000,0.00029600,187651.00000000,2019-07-01T04:42:02.003745
True,0.0,55385794.0,TFUEL,Theta Fuel,,0.000293,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000283,BNB,BNB,0.000283,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16401.054626,55385794.000000,0,0.00029200,8800.00000000,0.00029300,13201.00000000,2019-07-01T04:47:26.497829
True,0.0,55840076.0,TFUEL,Theta Fuel,,0.000290,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000283,BNB,BNB,0.000283,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16533.255986,55840076.000000,0,0.00028900,8800.00000000,0.00029000,7934.00000000,2019-07-01T04:52:50.537708
True,0.0,55908649.0,TFUEL,Theta Fuel,,0.000288,8,0.000325,-1,0.000263,BNB,BNB,STANDARD,1e-08,1.0,0.000283,BNB,BNB,0.000283,,BNB,Binance Coin,,TRADING,TFUELBNB,0.000001,16553.029678,55908649.000000,0,0.00028700,9309.00000000,0.00028900,22679.00000000,2019-07-01T04:58:15.990657
