active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00914000,164451.10000000,0.00988000,107665.60000000,2019-07-01T03:31:45.853045
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00956000,25804.30000000,0.00984000,101626.00000000,2019-07-01T03:37:09.420003
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00953000,12772.00000000,0.00984000,101626.00000000,2019-07-01T03:42:34.912820
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00954000,8987.30000000,0.00984000,101626.00000000,2019-07-01T03:47:59.837101
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00930000,163416.10000000,0.00984000,101626.00000000,2019-07-01T03:53:23.687655
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00944000,105932.20000000,0.00984000,101626.00000000,2019-07-01T03:58:48.626384
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00958000,167323.50000000,0.00986000,105773.20000000,2019-07-01T04:04:13.119400
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00960000,170736.50000000,0.00986000,105773.20000000,2019-07-01T04:09:38.967925
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00963000,6577.30000000,0.00986000,101419.90000000,2019-07-01T04:15:02.241015
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00936000,171256.40000000,0.00974000,102669.40000000,2019-07-01T04:20:25.700467
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00934000,171623.10000000,0.00975000,8987.30000000,2019-07-01T04:25:49.281416
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00960000,9157.10000000,0.00971000,111973.90000000,2019-07-01T04:31:13.431888
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00944000,234322.20000000,0.00978000,102249.50000000,2019-07-01T04:36:38.444339
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00951000,232597.50000000,0.00976000,102459.00000000,2019-07-01T04:42:02.003745
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00964000,9157.10000000,0.00984000,101626.00000000,2019-07-01T04:47:26.497829
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00957000,171273.70000000,0.00984000,101626.00000000,2019-07-01T04:52:50.537708
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00944000,173724.80000000,0.00984000,101626.00000000,2019-07-01T04:58:15.990657
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00951000,168555.20000000,0.00984000,101626.00000000,2019-07-01T05:03:40.747780
True,0.0,1988564.6,TFUEL,Theta Fuel,,0.00986,8,0.01119,-1,0.00892,USDC,USDC,STANDARD,1e-08,0.1,0.00987,USDⓈ,USDⓈ,0.00987,,USDC,USD Coin,,TRADING,TFUELUSDC,0.00001,19126.461839,1988564.60000,0,0.00949000,168917.00000000,0.00984000,101626.00000000,2019-07-01T05:09:05.523550
