active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,4063361.1,THETA,Theta Token,,0.12077,8,0.12673,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.11950,USDⓈ,USDⓈ,0.1195,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,481961.595628,4063361.10000,0,0.12077000,350.40000000,0.12128000,1274.10000000,2019-07-01T03:31:45.853045
True,0.0,3578062.8,THETA,Theta Token,,0.12060,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12146,USDⓈ,USDⓈ,0.12146,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,423128.434001,3578062.80000,0,0.12032000,130.30000000,0.12119000,1277.50000000,2019-07-01T03:37:09.420003
True,0.0,3531813.5,THETA,Theta Token,,0.12080,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12166,USDⓈ,USDⓈ,0.12166,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,417515.90615,3531813.50000,0,0.12052000,3502.20000000,0.12118000,1279.70000000,2019-07-01T03:42:34.912820
True,0.0,3524599.2,THETA,Theta Token,,0.12113,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12181,USDⓈ,USDⓈ,0.12181,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,416639.778924,3524599.20000,0,0.12081000,1100.00000000,0.12120000,86.20000000,2019-07-01T03:47:59.837101
True,0.0,3517010.1,THETA,Theta Token,,0.11955,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12221,USDⓈ,USDⓈ,0.12221,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,415632.007182,3517010.10000,0,0.11970000,1798.00000000,0.12058000,40111.00000000,2019-07-01T03:53:23.687655
True,0.0,3542451.3,THETA,Theta Token,,0.12036,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12225,USDⓈ,USDⓈ,0.12225,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,418665.310938,3542451.30000,0,0.11996000,91.60000000,0.12036000,3441.20000000,2019-07-01T03:58:48.626384
True,0.0,3527242.6,THETA,Theta Token,,0.12059,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12140,USDⓈ,USDⓈ,0.1214,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,416800.001608,3527242.60000,0,0.12023000,445.00000000,0.12058000,107.40000000,2019-07-01T04:04:13.119400
True,0.0,3548504.8,THETA,Theta Token,,0.12102,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12242,USDⓈ,USDⓈ,0.12242,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,419363.836788,3548504.80000,0,0.12024000,1281.60000000,0.12089000,1283.00000000,2019-07-01T04:09:38.967925
True,0.0,3548555.4,THETA,Theta Token,,0.12096,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12242,USDⓈ,USDⓈ,0.12242,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,419369.954704,3548555.40000,0,0.12030000,1283.70000000,0.12078000,1283.70000000,2019-07-01T04:15:02.241015
True,0.0,3548555.4,THETA,Theta Token,,0.12096,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12242,USDⓈ,USDⓈ,0.12242,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,419369.954704,3548555.40000,0,0.12005000,1283.60000000,0.12056000,24346.30000000,2019-07-01T04:20:25.700467
True,0.0,3530506.0,THETA,Theta Token,,0.12026,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12194,USDⓈ,USDⓈ,0.12194,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,417157.100485,3530506.00000,0,0.11948000,615.00000000,0.12008000,15515.00000000,2019-07-01T04:25:49.281416
True,0.0,3540371.2,THETA,Theta Token,,0.11944,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12190,USDⓈ,USDⓈ,0.1219,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,418322.699177,3540371.20000,0,0.11981000,5931.00000000,0.12030000,7604.80000000,2019-07-01T04:31:13.431888
True,0.0,3559655.6,THETA,Theta Token,,0.12120,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12283,USDⓈ,USDⓈ,0.12283,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,420643.434302,3559655.60000,0,0.12060000,1100.00000000,0.12153000,16478.00000000,2019-07-01T04:36:38.444339
True,0.0,3557310.2,THETA,Theta Token,,0.12087,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12284,USDⓈ,USDⓈ,0.12284,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,420348.576001,3557310.20000,0,0.12031000,3324.70000000,0.12083000,1285.70000000,2019-07-01T04:42:02.003745
True,0.0,3585565.1,THETA,Theta Token,,0.12030,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12286,USDⓈ,USDⓈ,0.12286,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,423754.568585,3585565.10000,0,0.12045000,20110.90000000,0.12090000,531.90000000,2019-07-01T04:47:26.497829
True,0.0,3594214.0,THETA,Theta Token,,0.12110,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12242,USDⓈ,USDⓈ,0.12242,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,424782.171068,3594214.00000,0,0.12095000,1287.00000000,0.12159000,166.10000000,2019-07-01T04:52:50.537708
True,0.0,3597878.7,THETA,Theta Token,,0.12109,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12242,USDⓈ,USDⓈ,0.12242,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,425226.547498,3597878.70000,0,0.12115000,1694.00000000,0.12184000,3989.40000000,2019-07-01T04:58:15.990657
True,0.0,3597799.3,THETA,Theta Token,,0.12096,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12207,USDⓈ,USDⓈ,0.12207,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,425215.238361,3597799.30000,0,0.12096000,718.90000000,0.12207000,1753.60000000,2019-07-01T05:03:40.747780
True,0.0,3638384.4,THETA,Theta Token,,0.12042,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12189,USDⓈ,USDⓈ,0.12189,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,430117.881579,3638384.40000,0,0.12098000,1288.30000000,0.12165000,1288.20000000,2019-07-01T05:09:05.523550
True,0.0,3627981.9,THETA,Theta Token,,0.12115,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12156,USDⓈ,USDⓈ,0.12156,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,428843.889598,3627981.90000,0,0.12063000,2813.00000000,0.12114000,1291.20000000,2019-07-01T05:14:29.634335
True,0.0,3597517.8,THETA,Theta Token,,0.12113,8,0.12398,-1,0.11294,USDT,USDT,STANDARD,1e-08,0.1,0.12137,USDⓈ,USDⓈ,0.12137,,USDT,TetherUS,,TRADING,THETAUSDT,0.00001,425148.865564,3597517.80000,0,0.12124000,16765.70000000,0.12181000,86.20000000,2019-07-01T05:19:53.868096
