active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,1945479.0,TNT,Tierion,,0.00020357,8,0.00021199,-1,0.00019430,ETH,ETH,STANDARD,1e-08,1.0,0.00020188,ALTS,ALTS,0.00020188,,ETH,Ethereum,Ξ,TRADING,TNTETH,0.00000001,394.75505539,1945479.00000000,0,0.00020160,4933.00000000,0.00020326,365.00000000,2019-07-01T03:31:45.853045
True,0.0,1945479.0,TNT,Tierion,,0.00020357,8,0.00021199,-1,0.00019430,ETH,ETH,STANDARD,1e-08,1.0,0.00020188,ALTS,ALTS,0.00020188,,ETH,Ethereum,Ξ,TRADING,TNTETH,0.00000001,394.75505539,1945479.00000000,0,0.00020162,1189.00000000,0.00020318,12898.00000000,2019-07-01T03:37:09.420003
True,0.0,1939739.0,TNT,Tierion,,0.00020272,8,0.00021199,-1,0.00019430,ETH,ETH,STANDARD,1e-08,1.0,0.00020199,ALTS,ALTS,0.00020199,,ETH,Ethereum,Ξ,TRADING,TNTETH,0.00000001,393.59771011,1939739.00000000,0,0.00020107,11983.00000000,0.00020266,5488.00000000,2019-07-01T03:42:34.912820
True,0.0,1940298.0,TNT,Tierion,,0.00020182,8,0.00021199,-1,0.00019430,ETH,ETH,STANDARD,1e-08,1.0,0.00020199,ALTS,ALTS,0.00020199,,ETH,Ethereum,Ξ,TRADING,TNTETH,0.00000001,393.71057887,1940298.00000000,0,0.00020194,24008.00000000,0.00020329,5843.00000000,2019-07-01T03:47:59.837101
True,0.0,1947121.0,TNT,Tierion,,0.00020400,8,0.00021199,-1,0.00019430,ETH,ETH,STANDARD,1e-08,1.0,0.00020199,ALTS,ALTS,0.00020199,,ETH,Ethereum,Ξ,TRADING,TNTETH,0.00000001,395.10741699,1947121.00000000,0,0.00020262,639.00000000,0.00020394,10901.00000000,2019-07-01T03:53:23.687655
True,0.0,1947562.0,TNT,Tierion,,0.00020262,8,0.00021199,-1,0.00019430,ETH,ETH,STANDARD,1e-08,1.0,0.00020193,ALTS,ALTS,0.00020193,,ETH,Ethereum,Ξ,TRADING,TNTETH,0.00000001,395.19680958,1947562.00000000,0,0.00020313,24816.00000000,0.00020401,460.00000000,2019-07-01T03:58:48.626384
True,0.0,1947562.0,TNT,Tierion,,0.00020262,8,0.00021199,-1,0.00019430,ETH,ETH,STANDARD,1e-08,1.0,0.00020193,ALTS,ALTS,0.00020193,,ETH,Ethereum,Ξ,TRADING,TNTETH,0.00000001,395.19680958,1947562.00000000,0,0.00020368,27391.00000000,0.00020401,460.00000000,2019-07-01T04:04:13.119400
True,0.0,1937374.0,TNT,Tierion,,0.00020509,8,0.00021199,-1,0.00019430,ETH,ETH,STANDARD,1e-08,1.0,0.00019936,ALTS,ALTS,0.00019936,,ETH,Ethereum,Ξ,TRADING,TNTETH,0.00000001,393.15894572,1937374.00000000,0,0.00020372,1356.00000000,0.00020506,223.00000000,2019-07-01T04:09:38.967925
True,0.0,1935688.0,TNT,Tierion,,0.00020554,8,0.00021199,-1,0.00019430,ETH,ETH,STANDARD,1e-08,1.0,0.00020197,ALTS,ALTS,0.00020197,,ETH,Ethereum,Ξ,TRADING,TNTETH,0.00000001,392.82206077,1935688.00000000,0,0.00020466,54.00000000,0.00020528,2528.00000000,2019-07-01T04:15:02.241015
True,0.0,1936187.0,TNT,Tierion,,0.00020492,8,0.00021199,-1,0.00019430,ETH,ETH,STANDARD,1e-08,1.0,0.00020197,ALTS,ALTS,0.00020197,,ETH,Ethereum,Ξ,TRADING,TNTETH,0.00000001,392.92470406,1936187.00000000,0,0.00020361,14217.00000000,0.00020487,1189.00000000,2019-07-01T04:20:25.700467
