active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,43776537.0,TRX,TRON,,0.00011014,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00010964,ALTS,ALTS,0.00010964,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4879.90349079,43776537.00000000,0,0.00011009,58285.00000000,0.00011021,223.00000000,2019-07-01T03:31:45.853045
True,0.0,43783355.0,TRX,TRON,,0.00011008,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00010988,ALTS,ALTS,0.00010988,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4880.66636493,43783355.00000000,0,0.00011000,406.00000000,0.00011008,1963.00000000,2019-07-01T03:37:09.420003
True,0.0,43752421.0,TRX,TRON,,0.00011000,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00010981,ALTS,ALTS,0.00010981,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4877.27559807,43752421.00000000,0,0.00010992,177.00000000,0.00011000,3418.00000000,2019-07-01T03:42:34.912820
True,0.0,43702286.0,TRX,TRON,,0.00011028,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00010965,ALTS,ALTS,0.00010965,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4871.80440723,43702286.00000000,0,0.00011030,2413.00000000,0.00011040,361.00000000,2019-07-01T03:47:59.837101
True,0.0,43785318.0,TRX,TRON,,0.00011029,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00010980,ALTS,ALTS,0.0001098,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4881.00707522,43785318.00000000,0,0.00011038,21491.00000000,0.00011054,1957.00000000,2019-07-01T03:53:23.687655
True,0.0,43775559.0,TRX,TRON,,0.00011066,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011020,ALTS,ALTS,0.0001102,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4880.03134447,43775559.00000000,0,0.00011047,5683.00000000,0.00011058,2000.00000000,2019-07-01T03:58:48.626384
True,0.0,43860002.0,TRX,TRON,,0.00011058,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011013,ALTS,ALTS,0.00011013,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4889.38005525,43860002.00000000,0,0.00011037,15853.00000000,0.00011061,910.00000000,2019-07-01T04:04:13.119400
True,0.0,43913912.0,TRX,TRON,,0.00011033,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011031,ALTS,ALTS,0.00011031,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4895.36645707,43913912.00000000,0,0.00011038,1686.00000000,0.00011050,5917.00000000,2019-07-01T04:09:38.967925
True,0.0,43919882.0,TRX,TRON,,0.00011052,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011061,ALTS,ALTS,0.00011061,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4896.02494059,43919882.00000000,0,0.00011030,35296.00000000,0.00011046,1951.00000000,2019-07-01T04:15:02.241015
True,0.0,43858015.0,TRX,TRON,,0.00011014,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011053,ALTS,ALTS,0.00011053,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4889.1592911,43858015.00000000,0,0.00011009,23386.00000000,0.00011033,717.00000000,2019-07-01T04:20:25.700467
True,0.0,43781319.0,TRX,TRON,,0.00011039,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011067,ALTS,ALTS,0.00011067,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4880.65930428,43781319.00000000,0,0.00011015,2233.00000000,0.00011038,5403.00000000,2019-07-01T04:25:49.281416
True,0.0,43799680.0,TRX,TRON,,0.00011029,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011054,ALTS,ALTS,0.00011054,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4882.65150917,43799680.00000000,0,0.00011022,1693.00000000,0.00011040,1958.00000000,2019-07-01T04:31:13.431888
True,0.0,43857436.0,TRX,TRON,,0.00011032,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011061,ALTS,ALTS,0.00011061,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4889.00140347,43857436.00000000,0,0.00011024,21257.00000000,0.00011046,5677.00000000,2019-07-01T04:36:38.444339
True,0.0,43887533.0,TRX,TRON,,0.00011028,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011079,ALTS,ALTS,0.00011079,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4892.30840067,43887533.00000000,0,0.00011023,30665.00000000,0.00011036,7622.00000000,2019-07-01T04:42:02.003745
True,0.0,43950494.0,TRX,TRON,,0.00011021,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011054,ALTS,ALTS,0.00011054,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4899.20151124,43950494.00000000,0,0.00011000,204.00000000,0.00011028,5152.00000000,2019-07-01T04:47:26.497829
True,0.0,44408843.0,TRX,TRON,,0.00011036,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011052,ALTS,ALTS,0.00011052,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4949.66599977,44408843.00000000,0,0.00011017,1938.00000000,0.00011032,14262.00000000,2019-07-01T04:52:50.537708
True,0.0,44539773.0,TRX,TRON,,0.00010998,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011073,ALTS,ALTS,0.00011073,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4964.05653885,44539773.00000000,0,0.00010973,168.00000000,0.00010986,39590.00000000,2019-07-01T04:58:15.990657
True,0.0,44978176.0,TRX,TRON,,0.00010977,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011086,ALTS,ALTS,0.00011086,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,5011.98422895,44978176.00000000,0,0.00010969,1945.00000000,0.00010984,4850.00000000,2019-07-01T05:03:40.747780
True,0.0,44969696.0,TRX,TRON,,0.00010967,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011109,ALTS,ALTS,0.00011109,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,5010.94739119,44969696.00000000,0,0.00010965,1946.00000000,0.00010985,5000.00000000,2019-07-01T05:09:05.523550
True,0.0,44936672.0,TRX,TRON,,0.00010987,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011151,ALTS,ALTS,0.00011151,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,5007.15509451,44936672.00000000,0,0.00010978,7580.00000000,0.00010994,3428.00000000,2019-07-01T05:14:29.634335
True,0.0,44913276.0,TRX,TRON,,0.00011012,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011133,ALTS,ALTS,0.00011133,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,5004.42620768,44913276.00000000,0,0.00011012,1.00000000,0.00011016,4017.00000000,2019-07-01T05:19:53.868096
True,0.0,44811570.0,TRX,TRON,,0.00011017,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011138,ALTS,ALTS,0.00011138,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4992.99180571,44811570.00000000,0,0.00011001,18180.00000000,0.00011015,11003.00000000,2019-07-01T05:25:20.751285
True,0.0,44680548.0,TRX,TRON,,0.00010984,8,0.00011632,-1,0.00010913,ETH,ETH,STANDARD,1e-08,1.0,0.00011138,ALTS,ALTS,0.00011138,,ETH,Ethereum,Ξ,TRADING,TRXETH,0.00000001,4978.2815802,44680548.00000000,0,0.00010976,5372.00000000,0.00010994,1946.00000000,2019-07-01T05:30:44.842063
