active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,1204400864.0,VET,VeChain,,0.00000076,8,0.00000082,-1,0.00000072,BTC,BTC,STANDARD,1e-08,1.0,0.00000073,BTC,BTC,7.3e-07,,BTC,Bitcoin,฿,TRADING,VETBTC,0.00000001,923.31087097,1204400864.00000000,0,0.00000076,6350840.00000000,0.00000077,13729343.00000000,2019-07-01T03:31:45.853045
True,0.0,1198091747.0,VET,VeChain,,0.00000076,8,0.00000082,-1,0.00000072,BTC,BTC,STANDARD,1e-08,1.0,0.00000073,BTC,BTC,7.3e-07,,BTC,Bitcoin,฿,TRADING,VETBTC,0.00000001,918.71901348,1198091747.00000000,0,0.00000076,6731530.00000000,0.00000077,13536544.00000000,2019-07-01T03:37:09.420003
True,0.0,1191823368.0,VET,VeChain,,0.00000077,8,0.00000082,-1,0.00000072,BTC,BTC,STANDARD,1e-08,1.0,0.00000073,BTC,BTC,7.3e-07,,BTC,Bitcoin,฿,TRADING,VETBTC,0.00000001,914.15315466,1191823368.00000000,0,0.00000076,6030449.00000000,0.00000077,14717909.00000000,2019-07-01T03:42:34.912820
True,0.0,1187777375.0,VET,VeChain,,0.00000076,8,0.00000082,-1,0.00000072,BTC,BTC,STANDARD,1e-08,1.0,0.00000072,BTC,BTC,7.2e-07,,BTC,Bitcoin,฿,TRADING,VETBTC,0.00000001,911.20724982,1187777375.00000000,0,0.00000076,6532576.00000000,0.00000077,14933784.00000000,2019-07-01T03:47:59.837101
True,0.0,1190391458.0,VET,VeChain,,0.00000076,8,0.00000082,-1,0.00000072,BTC,BTC,STANDARD,1e-08,1.0,0.00000073,BTC,BTC,7.3e-07,,BTC,Bitcoin,฿,TRADING,VETBTC,0.00000001,913.27972013,1190391458.00000000,0,0.00000076,1794340.00000000,0.00000077,16451645.00000000,2019-07-01T03:53:23.687655
True,0.0,1185785576.0,VET,VeChain,,0.00000076,8,0.00000082,-1,0.00000072,BTC,BTC,STANDARD,1e-08,1.0,0.00000073,BTC,BTC,7.3e-07,,BTC,Bitcoin,฿,TRADING,VETBTC,0.00000001,909.93014651,1185785576.00000000,0,0.00000076,1637916.00000000,0.00000077,17546917.00000000,2019-07-01T03:58:48.626384
True,0.0,1171568997.0,VET,VeChain,,0.00000077,8,0.00000082,-1,0.00000072,BTC,BTC,STANDARD,1e-08,1.0,0.00000072,BTC,BTC,7.2e-07,,BTC,Bitcoin,฿,TRADING,VETBTC,0.00000001,899.58062569,1171568997.00000000,0,0.00000076,1472988.00000000,0.00000077,16959709.00000000,2019-07-01T04:04:13.119400
True,0.0,1173041515.0,VET,VeChain,,0.00000076,8,0.00000082,-1,0.00000072,BTC,BTC,STANDARD,1e-08,1.0,0.00000073,BTC,BTC,7.3e-07,,BTC,Bitcoin,฿,TRADING,VETBTC,0.00000001,900.7242446,1173041515.00000000,0,0.00000076,2270623.00000000,0.00000077,15703202.00000000,2019-07-01T04:09:38.967925
True,0.0,1171874701.0,VET,VeChain,,0.00000077,8,0.00000082,-1,0.00000072,BTC,BTC,STANDARD,1e-08,1.0,0.00000072,BTC,BTC,7.2e-07,,BTC,Bitcoin,฿,TRADING,VETBTC,0.00000001,899.93668681,1171874701.00000000,0,0.00000076,1054094.00000000,0.00000077,15827237.00000000,2019-07-01T04:15:02.241015
True,0.0,1166015337.0,VET,VeChain,,0.00000077,8,0.00000082,-1,0.00000072,BTC,BTC,STANDARD,1e-08,1.0,0.00000073,BTC,BTC,7.3e-07,,BTC,Bitcoin,฿,TRADING,VETBTC,0.00000001,895.69305242,1166015337.00000000,0,0.00000076,3063253.00000000,0.00000077,15966783.00000000,2019-07-01T04:20:25.700467
