active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,96733.31,WAVES,Waves,,0.0586,8,0.0600,-1,0.0555,BNB,BNB,STANDARD,1e-08,0.01,0.0558,BNB,BNB,0.0558,,BNB,Binance Coin,,TRADING,WAVESBNB,0.0001,5539.593622,96733.3100,0,0.05830000,2.00000000,0.05850000,386.95000000,2019-07-01T03:31:45.853045
True,0.0,96733.31,WAVES,Waves,,0.0586,8,0.0600,-1,0.0555,BNB,BNB,STANDARD,1e-08,0.01,0.0558,BNB,BNB,0.0558,,BNB,Binance Coin,,TRADING,WAVESBNB,0.0001,5539.593622,96733.3100,0,0.05830000,2.00000000,0.05850000,219.33000000,2019-07-01T03:37:09.420003
True,0.0,96733.31,WAVES,Waves,,0.0586,8,0.0600,-1,0.0555,BNB,BNB,STANDARD,1e-08,0.01,0.0558,BNB,BNB,0.0558,,BNB,Binance Coin,,TRADING,WAVESBNB,0.0001,5539.593622,96733.3100,0,0.05830000,2.00000000,0.05850000,139.00000000,2019-07-01T03:42:34.912820
True,0.0,96733.31,WAVES,Waves,,0.0586,8,0.0600,-1,0.0555,BNB,BNB,STANDARD,1e-08,0.01,0.0558,BNB,BNB,0.0558,,BNB,Binance Coin,,TRADING,WAVESBNB,0.0001,5539.593622,96733.3100,0,0.05830000,153.41000000,0.05860000,266.22000000,2019-07-01T03:47:59.837101
True,0.0,97162.56,WAVES,Waves,,0.0582,8,0.0600,-1,0.0555,BNB,BNB,STANDARD,1e-08,0.01,0.0558,BNB,BNB,0.0558,,BNB,Binance Coin,,TRADING,WAVESBNB,0.0001,5565.920891,97162.5600,0,0.05810000,11.73000000,0.05840000,264.06000000,2019-07-01T03:53:23.687655
True,0.0,97815.63,WAVES,Waves,,0.0584,8,0.0600,-1,0.0555,BNB,BNB,STANDARD,1e-08,0.01,0.0555,BNB,BNB,0.0555,,BNB,Binance Coin,,TRADING,WAVESBNB,0.0001,5604.112309,97815.6300,0,0.05810000,11.73000000,0.05840000,240.24000000,2019-07-01T03:58:48.626384
True,0.0,97815.63,WAVES,Waves,,0.0584,8,0.0600,-1,0.0555,BNB,BNB,STANDARD,1e-08,0.01,0.0555,BNB,BNB,0.0555,,BNB,Binance Coin,,TRADING,WAVESBNB,0.0001,5604.112309,97815.6300,0,0.05800000,351.89000000,0.05840000,240.24000000,2019-07-01T04:04:13.119400
True,0.0,97813.16,WAVES,Waves,,0.0581,8,0.0600,-1,0.0555,BNB,BNB,STANDARD,1e-08,0.01,0.0556,BNB,BNB,0.0556,,BNB,Binance Coin,,TRADING,WAVESBNB,0.0001,5604.005722,97813.1600,0,0.05800000,1418.70000000,0.05840000,187.16000000,2019-07-01T04:09:38.967925
True,0.0,97842.9,WAVES,Waves,,0.0581,8,0.0600,-1,0.0555,BNB,BNB,STANDARD,1e-08,0.01,0.0558,BNB,BNB,0.0558,,BNB,Binance Coin,,TRADING,WAVESBNB,0.0001,5606.006997,97842.9000,0,0.05810000,183.41000000,0.05830000,220.03000000,2019-07-01T04:15:02.241015
True,0.0,97842.9,WAVES,Waves,,0.0581,8,0.0600,-1,0.0555,BNB,BNB,STANDARD,1e-08,0.01,0.0558,BNB,BNB,0.0558,,BNB,Binance Coin,,TRADING,WAVESBNB,0.0001,5606.006997,97842.9000,0,0.05790000,19.72000000,0.05820000,220.48000000,2019-07-01T04:20:25.700467
