active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,2148396.85,WAVES,Waves,,0.0001725,8,0.0001759,-1,0.0001614,BTC,BTC,STANDARD,1e-08,0.01,0.0001621,BTC,BTC,0.0001621,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,363.44171804,2148396.8500000,0,0.00017270,7.87000000,0.00017280,15.00000000,2019-07-01T03:31:45.853045
True,0.0,2145752.62,WAVES,Waves,,0.0001727,8,0.0001759,-1,0.0001616,BTC,BTC,STANDARD,1e-08,0.01,0.0001622,BTC,BTC,0.0001622,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,363.07434025,2145752.6200000,0,0.00017250,61.32000000,0.00017270,60.55000000,2019-07-01T03:37:09.420003
True,0.0,2144830.53,WAVES,Waves,,0.0001725,8,0.0001759,-1,0.0001616,BTC,BTC,STANDARD,1e-08,0.01,0.0001624,BTC,BTC,0.0001624,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,362.9464348,2144830.5300000,0,0.00017250,105.12000000,0.00017260,0.01000000,2019-07-01T03:42:34.912820
True,0.0,2141387.44,WAVES,Waves,,0.0001726,8,0.0001759,-1,0.0001616,BTC,BTC,STANDARD,1e-08,0.01,0.0001620,BTC,BTC,0.000162,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,362.40645463,2141387.4400000,0,0.00017260,151.41000000,0.00017270,5.00000000,2019-07-01T03:47:59.837101
True,0.0,2141364.01,WAVES,Waves,,0.0001720,8,0.0001759,-1,0.0001621,BTC,BTC,STANDARD,1e-08,0.01,0.0001622,BTC,BTC,0.0001622,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,362.45395069,2141364.0100000,0,0.00017200,7.34000000,0.00017220,129.09000000,2019-07-01T03:53:23.687655
True,0.0,2133088.9,WAVES,Waves,,0.0001721,8,0.0001759,-1,0.0001621,BTC,BTC,STANDARD,1e-08,0.01,0.0001622,BTC,BTC,0.0001622,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,361.11914639,2133088.9000000,0,0.00017220,29.23000000,0.00017230,171.92000000,2019-07-01T03:58:48.626384
True,0.0,2132828.64,WAVES,Waves,,0.0001726,8,0.0001759,-1,0.0001622,BTC,BTC,STANDARD,1e-08,0.01,0.0001624,BTC,BTC,0.0001624,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,361.10979275,2132828.6400000,0,0.00017240,84.88000000,0.00017250,53.51000000,2019-07-01T04:04:13.119400
True,0.0,2134342.21,WAVES,Waves,,0.0001726,8,0.0001759,-1,0.0001622,BTC,BTC,STANDARD,1e-08,0.01,0.0001627,BTC,BTC,0.0001627,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,361.39698229,2134342.2100000,0,0.00017240,133.44000000,0.00017270,6.51000000,2019-07-01T04:09:38.967925
True,0.0,2113037.54,WAVES,Waves,,0.0001726,8,0.0001759,-1,0.0001622,BTC,BTC,STANDARD,1e-08,0.01,0.0001624,BTC,BTC,0.0001624,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,357.97048318,2113037.5400000,0,0.00017250,75.27000000,0.00017270,884.15000000,2019-07-01T04:15:02.241015
True,0.0,2108609.78,WAVES,Waves,,0.0001723,8,0.0001759,-1,0.0001626,BTC,BTC,STANDARD,1e-08,0.01,0.0001630,BTC,BTC,0.000163,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,357.29158924,2108609.7800000,0,0.00017200,3.51000000,0.00017230,88.27000000,2019-07-01T04:20:25.700467
True,0.0,2118981.65,WAVES,Waves,,0.0001715,8,0.0001759,-1,0.0001628,BTC,BTC,STANDARD,1e-08,0.01,0.0001631,BTC,BTC,0.0001631,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,359.09113595,2118981.6500000,0,0.00017160,15.31000000,0.00017170,15.31000000,2019-07-01T04:25:49.281416
True,0.0,2116307.54,WAVES,Waves,,0.0001715,8,0.0001759,-1,0.0001628,BTC,BTC,STANDARD,1e-08,0.01,0.0001631,BTC,BTC,0.0001631,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,358.68343892,2116307.5400000,0,0.00017130,48.86000000,0.00017150,15.00000000,2019-07-01T04:31:13.431888
True,0.0,2088944.05,WAVES,Waves,,0.0001710,8,0.0001759,-1,0.0001628,BTC,BTC,STANDARD,1e-08,0.01,0.0001640,BTC,BTC,0.000164,,BTC,Bitcoin,฿,TRADING,WAVESBTC,0.0000001,354.24941197,2088944.0500000,0,0.00017100,64.31000000,0.00017110,3.37000000,2019-07-01T04:36:38.444339
