active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,273395.2,WAVES,Waves,,1.8933,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9077,USDⓈ,USDⓈ,1.9077,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,515017.401828,273395.2000,0,1.86560000,812.20000000,1.89740000,163.53000000,2019-07-01T03:31:45.853045
True,0.0,266688.4,WAVES,Waves,,1.8805,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9141,USDⓈ,USDⓈ,1.9141,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,502219.691784,266688.4000,0,1.86670000,61.32000000,1.88110000,82.89000000,2019-07-01T03:37:09.420003
True,0.0,266696.88,WAVES,Waves,,1.8806,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9057,USDⓈ,USDⓈ,1.9057,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,502235.423042,266696.8800,0,1.86760000,105.12000000,1.88030000,33.79000000,2019-07-01T03:42:34.912820
True,0.0,266640.63,WAVES,Waves,,1.8814,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.8940,USDⓈ,USDⓈ,1.894,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,502127.547779,266640.6300,0,1.87800000,9.37000000,1.88410000,1734.66000000,2019-07-01T03:47:59.837101
True,0.0,266640.63,WAVES,Waves,,1.8814,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.8940,USDⓈ,USDⓈ,1.894,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,502127.547779,266640.6300,0,1.86940000,47.16000000,1.87970000,33.84000000,2019-07-01T03:53:23.687655
True,0.0,266640.63,WAVES,Waves,,1.8814,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.8940,USDⓈ,USDⓈ,1.894,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,502127.547779,266640.6300,0,1.86380000,727.33000000,1.88340000,82.92000000,2019-07-01T03:58:48.626384
True,0.0,266640.63,WAVES,Waves,,1.8814,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.8940,USDⓈ,USDⓈ,1.894,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,502127.547779,266640.6300,0,1.88100000,143.99000000,1.89110000,82.60000000,2019-07-01T04:04:13.119400
True,0.0,268269.55,WAVES,Waves,,1.9022,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9234,USDⓈ,USDⓈ,1.9234,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,505204.545456,268269.5500,0,1.87950000,721.25000000,1.89540000,1709.81000000,2019-07-01T04:09:38.967925
True,0.0,269349.55,WAVES,Waves,,1.8892,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9234,USDⓈ,USDⓈ,1.9234,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,507244.598396,269349.5500,0,1.88620000,112.27000000,1.89280000,82.71000000,2019-07-01T04:15:02.241015
True,0.0,270148.8,WAVES,Waves,,1.8809,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9234,USDⓈ,USDⓈ,1.9234,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,508751.176414,270148.8000,0,1.87770000,82.09000000,1.88380000,82.92000000,2019-07-01T04:20:25.700467
True,0.0,270693.91,WAVES,Waves,,1.8738,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9234,USDⓈ,USDⓈ,1.9234,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,509773.66772,270693.9100,0,1.87230000,48.05000000,1.87940000,83.11000000,2019-07-01T04:25:49.281416
True,0.0,270169.96,WAVES,Waves,,1.8738,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9249,USDⓈ,USDⓈ,1.9249,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,508765.90229,270169.9600,0,1.87350000,47.39000000,1.88010000,83.02000000,2019-07-01T04:31:13.431888
True,0.0,263198.27,WAVES,Waves,,1.8846,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9299,USDⓈ,USDⓈ,1.9299,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,495340.708165,263198.2700,0,1.88110000,75.05000000,1.88880000,27.71000000,2019-07-01T04:36:38.444339
True,0.0,260439.68,WAVES,Waves,,1.8693,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9375,USDⓈ,USDⓈ,1.9375,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,490012.25334,260439.6800,0,1.87470000,723.10000000,1.88740000,83.35000000,2019-07-01T04:42:02.003745
True,0.0,260439.68,WAVES,Waves,,1.8693,8,1.9538,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9375,USDⓈ,USDⓈ,1.9375,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,490012.25334,260439.6800,0,1.88240000,922.48000000,1.89400000,47.30000000,2019-07-01T04:47:26.497829
True,0.0,260264.55,WAVES,Waves,,1.8926,8,1.9445,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9445,USDⓈ,USDⓈ,1.9445,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,489662.635459,260264.5500,0,1.88390000,297.37000000,1.89600000,83.08000000,2019-07-01T04:52:50.537708
True,0.0,260316.71,WAVES,Waves,,1.8928,8,1.9445,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9445,USDⓈ,USDⓈ,1.9445,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,489761.363907,260316.7100,0,1.87870000,722.35000000,1.90000000,10000.00000000,2019-07-01T04:58:15.990657
True,0.0,266054.52,WAVES,Waves,,1.9000,8,1.9435,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9245,USDⓈ,USDⓈ,1.9245,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,500662.950107,266054.5200,0,1.89180000,74.72000000,1.90000000,4256.50000000,2019-07-01T05:03:40.747780
True,0.0,270311.02,WAVES,Waves,,1.9000,8,1.9435,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9245,USDⓈ,USDⓈ,1.9245,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,508750.300107,270311.0200,0,1.87140000,789.59000000,1.90300000,47.30000000,2019-07-01T05:09:05.523550
True,0.0,270311.02,WAVES,Waves,,1.9000,8,1.9435,-1,1.8000,TUSD,TUSD,STANDARD,1e-08,0.01,1.9245,USDⓈ,USDⓈ,1.9245,,TUSD,TrueUSD,,TRADING,WAVESTUSD,0.0001,508750.300107,270311.0200,0,1.89080000,10.53000000,1.90160000,1635.09000000,2019-07-01T05:14:29.634335
