active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,9594685075.0,WIN,WINK,,0.0002662,8,0.0002936,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002930,USDⓈ,USDⓈ,0.000293,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2694040.7107097,9594685075.0000000,0,0.00026580,1439899.00000000,0.00026620,12529522.00000000,2019-09-06T04:46:58.837146
True,0.0,9614129437.0,WIN,WINK,,0.0002683,8,0.0002936,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002928,USDⓈ,USDⓈ,0.0002928,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2698858.1366896,9614129437.0000000,0,0.00026780,868738.00000000,0.00026830,432043.00000000,2019-09-06T04:52:20.564248
True,0.0,9642495914.0,WIN,WINK,,0.0002674,8,0.0002936,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002927,USDⓈ,USDⓈ,0.0002927,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2706210.3284547,9642495914.0000000,0,0.00026770,2758092.00000000,0.00026780,165766.00000000,2019-09-06T04:57:42.818653
True,0.0,9671265672.0,WIN,WINK,,0.0002676,8,0.0002936,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002930,USDⓈ,USDⓈ,0.000293,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2713715.1981496,9671265672.0000000,0,0.00026760,856011.00000000,0.00026790,1036284.00000000,2019-09-06T05:03:03.119896
True,0.0,9702851344.0,WIN,WINK,,0.0002684,8,0.0002936,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002936,USDⓈ,USDⓈ,0.0002936,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2721849.5724993,9702851344.0000000,0,0.00026850,4546183.00000000,0.00026870,66690.00000000,2019-09-06T05:08:23.879909
True,0.0,9715837820.0,WIN,WINK,,0.0002690,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002933,USDⓈ,USDⓈ,0.0002933,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2725170.6418431,9715837820.0000000,0,0.00026890,1643392.00000000,0.00026910,7453080.00000000,2019-09-06T05:13:44.134079
True,0.0,9768167014.0,WIN,WINK,,0.0002698,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002933,USDⓈ,USDⓈ,0.0002933,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2739245.5947955,9768167014.0000000,0,0.00026970,1238599.00000000,0.00026990,819200.00000000,2019-09-06T05:19:04.411549
True,0.0,9795121272.0,WIN,WINK,,0.0002697,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002933,USDⓈ,USDⓈ,0.0002933,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2746054.9573881,9795121272.0000000,0,0.00026920,14621871.00000000,0.00026930,1340197.00000000,2019-09-06T05:24:24.639724
True,0.0,9825209812.0,WIN,WINK,,0.0002697,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002927,USDⓈ,USDⓈ,0.0002927,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2754014.1525349,9825209812.0000000,0,0.00026970,364858.00000000,0.00026990,3687509.00000000,2019-09-06T05:29:44.430120
True,0.0,9817239267.0,WIN,WINK,,0.0002699,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002919,USDⓈ,USDⓈ,0.0002919,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2750962.06578,9817239267.0000000,0,0.00026990,1366981.00000000,0.00027000,2818268.00000000,2019-09-06T05:35:04.069464
True,0.0,9814625932.0,WIN,WINK,,0.0002698,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002918,USDⓈ,USDⓈ,0.0002918,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2749624.4762123,9814625932.0000000,0,0.00026970,10683.00000000,0.00026980,1402860.00000000,2019-09-06T05:40:24.109112
True,0.0,9790580264.0,WIN,WINK,,0.0002694,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002909,USDⓈ,USDⓈ,0.0002909,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2742454.1674711,9790580264.0000000,0,0.00026940,349757.00000000,0.00026950,2259574.00000000,2019-09-06T05:45:44.095561
True,0.0,9784821911.0,WIN,WINK,,0.0002700,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002917,USDⓈ,USDⓈ,0.0002917,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2740580.7576452,9784821911.0000000,0,0.00027000,3459692.00000000,0.00027010,66690.00000000,2019-09-06T05:51:03.857724
True,0.0,9717144187.0,WIN,WINK,,0.0002700,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002898,USDⓈ,USDⓈ,0.0002898,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2720106.735051,9717144187.0000000,0,0.00026980,629735.00000000,0.00026990,1228801.00000000,2019-09-06T05:56:24.102487
True,0.0,9707065278.0,WIN,WINK,,0.0002709,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002897,USDⓈ,USDⓈ,0.0002897,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2716935.6138487,9707065278.0000000,0,0.00027020,1199930.00000000,0.00027060,1575044.00000000,2019-09-06T06:01:44.050695
True,0.0,9711134477.0,WIN,WINK,,0.0002703,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002903,USDⓈ,USDⓈ,0.0002903,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2717386.3308103,9711134477.0000000,0,0.00027030,65436.00000000,0.00027040,172082.00000000,2019-09-06T06:07:04.266912
True,0.0,9735233749.0,WIN,WINK,,0.0002709,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002912,USDⓈ,USDⓈ,0.0002912,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2723265.1812787,9735233749.0000000,0,0.00027100,70733.00000000,0.00027110,495805.00000000,2019-09-06T06:12:24.465269
True,0.0,9764773096.0,WIN,WINK,,0.0002707,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002894,USDⓈ,USDⓈ,0.0002894,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2730392.4175135,9764773096.0000000,0,0.00027060,1325732.00000000,0.00027080,409600.00000000,2019-09-06T06:17:45.013824
True,0.0,9790840933.0,WIN,WINK,,0.0002697,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002902,USDⓈ,USDⓈ,0.0002902,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2737022.0167605,9790840933.0000000,0,0.00026960,803836.00000000,0.00026970,14789995.00000000,2019-09-06T06:23:05.198309
True,0.0,9795043874.0,WIN,WINK,,0.0002682,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002916,USDⓈ,USDⓈ,0.0002916,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2737489.9344319,9795043874.0000000,0,0.00026830,1592389.00000000,0.00026840,12986185.00000000,2019-09-06T06:28:24.914895
True,0.0,9821315118.0,WIN,WINK,,0.0002691,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002908,USDⓈ,USDⓈ,0.0002908,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2743993.4493971,9821315118.0000000,0,0.00026870,13405851.00000000,0.00026940,1441712.00000000,2019-09-06T06:33:45.144718
True,0.0,9850316570.0,WIN,WINK,,0.0002688,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002904,USDⓈ,USDⓈ,0.0002904,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2751555.6510384,9850316570.0000000,0,0.00026840,409600.00000000,0.00026860,1407264.00000000,2019-09-06T06:39:05.468679
True,0.0,9899481645.0,WIN,WINK,,0.0002683,8,0.0002933,-1,0.0002625,USDT,USDT,STANDARD,1e-08,1.0,0.0002903,USDⓈ,USDⓈ,0.0002903,,USDT,TetherUS,,TRADING,WINUSDT,0.0000001,2764485.6699118,9899481645.0000000,0,0.00026810,1407598.00000000,0.00026820,7160295.00000000,2019-09-06T06:44:26.563313
