active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,15468081.0,XEM,NEM,,0.00000853,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000834,BTC,BTC,8.34e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,129.27666075,15468081.00000000,0,0.00000852,2991.00000000,0.00000854,1515.00000000,2019-07-01T03:31:45.853045
True,0.0,15497613.0,XEM,NEM,,0.00000855,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000832,BTC,BTC,8.32e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,129.53017016,15497613.00000000,0,0.00000852,2486.00000000,0.00000853,1000.00000000,2019-07-01T03:37:09.420003
True,0.0,15489279.0,XEM,NEM,,0.00000852,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000836,BTC,BTC,8.36e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,129.47407522,15489279.00000000,0,0.00000851,7713.00000000,0.00000854,11458.00000000,2019-07-01T03:42:34.912820
True,0.0,15548053.0,XEM,NEM,,0.00000851,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000836,BTC,BTC,8.36e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,129.97652842,15548053.00000000,0,0.00000851,16495.00000000,0.00000852,183.00000000,2019-07-01T03:47:59.837101
True,0.0,15565792.0,XEM,NEM,,0.00000850,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000835,BTC,BTC,8.35e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,130.12800161,15565792.00000000,0,0.00000850,183.00000000,0.00000851,5864.00000000,2019-07-01T03:53:23.687655
True,0.0,15527840.0,XEM,NEM,,0.00000850,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000837,BTC,BTC,8.37e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,129.81221731,15527840.00000000,0,0.00000850,5539.00000000,0.00000851,5864.00000000,2019-07-01T03:58:48.626384
True,0.0,15520365.0,XEM,NEM,,0.00000849,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000835,BTC,BTC,8.35e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,129.75204494,15520365.00000000,0,0.00000849,5257.00000000,0.00000850,3512.00000000,2019-07-01T04:04:13.119400
True,0.0,15626703.0,XEM,NEM,,0.00000847,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000836,BTC,BTC,8.36e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,130.65369746,15626703.00000000,0,0.00000847,2961.00000000,0.00000848,7983.00000000,2019-07-01T04:09:38.967925
True,0.0,15550919.0,XEM,NEM,,0.00000846,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000834,BTC,BTC,8.34e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,130.02572959,15550919.00000000,0,0.00000846,8109.00000000,0.00000847,5905.00000000,2019-07-01T04:15:02.241015
True,0.0,15564053.0,XEM,NEM,,0.00000846,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000834,BTC,BTC,8.34e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,130.1380596,15564053.00000000,0,0.00000846,11086.00000000,0.00000847,4010.00000000,2019-07-01T04:20:25.700467
True,0.0,15599752.0,XEM,NEM,,0.00000848,8,0.00000858,-1,0.00000817,BTC,BTC,STANDARD,1e-08,1.0,0.00000833,BTC,BTC,8.33e-06,,BTC,Bitcoin,฿,TRADING,XEMBTC,0.00000001,130.44374611,15599752.00000000,0,0.00000847,124.00000000,0.00000848,2718.00000000,2019-07-01T04:25:49.281416
