active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,53596081.0,XLM,Stellar Lumens,,0.10721,8,0.11235,-1,0.10381,USDT,USDT,STANDARD,1e-08,0.1,0.11119,USDⓈ,USDⓈ,0.11119,,USDT,TetherUS,,TRADING,XLMUSDT,0.00001,5790261.40749,53596081.00000,0,0.10707000,911.50000000,0.10726000,595.80000000,2019-07-01T03:31:45.853045
True,0.0,53592795.4,XLM,Stellar Lumens,,0.10730,8,0.11235,-1,0.10381,USDT,USDT,STANDARD,1e-08,0.1,0.11102,USDⓈ,USDⓈ,0.11102,,USDT,TetherUS,,TRADING,XLMUSDT,0.00001,5789625.739793,53592795.40000,0,0.10728000,1176.20000000,0.10741000,1451.30000000,2019-07-01T03:37:09.420003
True,0.0,53609460.0,XLM,Stellar Lumens,,0.10759,8,0.11235,-1,0.10381,USDT,USDT,STANDARD,1e-08,0.1,0.11077,USDⓈ,USDⓈ,0.11077,,USDT,TetherUS,,TRADING,XLMUSDT,0.00001,5790883.028854,53609460.00000,0,0.10750000,0.30000000,0.10760000,5000.00000000,2019-07-01T03:42:34.912820
True,0.0,53500495.5,XLM,Stellar Lumens,,0.10770,8,0.11235,-1,0.10381,USDT,USDT,STANDARD,1e-08,0.1,0.11046,USDⓈ,USDⓈ,0.11046,,USDT,TetherUS,,TRADING,XLMUSDT,0.00001,5778644.87736,53500495.50000,0,0.10764000,1156.50000000,0.10771000,928.40000000,2019-07-01T03:47:59.837101
True,0.0,53577221.4,XLM,Stellar Lumens,,0.10791,8,0.11235,-1,0.10381,USDT,USDT,STANDARD,1e-08,0.1,0.11080,USDⓈ,USDⓈ,0.1108,,USDT,TetherUS,,TRADING,XLMUSDT,0.00001,5786311.41747,53577221.40000,0,0.10771000,17055.00000000,0.10785000,1242.90000000,2019-07-01T03:53:23.687655
True,0.0,53347973.5,XLM,Stellar Lumens,,0.10797,8,0.11235,-1,0.10381,USDT,USDT,STANDARD,1e-08,0.1,0.11057,USDⓈ,USDⓈ,0.11057,,USDT,TetherUS,,TRADING,XLMUSDT,0.00001,5760746.430823,53347973.50000,0,0.10794000,1178.60000000,0.10807000,99.20000000,2019-07-01T03:58:48.626384
True,0.0,53406680.7,XLM,Stellar Lumens,,0.10809,8,0.11235,-1,0.10381,USDT,USDT,STANDARD,1e-08,0.1,0.11082,USDⓈ,USDⓈ,0.11082,,USDT,TetherUS,,TRADING,XLMUSDT,0.00001,5766925.292653,53406680.70000,0,0.10797000,1206.50000000,0.10812000,598.20000000,2019-07-01T04:04:13.119400
True,0.0,53300586.9,XLM,Stellar Lumens,,0.10817,8,0.11235,-1,0.10381,USDT,USDT,STANDARD,1e-08,0.1,0.11114,USDⓈ,USDⓈ,0.11114,,USDT,TetherUS,,TRADING,XLMUSDT,0.00001,5754479.590268,53300586.90000,0,0.10806000,1073.70000000,0.10816000,6269.10000000,2019-07-01T04:09:38.967925
True,0.0,53280659.4,XLM,Stellar Lumens,,0.10796,8,0.11235,-1,0.10381,USDT,USDT,STANDARD,1e-08,0.1,0.11137,USDⓈ,USDⓈ,0.11137,,USDT,TetherUS,,TRADING,XLMUSDT,0.00001,5752054.670152,53280659.40000,0,0.10794000,9045.40000000,0.10805000,1271.50000000,2019-07-01T04:15:02.241015
True,0.0,53460537.0,XLM,Stellar Lumens,,0.10773,8,0.11235,-1,0.10381,USDT,USDT,STANDARD,1e-08,0.1,0.11156,USDⓈ,USDⓈ,0.11156,,USDT,TetherUS,,TRADING,XLMUSDT,0.00001,5771042.062765,53460537.00000,0,0.10774000,1302.60000000,0.10780000,5000.00000000,2019-07-01T04:20:25.700467
