active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,68433.216,XMR,Monero,,0.008269,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008356,BTC,BTC,0.008356,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,562.46940429,68433.216000,0,0.00825600,2.36400000,0.00826500,1.50000000,2019-07-01T03:31:45.853045
True,0.0,68426.245,XMR,Monero,,0.008259,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008359,BTC,BTC,0.008359,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,562.39946861,68426.245000,0,0.00828100,2.80500000,0.00828200,0.47600000,2019-07-01T03:37:09.420003
True,0.0,68758.35,XMR,Monero,,0.008274,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008365,BTC,BTC,0.008365,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,565.13847293,68758.350000,0,0.00827300,1.50000000,0.00827600,0.23400000,2019-07-01T03:42:34.912820
True,0.0,69002.944,XMR,Monero,,0.008292,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008354,BTC,BTC,0.008354,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,567.15404086,69002.944000,0,0.00829100,1.50000000,0.00829300,0.48800000,2019-07-01T03:47:59.837101
True,0.0,69040.403,XMR,Monero,,0.008282,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008335,BTC,BTC,0.008335,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,567.46171516,69040.403000,0,0.00828000,7.08300000,0.00828500,1.50000000,2019-07-01T03:53:23.687655
True,0.0,69428.789,XMR,Monero,,0.008300,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008346,BTC,BTC,0.008346,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,570.68606957,69428.789000,0,0.00829800,1.50000000,0.00830100,5.00000000,2019-07-01T03:58:48.626384
True,0.0,69632.0,XMR,Monero,,0.008278,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008340,BTC,BTC,0.00834,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,572.37330196,69632.000000,0,0.00827700,1.50000000,0.00828900,1.15800000,2019-07-01T04:04:13.119400
True,0.0,70338.273,XMR,Monero,,0.008310,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008308,BTC,BTC,0.008308,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,578.23671501,70338.273000,0,0.00830600,2.50300000,0.00831100,5.00000000,2019-07-01T04:09:38.967925
True,0.0,70483.26,XMR,Monero,,0.008302,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008330,BTC,BTC,0.00833,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,579.44095418,70483.260000,0,0.00830200,5.99100000,0.00830600,1.50000000,2019-07-01T04:15:02.241015
True,0.0,70554.375,XMR,Monero,,0.008281,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008335,BTC,BTC,0.008335,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,580.02974406,70554.375000,0,0.00827300,6.14900000,0.00828000,1.50000000,2019-07-01T04:20:25.700467
True,0.0,70831.821,XMR,Monero,,0.008322,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008322,BTC,BTC,0.008322,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,582.33078715,70831.821000,0,0.00832300,1.99200000,0.00832400,0.75200000,2019-07-01T04:25:49.281416
True,0.0,71204.872,XMR,Monero,,0.008323,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008291,BTC,BTC,0.008291,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,585.44192634,71204.872000,0,0.00832300,7.72000000,0.00832400,2.80600000,2019-07-01T04:31:13.431888
True,0.0,71685.866,XMR,Monero,,0.008333,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008297,BTC,BTC,0.008297,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,589.45246066,71685.866000,0,0.00832800,0.84900000,0.00833300,0.22600000,2019-07-01T04:36:38.444339
True,0.0,71913.694,XMR,Monero,,0.008345,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008298,BTC,BTC,0.008298,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,591.35774401,71913.694000,0,0.00834400,0.50000000,0.00834500,0.49700000,2019-07-01T04:42:02.003745
True,0.0,72395.46,XMR,Monero,,0.008371,8,0.008398,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008305,BTC,BTC,0.008305,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,595.39278285,72395.460000,0,0.00835500,0.68800000,0.00837200,4.28200000,2019-07-01T04:47:26.497829
True,0.0,73083.621,XMR,Monero,,0.008393,8,0.008426,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008293,BTC,BTC,0.008293,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,601.17253747,73083.621000,0,0.00839200,8.95600000,0.00839500,0.50000000,2019-07-01T04:52:50.537708
True,0.0,73350.548,XMR,Monero,,0.008382,8,0.008426,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008291,BTC,BTC,0.008291,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,603.4171433,73350.548000,0,0.00837300,0.48300000,0.00838900,0.68300000,2019-07-01T04:58:15.990657
True,0.0,73576.18,XMR,Monero,,0.008395,8,0.008426,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008298,BTC,BTC,0.008298,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,605.31803446,73576.180000,0,0.00838800,1.50000000,0.00838900,22.23200000,2019-07-01T05:03:40.747780
True,0.0,74122.689,XMR,Monero,,0.008411,8,0.008433,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008301,BTC,BTC,0.008301,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,609.91439912,74122.689000,0,0.00841100,49.53600000,0.00841200,0.53400000,2019-07-01T05:09:05.523550
True,0.0,74255.137,XMR,Monero,,0.008442,8,0.008449,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008323,BTC,BTC,0.008323,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,611.05428788,74255.137000,0,0.00843800,6.50000000,0.00844000,0.12000000,2019-07-01T05:14:29.634335
True,0.0,74485.416,XMR,Monero,,0.008432,8,0.008468,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008319,BTC,BTC,0.008319,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,613.01852679,74485.416000,0,0.00843200,0.02200000,0.00843900,7.11000000,2019-07-01T05:19:53.868096
True,0.0,74943.195,XMR,Monero,,0.008463,8,0.008493,-1,0.008040,BTC,BTC,STANDARD,1e-08,0.001,0.008305,BTC,BTC,0.008305,,BTC,Bitcoin,฿,TRADING,XMRBTC,0.000001,616.91866041,74943.195000,0,0.00847400,4.63700000,0.00848200,6.44000000,2019-07-01T05:25:20.751285
